mean:0.139351,,,,,,,,,,,,,,,,,,,,
0.124, [[0.0, 0.635390600000002], [0.5049130963221106, 0.0], [0.0, 0.5585106382978726], [0.4835056521276969, 0.0], [0.0, 0.5390098086124403], [0.4631627152577627, 0.0], [0.0, 0.4831583827751212], [0.4623316004457434, 0.0], [0.0, 0.4830661435406696], [0.4559671574892742, 0.0]]
0.1231, [[0.4738500708270835, 0.0], [0.46007252998354353, 0.0], [0.4594608146073593, 0.0], [0.0, 0.4296401027397262], [0.0, 0.0], [0.0, 0.43071212328767355], [0.0, 0.0], [0.0, 0.5772217617021287], [0.0, 0.0], [0.0, 0.6575140978723414]]
0.1311, [[0.0, 0.48178162679425657], [0.6820933373003307, 0.0], [0.0, 0.5284398755980871], [0.0, 0.3872411870503856], [0.46866071637440876, 0.0], [0.5861145903578334, 0.0], [0.19934563791329646, 0.0], [0.44876974040353274, 0.0], [0.49226435500952453, 0.0], [0.49226435500952453, 0.0]]
0.1994, [[0.8940148019997707, 0.0], [0.0, 0.9999273555276358], [0.0, 0.4577914545454535], [0.0, 0.4567688516746407], [0.0, 0.4494437328767124], [0.0, 0.44412695205479497], [0.32558746591518656, 0.0], [0.0, 0.0], [0.15244315218262172, 0.0], [0.0, 0.0]]
0.1451, [[0.0, 0.6541662510638314], [0.0, 0.4548739617224857], [0.6964057428474529, 0.0], [0.0, 0.48298756937799037], [0.6599763892411876, 0.0], [0.0, 0.5358452057416265], [0.0, 0.4347639041095892], [0.0, 0.32894433453240357], [0.5265407313710938, 0.0], [0.47201492469853107, 0.0]]
0.1294, [[0.0, 0.48578207655502414], [0.0, 0.5034327942583734], [0.0, 0.5308380956937825], [0.6632303207587392, 0.0], [0.0, 0.4804344784689005], [0.0, 0.5038438851674661], [0.5766953149122914, 0.0], [0.0, 0.47959749282296477], [0.5473854656038267, 0.0], [0.47075058896660027, 0.0]]
0.0567, [[0.4673684908836854, 0.0], [0.4657583221427265, 0.0], [0.4597713205885836, 0.0], [0.4514564538338857, 0.0], [0.4470517312619092, 0.0], [0.3914984320127056, 0.0], [0.20639712846558853, 0.0], [0.1278636708289179, 0.0], [0.0974012316430167, 0.0], [0.0, 0.0]]
0.1198, [[0.4702801817016319, 0.0], [0.0, 0.5646331744680848], [0.5334889761153381, 0.0], [0.46364055979174235, 0.0], [0.46589033366767807, 0.0], [0.46364055979174235, 0.0], [0.0, 0.5597860085106382], [0.4636070920811912, 0.0], [0.4609315345543554, 0.0], [0.0, 0.0]]
0.1157, [[0.5239963037182735, 0.0], [0.0, 0.4677510143540647], [0.0, 0.0], [0.5888547432147194, 0.0], [0.474783448088009, 0.0], [0.0, 0.0], [0.4008365417532257, 0.0], [0.4495878399947821, 0.0], [0.0, 0.0], [0.4657304323839339, 0.0]]
0.1528, [[0.7065100565072169, 0.0], [0.5561686341361637, 0.0], [0.0, 0.449176712328767], [0.9790818688157444, 0.0], [0.0, 0.4413126027397272], [0.5848423765314232, 0.0], [0.5448410379510047, 0.0], [0.0, 0.23867724820144104], [0.5308956171615009, 0.0], [0.4058150789981441, 0.0]]
0.1431, [[0.0, 0.5689916382978752], [0.7234647523091914, 0.0], [0.7234647523091914, 0.0], [0.7619981518591359, 0.0], [0.0, 0.0], [0.7212628437634803, 0.0], [0.5503213436647749, 0.0], [0.08382207555088676, 0.0], [0.6911945592892693, 0.0], [0.39226183911711526, 0.0]]
