0.3855, [[0.6788717201914849, 0.22747776106194692], [0.5515898022895863, 0.2587734513274376], [0.43101090973605993, 0.2826400766961662], [1.0, 0.11672478466076924], [0.662796662012558, 0.2564756961651922], [0.0, 0.5285168049792555], [0.7716189145013088, 0.0], [0.0, 0.4491], [0.458, 0.10853912389380738], [0.0, 0.4491]]
0.3255, [[0.8092115461937361, 0.0], [0.0, 0.6053731232876713], [0.8066586137429821, 0.10036376696165387], [0.0, 0.6018182465753427], [0.7597239325329583, 0.0], [0.0, 0.558952589211614], [0.7367755946789235, 0.07383580825959124], [0.0, 0.5461831203319568], [0.5543952225651406, 0.2682323716814164], [0.0, 0.0]]
0.4278, [[1.0, 0.11672478466076924], [0.3367917391344476, 0.38803800294985313], [0.0, 0.422916483775812], [0.762809894836068, 0.1260085398230106], [0.0, 0.39243626843658175], [0.7411801045115449, 0.20747360176991575], [0.0, 0.38586094985250835], [0.7377294375726124, 0.12129232743362976], [0.6788717201914849, 0.22747776106194692], [0.671802061097087, 0.2981576519174065]]
0.4266, [[0.0, 0.43201624188791016], [0.3367917391344476, 0.38803800294985313], [0.0, 0.4491], [0.0, 0.5653875477178507], [1.0, 0.11672478466076924], [0.0, 0.37359938643068336], [0.0, 0.4491], [0.9413607249221454, 0.11167884955752508], [0.0, 0.3634824926253702], [0.8470292788402691, 0.2184795693215352]]
0.3071, [[0.458, 0.24218280530973743], [0.2368177314507785, 0.2942245309734531], [0.0, 0.2961896194690297], [0.0, 0.4491], [0.8703952348789444, 0.0575277817109153], [0.458, 0.2397658200589994], [0.6455994357234096, 0.15445889970501883], [0.0, 0.4491], [0.5632884048386488, 0.14965142477876517], [0.5756883624565979, 0.07105671681416204]]
0.3427, [[0.9922213206529377, 0.006010079646019757], [0.8470292788402691, 0.2184795693215352], [0.9652053689206395, 0.0], [0.7992803584182735, 0.05998156637168402], [0.762809894836068, 0.1260085398230106], [0.6788717201914849, 0.22747776106194692], [0.4347272333094871, 0.21860174336283322], [0.43726837447981814, 0.2525940943952807], [0.0, 0.30480068141593064], [0.9357959773892474, 0.006210268436582064]]
0.3357, [[0.0, 0.4491], [0.7843555225523257, 0.04066923598820215], [0.4549342657990867, 0.27360066961652085], [0.0, 0.4491], [0.5515898022895863, 0.2587734513274376], [0.0, 0.4491], [0.09698191441044333, 0.3399765014749301], [0.7411801045115449, 0.20747360176991575], [0.0, 0.43014977581121455], [0.3034424941917884, 0.2993219852507392]]
0.3549, [[0.458, 0.2397658200589994], [0.0, 0.35902240412979647], [0.2596731461867208, 0.2958716725663722], [0.8470292788402691, 0.2184795693215352], [0.4239140289900903, 0.2638650176991182], [0.0, 0.4234066519174067], [0.4233302533158252, 0.29144838348082924], [0.7716189145013088, 0.0], [0.44950858600297455, 0.23436808259587244], [0.4535454138681552, 0.20072311799410492]]
0.4186, [[0.0, 0.4491], [1.0, 0.11672478466076924], [0.4507066615697673, 0.2322661002949865], [0.8470292788402691, 0.2184795693215352], [0.3367917391344476, 0.38803800294985313], [0.6788717201914849, 0.22747776106194692], [0.9922213206529377, 0.006010079646019757], [0.0, 0.3182412979351047], [0.4400346317598332, 0.22597340117994258], [0.6475351757135425, 0.21508666371681576]]
0.1847, [[0.0, 0.535479116182572], [0.0, 0.4102133274336288], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.3034424941917884, 0.2993219852507392]]
0.3864, [[1.0, 0.11672478466076924], [0.0, 0.4931590622406764], [0.8470292788402691, 0.2184795693215352], [0.0, 0.4491], [0.8096043050323141, 0.047859840707968504], [0.0, 0.4491], [0.7377294375726124, 0.12129232743362976], [0.0, 0.4491], [0.26827464635616144, 0.3084732625368741], [0.10693507889222467, 0.2983225132743408]]
