0.0015, [[0.0, 0.0029705590736384844, 0.04790762141670415], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0042774661979200134], [0.0, 0.0, 0.0], [0.0, 0.0, 0.001710986479168007], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0006843945916672028]]
0.0042, [[0.0, 0.07076827935588924, 0.1488558236876165], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0001710986479168007], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0028, [[0.0, 0.06112767866835535, 0.07134813618130582], [0.0, 0.0, 0.056804751108377786], [0.0, 0.0, 0.005304058085420818], [0.0, 0.0, 0.01984744315834886], [0.0, 0.0, 0.002908677014585608], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0011, [[0.0, 0.0, 0.005132959437504018], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0010265918875008043], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0011976905354176047], [0.0, 0.0, 0.0001710986479168007], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0034, [[0.0, 0.07891968156323499, 0.0898267901563203], [0.0, 0.07437370725529217, 0.07271692536464024], [0.0, 0.0029705590736384844, 0.04790762141670415], [0.0, 0.0, 0.00650174862083842], [0.0, 0.0, 0.006159551325004822], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0011976905354176047], [0.0, 0.0, 0.0005132959437504021], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0012, [[0.0, 0.0, 0.018991949918764864], [0.0, 0.0, 0.016596568847929653], [0.0, 0.0, 0.0], [0.0, 0.0, 0.00650174862083842], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0027, [[0.0, 0.0, 0.17486281817097019], [0.0, 0.0, 0.005132959437504018], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.010779214818758433], [0.0, 0.0, 0.0018820851270848077], [0.0, 0.0, 0.003079775662502409], [0.0, 0.0, 0.0001710986479168007], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0]]
0.0011, [[0.0, 0.0, 0.014885582368761648], [0.0, 0.0, 0.0027375783666688074], [0.0, 0.0, 0.001710986479168007], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0067, [[0.0, 0.2886641093179427, 0.011976905354176037], [0.0, 0.07170882576442916, 0.14800033044803249], [0.0, 0.06198984620951691, 0.12079564542926119], [0.0, 0.0, 0.05629145516462738], [0.0, 0.0, 0.02275612017293447], [0.0, 0.0, 0.0027375783666688074], [0.0, 0.0, 0.0027375783666688074], [0.0, 0.0, 0.002395381070835206], [0.0, 0.0, 0.0018820851270848077], [0.0, 0.0, 0.0003421972958336014]]
0.0014, [[0.0, 0.0, 0.03627291335836171], [0.0, 0.0, 0.003935268902086412], [0.0, 0.0, 0.008897129691673628], [0.0, 0.0, 0.007870537804172824], [0.0, 0.0, 0.0], [0.0, 0.0, 0.008041636452089626], [0.0, 0.0, 0.007015044564588821], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0]]
0.0022, [[0.0, 0.0, 0.006159551325004822], [0.0, 0.11489558168988602, 0.0], [0.0, 0.0, 0.003079775662502409], [0.0, 0.0, 0.001710986479168007], [0.0, 0.0, 0.002395381070835206], [0.0, 0.0, 0.0001710986479168007], [0.0, 0.0, 0.0001710986479168007], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
