0.9948, [[0.8050331667395886, 0.5768401241134753], [0.8531467673392297, 0.4380615100401604], [0.9586975283141601, 0.28244067907995574], [0.9061771013556185, 0.3885319561883897], [0.8035162044228594, 0.9202943192612125], [0.9454399448100606, 0.25747457539247925], [0.8129550810602882, 0.41578002738225683], [0.8409089979508291, 0.2669535783132526], [0.8363198344301818, 0.2713732555677261], [0.6351147613535684, 0.8693854775725595]]
0.0102, [[0.0, 0.0020982718023256582], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0728, [[0.3632, 0.029618661129568184], [0.2302410781148468, 0.06816083899233316], [0.020739529936917505, 0.02232716071428569], [0.0, 0.02603712686877075], [0.05415867770256711, 0.006074860049833918], [0.0, 0.016212795265780743], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1428, [[0.3632, 0.20836669806498725], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0482, [[0.9158653354547649, 0.9318203166226924], [0.7470057433839342, 0.8905171451187325], [0.9005681237192675, 0.03709627761627905], [0.7896949922037646, 0.46646126542533806], [0.847027882645027, 0.43088429025191655], [0.7223691968818358, 0.7723699569041329], [0.733660947361962, 0.4350297192405993], [0.8409089979508291, 0.2669535783132526], [0.7387935612165659, 0.35381339393939415], [0.6898626424693439, 0.6974476121372021]]
0.0463, [[0.3632, 0.0], [0.3632, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0517, [[0.7932345709428014, 0.8933989806508348], [0.7913805058890199, 0.9471883131046607], [0.9219842201489675, 0.5244109716312066], [0.896488867256472, 0.8732274766930528], [0.7967741496818381, 0.8789898029903256], [0.7839605631370834, 0.9116488126649078], [0.9041374731242207, 0.40569942205184323], [0.9061771013556185, 0.3885319561883897], [0.8003137284208733, 0.8098311292875995], [0.8164334591740324, 0.6983136420404579]]
0.9550, [[0.924533755438217, 0.7541187801231303], [0.7895264408352399, 0.8440124151275294], [0.8271415073888824, 0.6955259401934907], [0.9219842201489675, 0.5244109716312066], [0.7240800681667037, 0.8309627968337725], [0.8337702991409321, 0.49493141489361775], [0.9153554283969177, 0.4476863559693317], [0.6737804523915824, 0.7570006156552327], [0.801830690737604, 0.48162012411347466], [0.9041374731242207, 0.40569942205184323]]
0.1565, [[0.8200028085789856, 0.07007582110259253], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0305, [[0.0, 0.019478522425249237], [0.18502693702014544, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.4819, [[0.5707860010425313, 0.45853501496896726], [0.7706157671151111, 0.4366696604600215], [0.6262182306722535, 0.422378630887185], [0.7052604840331558, 0.4140822245345014], [0.7021809157203915, 0.025253786752491784], [0.6316930187838323, 0.3427649934282582], [0.6765178464473718, 0.12213543410003713], [0.6464065118336946, 0.15635147207009886], [0.5570990307635874, 0.35199907520993], [0.6108203891084416, 0.3012393672873317]]
0.0286, [[0.18615026971815196, 0.0], [0.014842033272392908, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0382, [[0.25776272921596927, 0.006709543397010014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0607, [[0.3632, 0.031103890988372112], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0100, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.9890, [[0.8337702991409321, 0.49493141489361775], [0.8531467673392297, 0.4380615100401604], [0.7987967661041442, 0.7099337730870705], [0.7913805058890199, 0.9471883131046607], [0.9158653354547649, 0.19134111208470217], [0.8409089979508291, 0.2669535783132526], [0.781223169081294, 0.9097271407211965], [0.8913897966779729, 0.032615720099667816], [0.7613770621768247, 0.7493166174142485], [0.7808809948243192, 0.40217461847389585]]
0.9146, [[0.9153554283969177, 0.4476863559693317], [0.8811916555209747, 0.7285251759014953], [0.8048646153710625, 0.7848561178540012], [0.9852126953223544, 0.3571194330047461], [0.9061771013556185, 0.3885319561883897], [0.8490675108764295, 0.5785313428571425], [0.7962684955762612, 0.6734653714285663], [0.8495774179342765, 0.2421515480102227], [0.8409089979508291, 0.46191318291347166], [0.8025048962117056, 0.4648538218327852]]
0.8539, [[0.7651409790035355, 0.8367264678979771], [0.847027882645027, 0.43088429025191655], [0.6737804523915824, 0.7570006156552327], [0.7049183097761811, 0.08295122234392177], [0.7045761355192062, 0.37277060715589583], [0.68473002861474, 0.03773458098006653], [0.6802817632740825, 0.2703499766338085], [0.3632, 0.2818533439211389], [0.7001278701785518, 0.02124288704318946], [0.6265604049292284, 0.2116180460021903]]
0.0520, [[0.3122443650692096, 0.026197037167774197], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0347, [[0.2052469255842345, 0.013686731935216058], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0600, [[0.9219842201489675, 0.5244109716312066], [0.6594091335986919, 1.0], [0.7913805058890199, 0.9471883131046607], [0.8117752214806099, 0.7637244503078282], [0.8847610049259231, 0.39755361445783194], [0.847027882645027, 0.43088429025191655], [0.9061771013556185, 0.3885319561883897], [0.7196318028260464, 0.8391107396657872], [0.6895204682123691, 0.9241363183817057], [0.8087412968471499, 0.7570006156552327]]
0.9353, [[0.7367405156747262, 0.8242389621811792], [0.6173216999909388, 0.9596758188214609], [0.8117752214806099, 0.7637244503078282], [0.7784857750255045, 0.7355273773087054], [0.7949200846280566, 0.15246126834611173], [0.7593240166349818, 0.4318703158086889], [0.7261331137085434, 0.4427372051843732], [0.7671940245453752, 0.18778222562979258], [0.6368256326384363, 0.3883306294267979], [0.6292977989850146, 0.4168342186929537]]
0.9575, [[0.6351147613535684, 0.8693854775725595], [0.8409089979508291, 0.2669535783132526], [0.8363198344301818, 0.2713732555677261], [0.8089098482156761, 0.8184752911169746], [0.6173216999909388, 0.9596758188214609], [0.6412738979790906, 0.8520944643799478], [0.8111010160065083, 0.3815552705366925], [0.9005681237192675, 0.03709627761627905], [0.8050331667395886, 0.5768401241134753], [0.6104782148514667, 0.7476262453825852]]
1.0482, [[0.9158653354547649, 0.9318203166226924], [0.8035162044228594, 0.9202943192612125], [0.9061771013556185, 0.3885319561883897], [0.896488867256472, 0.8732274766930528], [0.6895204682123691, 0.9241363183817057], [0.9005681237192675, 0.03709627761627905], [0.8847610049259231, 0.39755361445783194], [0.7979540092615165, 0.8645819700967458], [0.875072770826772, 0.8280809613016701], [0.6351147613535684, 0.8693854775725595]]
0.8662, [[0.7979540092615165, 0.8645819700967458], [0.7706157671151111, 0.4366696604600215], [0.6898626424693439, 0.6974476121372021], [0.7326344245910437, 0.02997554754983387], [0.7093665751168384, 0.325870190580504], [0.6624887019114561, 0.44494704381161], [0.5160381199267556, 0.3332376403797006], [0.6467486860906694, 0.20633757794815705], [0.6748069751625038, 0.042461557137641964], [0.3632, 0.36603567214311866]]
0.9345, [[0.8383594626615795, 0.46837862541073394], [0.6351147613535684, 0.8693854775725595], [0.7996395229467719, 0.858818299032541], [0.9153554283969177, 0.4476863559693317], [0.7613770621768247, 0.7493166174142485], [0.6898626424693439, 0.8045972963940192], [0.8495774179342765, 0.2421515480102227], [0.804358961265487, 0.33018048557867835], [0.8409089979508291, 0.2669535783132526], [0.7819075175952406, 0.344736251916758]]
0.2221, [[0.7340031216189369, 0.16635915589631212], [0.13391529926091947, 0.007048251038205982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.9041, [[0.8429486261822314, 0.6964861037818817], [0.8541665814549285, 0.025863051287375392], [0.6351147613535684, 0.8693854775725595], [0.8500873249921284, 0.45022513399050806], [0.6867830741565797, 0.8251991257695678], [0.8089098482156761, 0.8184752911169746], [0.8251018791574847, 0.1333391891201171], [0.8179631803475831, 0.36173964439576495], [0.6898626424693439, 0.8045972963940192], [0.8068872317933701, 0.7253031143359707]]
0.0100, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2147, [[0.5557303337356911, 0.2274237820372404], [0.3632, 0.03217856374584727], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0100, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0111, [[0.0, 0.010631595307308967], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.9057, [[0.875072770826772, 0.8280809613016701], [0.6778865434752681, 0.8290747440633252], [0.8373396485458806, 0.29564501971522456], [0.8087412968471499, 0.7570006156552327], [0.7367405156747262, 0.8242389621811792], [0.760692713662878, 0.8044977836411613], [0.7593240166349818, 0.4318703158086889], [0.7808809948243192, 0.4266833775100399], [0.7011543929494701, 0.43959603212851434], [0.7908748517834445, 0.06351922672508263]]
0.9933, [[0.8271415073888824, 0.6955259401934907], [0.6173216999909388, 0.9596758188214609], [0.8256117862153317, 0.90204314248021], [0.7579553196070887, 0.9471896578715926], [0.8648746296697739, 0.34705626542533746], [0.8048646153710625, 0.7848561178540012], [0.8111010160065083, 0.3815552705366925], [0.7367405156747262, 0.8242389621811792], [0.8373396485458806, 0.29564501971522456], [0.8572260238020253, 0.17839516721431192]]
0.9924, [[0.7913805058890199, 0.9471883131046607], [0.8164334591740324, 0.6983136420404579], [0.7960999442077351, 0.7214611152154798], [0.9015879378349712, 0.22063811902154107], [0.8791520272895723, 0.26187602227090123], [0.9102563578184186, 0.18661310368747708], [0.8531467673392297, 0.4380615100401604], [0.7196318028260464, 0.8391107396657872], [0.8025048962117056, 0.5687137836879438], [0.847027882645027, 0.43088429025191655]]
1.0095, [[0.7196318028260464, 0.8391107396657872], [0.8003137284208733, 0.8098311292875995], [0.6173216999909388, 0.9596758188214609], [0.6351147613535684, 0.8693854775725595], [0.8105953619009314, 0.7262632779243616], [0.7367405156747262, 0.8242389621811792], [0.9219842201489675, 0.5244109716312066], [0.8164334591740324, 0.6983136420404579], [0.6227964881025175, 0.8805806622691283], [0.8050331667395886, 0.45796908068638215]]
0.4904, [[0.7788279492824794, 0.4579873110624308], [0.7524805314955099, 0.4387193888280397], [0.7192896285690715, 0.43205341219423204], [0.6046612524829162, 0.17080023402701733], [0.5834464485505538, 0.3214425870755744], [0.6012395099131802, 0.1409000394304495], [0.3632, 0.17412450346841934], [0.5369107496021432, 0.0412092095655349], [0.5653112129309525, 0.033342241694352265], [0.3632, 0.17185204746257765]]
1.0346, [[0.9061771013556185, 0.3885319561883897], [0.8035162044228594, 0.9202943192612125], [0.8811916555209747, 0.7285251759014953], [0.9852126953223544, 0.3571194330047461], [0.8985284954878698, 0.39097878970427197], [0.7839605631370834, 0.9116488126649078], [0.8031791016858071, 0.5690158014184408], [0.8409089979508291, 0.46191318291347166], [0.8495774179342765, 0.2421515480102227], [0.8572260238020253, 0.17839516721431192]]
0.0410, [[0.26197522683348795, 0.013360851744186109], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
