mean:0.699741,,,,,,,,,,,,,,,,,,,,
1.1008, [[0.9517700687337969, 0.9466256084722924], [0.0, 0.05238081644995437], [0.2611831224924964, 0.052267166616268214], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1133, [[0.2794653372813355, 0.19861418808587822], [0.2656709096237607, 0.13935516177804666], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.781, [[0.7127906744200698, 0.8609198469765876], [0.49336969161798644, 0.8218654727141314], [0.26403397087506186, 0.11729272452373735], [0.2618820401604802, 0.084489724826126], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.904, [[0.8229620502814324, 0.8794765844702711], [0.305993570354723, 0.6157422360742709], [0.24681852515840844, 0.09258586029634112], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.076, [[0.9714030609563019, 0.9042546771096515], [0.8493180026198325, 0.8177782594868086], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.7521, [[0.6937767244372204, 0.8475142642748862], [0.2976529614187206, 0.27997832476564816], [0.29243209927945585, 0.1764045721197458], [0.22371745697452325, 0.1592403991533112], [0.2548009006295918, 0.1567727608104019], [0.2153304449587177, 0.10255525854248569], [0.0, 0.012653450257030605], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.1362, [[0.9910360531788068, 0.9413901455280445], [0.9437804639583857, 0.9047534881253159], [0.9061708609912051, 0.8738143023412498], [0.9272166491800937, 0.8368489164561226], [0.8155570507334902, 0.8655202862556848], [0.9050016505362666, 0.8595722361462017], [0.9128451040048109, 0.8262914830722587], [0.9106041172995124, 0.8303236120936499], [0.4580037446498855, 0.8588251926056932], [0.9107015515040909, 0.814892691001085]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1007, [[0.27089439956342914, 0.17147756879346832], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.9272, [[0.8619357321127077, 0.8638666734882937], [0.294657600274878, 0.589480859416446], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.5198, [[0.4735951836358236, 0.8061772204553667], [0.22734079330591286, 0.0], [0.0, 0.1200508013305104], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2547, [[0.23743831435125756, 0.6546808221900979], [0.2213448154174203, 0.05290769882068329], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.3219, [[0.3457417848153559, 0.6222162466843504], [0.2901146354329834, 0.26239438766253387], [0.23348391175608613, 0.030853099485938847], [0.0, 0.001721729664348453], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.7339, [[0.7891523812928013, 0.7254231814239253], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.5643, [[0.5070597356056395, 0.8295547217449891], [0.21582704435439035, 0.004076153613547095], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2614, [[0.2620107881519509, 0.6221699562334218], [0.0, 0.015243882673117394], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0411, [[0.9819746721530351, 0.8622374001179048], [0.5226511745915741, 0.6600351998554397], [0.0, 0.010187118234048519], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2783, [[0.2805504989237315, 0.5820973938992043], [0.23455068082827193, 0.6244185079575598], [0.29417939344941535, 0.23378119141215578], [0.2658548353258617, 0.24370443302086436], [0.29222978100714486, 0.14185110371938248], [0.228113281254737, 0.24104084668884154], [0.23793491374693024, 0.13088454792863616], [0.22344156842137175, 0.1903434411853637], [0.22905130233545218, 0.12006081644995424], [0.22334960557032124, 0.023531611732688126]]
0.8385, [[0.8363105363086439, 0.7955265547524396], [0.21430046102695205, 0.10982579981856623], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2018, [[0.292818343253868, 0.41375583616692524], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0183, [[0.9452419770270585, 0.8742333505137274], [0.6629741254650061, 0.8666800731851103], [0.7780935990731765, 0.8516946290213914], [0.7359876933991478, 0.6590544307914712], [0.27906070073671335, 0.24625349863924934], [0.21915609956241847, 0.20465069247051712], [0.21899056643052747, 0.22020199576655525], [0.0, 0.0309358330813425], [0.0, 0.0], [0.0, 0.0]]
