HV,front
mean:1.156713,
1.1547496381437976,"[[0.9932975403584918, 0.7084034199896423], [0.9901078155893401, 0.8518853804614622], [0.981063532699594, 0.9578119587628857], [0.9924092625746777, 0.6865672149145515], [0.9811442852253953, 0.7618766865671645], [0.9830015933188254, 0.7467289031589849], [0.9820729392721104, 0.7539124029850739], [0.9754512321564035, 0.9379506529209625], [0.9760568760999133, 0.8593338046146294], [0.9781160655078462, 0.8262312420225817]]"
1.1299623360857736,"[[0.9918036186311678, 0.8907807756504672], [0.9829208407930242, 0.9313306038291596], [0.9932975403584918, 0.7084034199896423], [0.9987483358500799, 0.4695232019512217], [0.9854645453557651, 0.7512149029850748], [0.9898251817490356, 0.7488890447761185], [0.9652764139054387, 0.7906470299459987], [0.99257076762628, 0.677638906266183], [0.9924092625746777, 0.6865672149145515], [0.9898251817490356, 0.43748993170731876]]"
1.108041511727041,"[[0.9861913180879769, 0.9156065390279814], [0.9924092625746777, 0.6865672149145515], [0.9863124468766788, 0.7499308805970144], [0.9852222877783614, 0.8080255277368683], [0.9821536917979116, 0.8361624742268047], [0.9854645453557651, 0.7512149029850748], [0.9832438508962291, 0.8146455768286692], [0.9919651236827702, 0.6789114344899015], [0.9908749645844528, 0.6823308130502331], [0.9880890024443074, 0.6015106369756601]]"
1.1134121133848158,"[[0.9918036186311678, 0.8907807756504672], [0.9861913180879769, 0.9156065390279814], [0.9967295227050473, 0.6224638632832725], [0.9987483358500799, 0.4695232019512217], [0.9901078155893401, 0.8518853804614622], [0.9922073812601744, 0.5903221170378042], [0.9933379166213923, 0.5312762185365847], [0.9854645453557651, 0.7512149029850748], [0.9776719266159393, 0.8502297889052521], [0.9898251817490356, 0.7488890447761185]]"
1.2011223963938251,"[[1.0, 0.6318072791299845], [0.9918036186311678, 0.8907807756504672], [0.9913998560021613, 0.9942233873343145], [0.9988290883758812, 0.6613021501812529], [0.9940243130907037, 0.788164221894943], [0.984212881205845, 0.8436097398134512], [0.9852222877783614, 0.8080255277368683], [0.9967295227050473, 0.6224638632832725], [0.9867565857685863, 0.7666484830633282], [0.9905923307441482, 0.7446673827032624]]"
1.1995586142941004,"[[0.9943069469310082, 0.0], [0.9819921867463091, 0.8783667353951885], [0.9635806108636114, 1.0], [0.9815884241173026, 0.8833323514972999], [0.984212881205845, 0.8436097398134512], [0.9940243130907037, 0.788164221894943], [0.9779545604562438, 0.9222265881197844], [0.9684257624116897, 0.9470535100638191], [0.9626923330797971, 0.9793276975945027], [0.9867565857685863, 0.7666484830633282]]"
1.199853347444653,"[[0.9913998560021613, 0.9942233873343145], [0.9987483358500799, 0.4695232019512217], [0.9967295227050473, 0.6224638632832725], [0.9933379166213923, 0.9412606774668639], [0.981063532699594, 0.9578119587628857], [0.9932975403584918, 0.7084034199896423], [0.9901078155893401, 0.8518853804614622], [0.9815884241173026, 0.8833323514972999], [0.9922073812601744, 0.5903221170378042], [0.977348916512734, 0.6890174603832211]]"
1.1787741094005066,"[[0.980013749864177, 0.9545007756504658], [0.9861913180879769, 0.9156065390279814], [0.9626923330797971, 0.9793276975945027], [0.9918036186311678, 0.8907807756504672], [0.9938224317762004, 0.7325954717762817], [0.9671337219988689, 0.934640628375061], [0.9804578887560842, 0.9081592734413347], [0.9905923307441482, 0.7661143838978893], [0.9852222877783614, 0.8080255277368683], [0.9932975403584918, 0.7084034199896423]]"
1.205162177008479,"[[1.0, 0.6318072791299845], [0.9804578887560842, 0.9081592734413347], [0.9918036186311678, 0.8907807756504672], [0.9635806108636114, 1.0], [0.9813057902769982, 0.895745233186058], [0.9938224317762004, 0.7325954717762817], [0.980013749864177, 0.9545007756504658], [0.9905923307441482, 0.7661143838978893], [0.9933379166213923, 0.5312762185365847], [0.9924092625746777, 0.6865672149145515]]"
1.1415311390444214,"[[0.9987483358500799, 0.4695232019512217], [0.9933379166213923, 0.9412606774668639], [0.9898251817490356, 0.7488890447761185], [0.9932975403584918, 0.7084034199896423], [0.9861913180879769, 0.9156065390279814], [0.9922073812601744, 0.5903221170378042], [0.9908749645844528, 0.6823308130502331], [0.9776719266159393, 0.8502297889052521], [0.9852222877783614, 0.8080255277368683], [0.9832438508962291, 0.8146455768286692]]"
1.1527492678492424,"[[0.980013749864177, 0.9545007756504658], [0.9933379166213923, 0.9412606774668639], [0.9899463105377376, 0.7517717462686561], [0.9852222877783614, 0.8080255277368683], [0.9819921867463091, 0.8783667353951885], [0.9706868331341263, 0.8613879430535102], [0.9614406689298767, 0.8725739027982333], [0.9760568760999133, 0.8593338046146294], [0.9781160655078462, 0.7740957486499749], [0.9540518128190576, 0.8766265684830624]]"
1.1984203771433288,"[[0.9913998560021613, 0.9942233873343145], [0.9987483358500799, 0.4695232019512217], [0.9875641110265994, 0.7503731343283578], [0.9779545604562438, 0.9222265881197844], [0.9819921867463091, 0.8783667353951885], [0.9867565857685863, 0.7666484830633282], [0.9898251817490356, 0.7488890447761185], [0.9852222877783614, 0.8080255277368683], [0.984212881205845, 0.8436097398134512], [0.9943069469310082, 0.0]]"
1.1420498535218333,"[[0.9967295227050473, 0.6224638632832725], [0.9987483358500799, 0.4695232019512217], [0.9933379166213923, 0.9412606774668639], [0.9956797398696302, 0.6094797058518902], [0.9671337219988689, 0.934640628375061], [0.9918036186311678, 0.8907807756504672], [0.9924092625746777, 0.6865672149145515], [0.9829208407930242, 0.9313306038291596], [0.9861913180879769, 0.9156065390279814], [0.9919651236827702, 0.6789114344899015]]"
1.1830294160488593,"[[0.9829208407930242, 0.9313306038291596], [0.9626923330797971, 0.9793276975945027], [1.0, 0.6318072791299845], [0.9684257624116897, 0.9470535100638191], [0.9938224317762004, 0.7325954717762817], [0.9918036186311678, 0.8907807756504672], [0.9861913180879769, 0.9156065390279814], [0.9956797398696302, 0.6094797058518902], [0.9905923307441482, 0.7446673827032624], [0.9867565857685863, 0.7666484830633282]]"
1.1684127570386764,"[[0.9988290883758812, 0.6613021501812529], [0.9918036186311678, 0.8907807756504672], [0.980013749864177, 0.9545007756504658], [0.9586143305268311, 0.9652592243495345], [0.9829208407930242, 0.9313306038291596], [1.0, 0.6318072791299845], [0.9938224317762004, 0.7325954717762817], [0.9813057902769982, 0.895745233186058], [0.9868373382943875, 0.726117408596582], [0.9863124468766788, 0.7499308805970144]]"
1.1186281396113333,"[[0.9967295227050473, 0.6224638632832725], [0.984212881205845, 0.8436097398134512], [0.9819921867463091, 0.8783667353951885], [0.9779545604562438, 0.9222265881197844], [0.9940243130907037, 0.788164221894943], [0.9832438508962291, 0.8146455768286692], [0.9755319846822047, 0.8315675994108988], [0.9867565857685863, 0.7666484830633282], [0.9898251817490356, 0.7488890447761185], [0.9905923307441482, 0.7446673827032624]]"
1.2012905961976754,"[[0.9933379166213923, 0.9412606774668639], [0.9988290883758812, 0.6613021501812529], [0.9913998560021613, 0.9942233873343145], [1.0, 0.6318072791299845], [0.9918036186311678, 0.8907807756504672], [0.9932975403584918, 0.7084034199896423], [0.9829208407930242, 0.9313306038291596], [0.9956797398696302, 0.6094797058518902], [0.9987483358500799, 0.4695232019512217], [0.9826785832156202, 0.7173317286380109]]"
1.1526023066756108,"[[0.9883716362846123, 0.7033978125323663], [0.9848992776751561, 0.796439862542956], [0.9875641110265994, 0.7503731343283578], [0.99257076762628, 0.677638906266183], [0.9854645453557651, 0.7512149029850748], [0.980013749864177, 0.9545007756504658], [0.9819921867463091, 0.8783667353951885], [0.9967295227050473, 0.6224638632832725], [0.9878871211298041, 0.6996651455204554], [0.9779545604562438, 0.9222265881197844]]"
1.1547460328813115,"[[0.9922073812601744, 0.5903221170378042], [0.9905923307441482, 0.7661143838978893], [0.9861913180879769, 0.9156065390279814], [0.9901078155893401, 0.8518853804614622], [0.981063532699594, 0.9578119587628857], [0.9933379166213923, 0.5312762185365847], [0.9899463105377376, 0.7517717462686561], [0.9852222877783614, 0.8080255277368683], [0.9754512321564035, 0.9379506529209625], [0.9781160655078462, 0.8262312420225817]]"
1.2006410667288927,"[[0.9913998560021613, 0.9942233873343145], [0.9919651236827702, 0.6789114344899015], [0.9918036186311678, 0.8907807756504672], [1.0, 0.6318072791299845], [0.9815884241173026, 0.8833323514972999], [0.9908749645844528, 0.6823308130502331], [0.9901078155893401, 0.8518853804614622], [0.9956797398696302, 0.6094797058518902], [0.9987483358500799, 0.4695232019512217], [0.9863124468766788, 0.7499308805970144]]"
