0.0860, [[0.3104219971864206, 0.0], [0.0, 0.4491], [0.0, 0.3898779734513316], [0.0, 0.3234785899705055], [0.0, 0.2891373805309753], [0.0, 0.2763724011799419], [0.0, 0.24203560766961976], [0.0, 0.23167583775811326], [0.0, 0.21208530383481], [0.0, 0.19985906784660784]]
0.1011, [[0.458, 0.0], [0.0, 0.4491], [0.002021352539818195, 0.20026238938053262], [0.458, 0.0], [0.0, 0.35020968141593056], [0.45237023146505906, 0.0], [0.0, 0.2746384129793527], [0.40715201052047284, 0.0], [0.0, 0.10963574631268413], [0.3502100793987747, 0.0]]
0.0274, [[0.0, 0.17352099410029914], [0.0, 0.13107066666666872], [0.0, 0.0870217728613609], [0.0, 0.07516647492625565], [0.0, 0.036603637168142265], [0.0, 0.033926112094399524], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1736, [[0.0, 0.4491], [0.4395462442676376, 0.08766061061947075], [0.458, 0.08578678466076695], [0.27690072224037154, 0.20588975516224442], [0.0, 0.34735404719764496], [0.458, 0.0400083185840728], [0.12148390203596356, 0.05153094985250932], [0.0, 0.32053022123893915], [0.458, 0.0], [0.0, 0.3042472182890881]]
0.1157, [[0.6082031834502724, 0.0], [0.0, 0.4491], [0.0, 0.4315834808259629], [0.0, 0.36046494100295046], [0.0, 0.29932787315634474], [0.0, 0.2540969823008876], [0.0, 0.23840424188790982], [0.0, 0.23756079941002956], [0.0, 0.2294781769911516], [0.0, 0.17319421533923596]]
0.0915, [[0.0, 0.37855258702065203], [0.4364823758595656, 0.0], [0.0, 0.32293837463127145], [0.4152619963945169, 0.0], [0.0, 0.3064389911504441], [0.2993137741104562, 0.0], [0.0, 0.2627772271386471], [0.2959223254722207, 0.0], [0.0, 0.23318608554572315], [0.2935876325690868, 0.0]]
0.2390, [[0.4549342657990867, 0.27360066961652085], [0.0, 0.38383256637168384], [0.5756883624565979, 0.07105671681416204], [0.22519341836464798, 0.12347526843658012], [0.0, 0.33884896755162297], [0.458, 0.0], [0.030111394521733306, 0.12212988200589923], [0.0, 0.2994559351032483], [0.42948851435023117, 0.0], [0.0, 0.2314035221238974]]
0.0931, [[0.38186360002231695, 0.0], [0.0, 0.4491], [0.0, 0.22133078761062314], [0.0, 0.20577935693215746], [0.0, 0.16630683775811583], [0.0, 0.16201602654867403], [0.0, 0.11083687905604751], [0.0, 0.10795916519174246], [0.0, 0.10719962536873204], [0.0, 0.09967782595870488]]
0.2444, [[0.461311377822251, 0.10791500589970875], [0.0, 0.4491], [0.458, 0.24367833333333608], [0.7756306654953502, 0.0], [0.0, 0.4449828820059034], [0.19914316070862773, 0.027079949852507744], [0.5551526860395415, 0.0], [0.0, 0.31468941887905655], [0.5360197197602601, 0.0], [0.0, 0.20358316814159333]]
0.1229, [[0.458, 0.048411831858408395], [0.0, 0.4491], [0.4564681077667642, 0.0], [0.0, 0.39026363126843977], [0.453411870413258, 0.0], [0.0, 0.3608461828908558], [0.3372341020003053, 0.0], [0.0, 0.2991983392330385], [0.08990410855673146, 0.0], [0.0, 0.2797020117994135]]
0.0984, [[0.0, 0.37521414454277474], [0.5085827094653406, 0.0], [0.0, 0.22121302949852797], [0.4437013534785844, 0.0], [0.0, 0.21485261946902812], [0.0, 0.20504042477876383], [0.0, 0.19065038348083066], [0.0, 0.18887223598820252], [0.0, 0.17485754867256909], [0.0, 0.17319421533923596]]
