mean:0.116746,,,,,,,,,,,,,,,,,,,,
0.034, [[0.24030540794612726, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1008, [[0.9076042295447949, 0.0], [0.6118539441418838, 0.0], [0.004056351720122687, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.4211, [[0.5233261076023157, 0.5206560846456674], [0.6177178959707602, 0.0], [0.0, 0.716880454734218], [0.6116073794397557, 0.058046118339531855], [0.6118539441418838, 0.0], [0.0, 0.4019566732283435], [0.6105103451853586, 0.0], [0.0, 0.2165991102362232], [0.6088808741104239, 0.0], [0.0, 0.15060539343246424]]
0.4165, [[0.5233261076023157, 0.5206560846456674], [0.0, 0.8173228932481754], [0.42137055391294104, 0.0], [0.0, 0.7024561565614618], [0.14719257236863448, 0.0], [0.0, 0.4282655999015744], [0.12242852035332849, 0.0], [0.0, 0.15060539343246424], [0.0, 0.146012239776954], [0.0, 0.13759887236679336]]
0.0652, [[0.5517750298710041, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0178, [[0.0, 0.07781002478314591], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0224, [[0.0, 0.12435324039653284], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0347, [[0.24674406147012123, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2295, [[0.4751178120012458, 0.22383116978346917], [0.9076042295447949, 0.0], [0.02535343645330024, 0.14088970570012338], [0.0, 0.2165991102362232], [0.6065653099513068, 0.0], [0.0, 0.1490828686493203], [0.4132231265334617, 0.0], [0.0, 0.06720684634448974], [0.35747926568812805, 0.0], [0.0, 0.0]]
