0.0333, [[0.0, 0.23330256410256406], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.6028, [[0.6948386030831577, 0.6584270687900184], [0.0, 0.5961052641602367], [0.5398060228629225, 0.5798141901165645], [0.5413960209564614, 0.2001577703218766], [0.28225803103919894, 0.527752927926449], [0.5081740762545965, 0.34378029551797834], [0.5211563287296805, 0.196882170212766], [0.0, 0.23043085542825967], [0.04566011802939706, 0.038783081696708945], [0.5171280603638325, 0.0]]
0.6339, [[0.5553126022081621, 0.8182968047939576], [0.8769151415069053, 0.0], [0.0, 0.6219728839271048], [0.6669134646109958, 0.0], [0.0, 0.470427376128715], [0.5436826676992327, 0.0], [0.0, 0.2333358499727223], [0.5288768349364541, 0.0], [0.0, 0.2308576573922531], [0.5009207344361307, 0.0]]
0.2926, [[0.8850475619507482, 0.19702825259138018], [0.6068894766777608, 0.0], [0.0, 0.18826605510092742], [0.46892295316808646, 0.18190124768139654], [0.0355244661490979, 0.0], [0.0, 0.16439193092506726], [0.0, 0.0647724818159627], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.3540, [[0.714222693809985, 0.19726640098199666], [0.0, 0.5723280945657523], [0.5081740762545965, 0.34378029551797834], [0.5132637093272142, 0.0], [0.14090543496341776, 0.08233107542103923], [0.0, 0.19260020240043646], [0.18800640546599215, 0.0], [0.0, 0.19230521167484999], [0.0, 0.18511021549372605], [0.0, 0.18137355864702664]]
0.6180, [[0.547415884872466, 0.8545536601543264], [0.5228938524195276, 0.6859824918732568], [0.5150708978819847, 0.7568010031193576], [0.0, 0.7252981024462328], [0.49585198904614963, 0.0], [0.24246069203859824, 0.6568046475127232], [0.0, 0.22635825150027272], [0.0, 0.21987039334424444], [0.0, 0.19100304582651395], [0.0, 0.1809981691216584]]
0.0680, [[0.39817212827813775, 0.0], [0.0, 0.18148698090561918], [0.0, 0.17733264593562467], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0835, [[0.5048916317367482, 0.0], [0.0, 0.2296670769230769], [0.45968162351252856, 0.0], [0.0, 0.2216259858156029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0647, [[0.5470880502140042, 0.0], [0.5287989742050697, 0.0], [0.15764913439312378, 0.0], [0.08197953726714899, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0888, [[0.0, 0.24840060283687942], [0.539892079460769, 0.0], [0.0, 0.031395904223836445], [0.42236851291396266, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.8710, [[0.8556144726420452, 0.0], [0.7604347103263225, 0.9012716417665414], [0.6439365401978396, 0.0], [0.5275245169702995, 0.03967580163214077], [0.0, 0.25214107474086195], [0.496001042750266, 0.0], [0.0, 0.23436825695581018], [0.0, 0.22615928314238953], [0.0, 0.2152903060556465], [0.0, 0.0389907030759573]]
