0.0045, [[0.0, 0.3513414367289632, 0.0], [0.0, 0.35123432581653646, 0.0], [0.0, 0.3497367383804053, 0.0], [0.0, 0.07489111917011057, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.3024, [[0.8523619588863165, 0.36184518482922967, 0.5874815856707385], [0.0, 0.35124906585035665, 0.0], [0.0, 0.35057004162570665, 0.2588894780793319], [0.0, 0.07901897613224255, 0.0], [0.0, 0.07194264991144476, 0.0], [0.0, 0.052482752804250694, 0.0], [0.0, 0.03597132495572244, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0045, [[0.0, 0.3512903379450532, 0.0], [0.0, 0.3512706845666263, 0.0], [0.0, 0.24118478535885976, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0045, [[0.0, 0.35136698612091816, 0.0], [0.0, 0.3513070433167161, 0.0], [0.0, 0.35125790987064875, 0.0], [0.0, 0.35063293243667276, 0.0], [0.0, 0.0241774479210593, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0834, [[0.16437798263034656, 0.3535622684912049, 0.5953369114454264], [0.0, 0.35125594453280606, 0.0], [0.0, 0.11557999493969813, 0.5804560478299963], [0.0, 0.35122744713408705, 0.0], [0.0, 0.3506014870311897, 0.0], [0.0, 0.08727469005650675, 0.0], [0.0, 0.059559079025048596, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0020, [[0.0, 0.09965826094290302, 0.0], [0.0, 0.06368693598718057, 0.0], [0.0, 0.060148772876781734, 0.0], [0.0, 0.05307244665598383, 0.0], [0.0, 0.04127856962132081, 0.0], [0.0, 0.0312537741418572, 0.0], [0.0, 0.004127856962132091, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0045, [[0.0, 0.3502968596655725, 0.0], [0.0, 0.05307244665598383, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0045, [[0.0, 0.3509758838902225, 0.0], [0.0, 0.27538702875938265, 0.0], [0.0, 0.10673458716370081, 0.0], [0.0, 0.07371173146664418, 0.0], [0.0, 0.0454064265834529, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0817, [[0.16261730444319292, 0.35300607788172317, 0.5869837129103709], [0.0, 0.350235934192449, 0.29884772442588725], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0763, [[0.13759433263182855, 0.35311515413199257, 0.6082816032149828], [0.0, 0.10142734249810244, 0.0], [0.0, 0.056020915914649645, 0.0], [0.0, 0.040099181917854526, 0.0], [0.0, 0.038330100362654995, 0.0], [0.0, 0.014152652441595696, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0880, [[0.18155793342620866, 0.3534178161597671, 0.5890858423430338], [0.0, 0.34982026523871973, 0.0], [0.0, 0.2759767226111159, 0.0], [0.0, 0.0796086699839758, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
