mean:0.148863,,,,,,,,,,,,,,,,,,,,
0.1024, [[0.0, 0.923568767861709], [0.0, 0.8696666795888098], [0.0, 0.8220124735729387], [0.0, 0.8216052642706128], [0.0, 0.6013], [0.0, 0.597954457423235], [0.0, 0.598522606204495], [0.0, 0.5775140756568533], [0.0, 0.5769263051598607], [0.0, 0.5678746875593541]]
0.3868, [[0.2752, 0.9309485231422289], [0.0, 0.8946882500895004], [0.0, 0.8558996194503166], [0.0, 0.6989853065539108], [0.0, 0.6013], [0.0, 0.5858858208293762], [0.0, 0.5409906144349478], [0.0, 0.5059938027856917], [0.0, 0.5120268797087686], [0.0, 0.4983289199113644]]
0.102, [[0.0, 0.8802591620723162], [0.0, 0.9195791508208458], [0.0, 0.891873632076919], [0.0, 0.8904446427658159], [0.0, 0.8684443513527336], [0.0, 0.6013], [0.0, 0.861166603743671], [0.0, 0.6750789217758981], [0.0, 0.6218958773784353], [0.0, 0.6013]]
0.1028, [[0.0, 0.927715879455838], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5773279496676162], [0.0, 0.5724707340930674], [0.0, 0.5315434390629945], [0.0, 0.5304936372269706], [0.0, 0.5145777828426717]]
0.1019, [[0.0, 0.9193336856748324], [0.0, 0.9085482852247736], [0.0, 0.8990922916687976], [0.0, 0.8710654634582928], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6008621554289331], [0.0, 0.597353071858183], [0.0, 0.5862437369420702], [0.0, 0.5997377109844887]]
0.0979, [[0.0, 0.8786021988441671], [0.0, 0.8582521828363933], [0.0, 0.7941313953488368], [0.0, 0.8570380122743313], [0.0, 0.7250689852008457], [0.0, 0.7215065327695561], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5917969227603671], [0.0, 0.5884699607470717]]
0.1016, [[0.0, 0.9163177715440086], [0.0, 0.8830826726844985], [0.0, 0.8725331098552651], [0.0, 0.8675225341891268], [0.0, 0.7060164059196612], [0.0, 0.7059236786469344], [0.0, 0.6013], [0.0, 0.5536766543209877], [0.0, 0.5939180702754036], [0.0, 0.5696203795504906]]
0.0982, [[0.0, 0.8824829734056154], [0.0, 0.8499532135306553], [0.0, 0.5810564761000315], [0.0, 0.6013], [0.0, 0.5452295457423235], [0.0, 0.5586270129787907], [0.0, 0.4940799775245331], [0.0, 0.49591296612852176], [0.0, 0.42461289637416855], [0.0, 0.33071434584853054]]
0.099, [[0.0, 0.8889906659847593], [0.0, 0.8896412956068122], [0.0, 0.8805485022758656], [0.0, 0.862355933820897], [0.0, 0.8159165539112051], [0.0, 0.8606994850406586], [0.0, 0.8389671881606766], [0.0, 0.8583178851838592], [0.0, 0.7745274841437632], [0.0, 0.8358752008456658]]
0.0989, [[0.0, 0.8892155532143404], [0.0, 0.8615336255817522], [0.0, 0.5601619116809117], [0.0, 0.5951787454890787], [0.0, 0.5726843304843304], [0.0, 0.5360718907882241], [0.0, 0.5490848524849635], [0.0, 0.5455738467869579], [0.0, 0.5347223171889839], [0.0, 0.543200259892371]]
0.105, [[0.0, 0.9498341999181711], [0.0, 0.9306264052575052], [0.0, 0.9097955274382447], [0.0, 0.8925100041425867], [0.0, 0.6013], [0.0, 0.6092511839323469], [0.0, 0.598467665400443], [0.0, 0.595965135802469], [0.0, 0.6013], [0.0, 0.6013]]
