HV,front
mean:1.252453,
1.3107280747017276,"[[0.3800980694980702, 1.0, 0.9161731716185326], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [1.0, 0.9852553466076688, 0.8773629773530018], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665]]"
1.3112598540800116,"[[0.4770942084942106, 1.0, 0.8586866715146464], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [1.0, 0.9852553466076688, 0.8773629773530018], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611], [0.3800980694980702, 1.0, 0.9161731716185326], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282]]"
1.3123264764379075,"[[0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.4770942084942106, 1.0, 0.8586866715146464], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [1.0, 0.9852553466076688, 0.8773629773530018], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.4008393822393833, 1.0, 0.9032664107625177], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611]]"
1.298986543073332,"[[0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.4770942084942106, 1.0, 0.8586866715146464], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.4008393822393833, 1.0, 0.9032664107625177], [1.0, 0.9852553466076688, 0.8773629773530018], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282]]"
1.216209522021801,"[[0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [1.0, 0.9852553466076688, 0.8773629773530018], [0.4008393822393833, 1.0, 0.9032664107625177], [0.6490331335262505, 0.906792048833317, 0.7390597911905249], [0.6497947705663497, 0.9000459623904697, 0.7867383180968216], [0.6491911326994625, 0.9022946578714187, 0.7989612435071675], [0.6507812525837122, 0.4043, 0.25172176601901636], [0.6509736874741628, 0.15992088998763845, 0.20311473008849615], [0.2370401773761715, 0.9136384587020651, 0.6989148514440051], [0.24627260709504714, 0.911532079646018, 0.7089533025140244]]"
1.2855094626798285,"[[0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.4722138996139022, 1.0, 0.8887475711614359], [0.4008393822393833, 1.0, 0.9032664107625177], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.3800980694980702, 1.0, 0.9161731716185326], [1.0, 0.9852553466076688, 0.8773629773530018], [0.6487110582885489, 0.9705106932153388, 0.9267599574070218]]"
1.310776622856518,"[[0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [1.0, 0.9852553466076688, 0.8773629773530018], [0.4008393822393833, 1.0, 0.9032664107625177], [0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611]]"
1.2990107316970358,"[[0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.4770942084942106, 1.0, 0.8586866715146464], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282], [0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611], [1.0, 0.9852553466076688, 0.8773629773530018], [0.3800980694980702, 1.0, 0.9161731716185326], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894]]"
1.2791060880015275,"[[0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.4008393822393833, 1.0, 0.9032664107625177], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.4722138996139022, 1.0, 0.8887475711614359], [0.6489095700702769, 0.9915744837758106, 0.9486388925825879], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665]]"
