mean:0.533369,,,,,,,,,,,,,,,,,,,,
0.5715, [[0.35611379261281484, 0.5431155350066048], [0.4254, 0.5126580475561429], [0.0, 0.5970210398582826], [0.9944101261442687, 0.02067924425887958], [0.0, 0.54683815661104], [0.7624088616165923, 0.5002533236459707], [0.0, 0.5758658609388836], [0.0, 0.5440331707317074], [0.4254, 0.5038588533685606], [0.0, 0.5449388138639281]]
0.3998, [[0.0, 0.5300324517833558], [0.0, 0.5693687949512841], [0.0, 0.5449984030808729], [0.4254, 0.505622792602378], [0.8622956075155435, 0.0], [0.2673461010147389, 0.5222506684280058], [0.0, 0.5429968797886392], [0.3061202964801811, 0.5124345759577278], [0.0, 0.5332412681638049], [0.4786152658640824, 0.5046197331572]]
0.5443, [[0.0, 0.5326597807133421], [0.0, 0.5418636327608987], [0.0, 0.5475757637997433], [0.4254, 0.5046261400264199], [0.9944101261442687, 0.02067924425887958], [0.032451157237869094, 0.5172087186261559], [0.414850668825663, 0.5085476565389699], [0.023795761428173964, 0.5253936221928667], [0.0, 0.5380951122853374], [0.8075148437293767, 0.41733784133611873]]
0.6505, [[0.2946634536164523, 0.5134266155878467], [0.0, 0.5395348639365919], [1.0, 0.40162202087683163], [0.7569909838794979, 0.5125588692206079], [0.004465815923087046, 0.5225771624834876], [0.0, 0.5457383260590501], [0.0, 0.5326597807133421], [0.0, 0.5429968797886392], [0.0, 0.5446456123234916], [0.4254, 0.5126580475561429]]
0.4707, [[0.12760841665951086, 0.5289261136063412], [0.0, 0.5401453104359316], [0.4254, 0.5038588533685606], [0.0, 0.5462180898587934], [0.21708765397058333, 0.520259669749009], [0.9068641017575845, 0.19793931524008493], [0.4254, 0.5014529458388377], [0.0, 0.5334890858652578], [0.0, 0.5442407445442875], [0.3746694926576575, 0.5108502853368562]]
0.5317, [[0.4254, 0.5065884359313081], [0.0, 0.5423269775429331], [0.3119857614869701, 0.5147492496697492], [0.8334862576436978, 0.0], [0.08371925019879178, 0.5234787371202115], [0.0, 0.5477177047496791], [0.7500896396191532, 0.5053019365918097], [0.0, 0.5264438361955085], [0.0, 0.5432206076618233], [0.4061986511287326, 0.5143548428005283]]
0.5326, [[0.46199614090069613, 0.503453682959049], [0.0, 0.5447035070603339], [0.7624088616165923, 0.5002533236459707], [0.8070848534327819, 0.0], [0.0016245309764395654, 0.5231917093791282], [0.46064167146642215, 0.5048403857331569], [0.0, 0.5389738784676351], [0.41927260817657597, 0.5127615825627477], [0.07614249034106484, 0.5210023540290623], [0.5958091212009708, 0.2346838455114869]]
0.6385, [[0.020829512560261793, 0.5406637542932626], [0.9944101261442687, 0.02067924425887958], [0.4254, 0.5088005997357992], [0.6670155143170544, 0.5073488031704094], [0.30330633507505445, 0.5254412892998679], [0.7624088616165923, 0.5002533236459707], [0.8101592840534346, 0.49677054953764915], [0.9578609509337183, 0.3842601670146211], [0.4254, 0.5152333527080579], [0.8267354099871604, 0.4335651983298567]]
0.6051, [[0.10276638261891173, 0.5236868322324968], [0.38028827922958186, 0.5125319603698809], [0.4254, 0.5014529458388377], [0.0, 0.5436535507060334], [0.8900729806755613, 0.498686715984148], [0.25629125263745683, 0.5164565521796564], [0.0, 0.5436164980744544], [0.4254, 0.5053334583883756], [0.42376763743411516, 0.5100009907529724], [0.020829512560261793, 0.5406637542932626]]
0.5296, [[0.7569909838794979, 0.5125588692206079], [0.0, 0.530113947159842], [0.0926969213843799, 0.5250389379128143], [0.027117170914417194, 0.5268405495376484], [0.0, 0.5470965083440308], [0.0, 0.5453631116816432], [0.37556484401383433, 0.3655662922755821], [0.7286331238190764, 0.07813847181628347], [0.0, 0.5353370832232502], [0.0, 0.5438505057766366]]
0.53, [[0.0, 0.5380192549537648], [0.7569909838794979, 0.5125588692206079], [0.0, 0.5267723804491412], [0.3969253692254754, 0.5127913104359318], [0.0, 0.5456919537869063], [0.0, 0.5439165905006419], [0.1489103227789253, 0.5234733553500661], [0.0, 0.5288259101717308], [0.0, 0.5429968797886392], [0.0, 0.544761458279846]]
0.3729, [[0.19281414427772114, 0.5258051994715982], [0.36579820524084705, 0.5120406816380451], [0.0, 0.5456021463414634], [0.0, 0.5392155455746372], [0.0, 0.6061418224092124], [0.4254, 0.4871497384412156], [0.0, 0.5476119127086008], [0.5145839541742291, 0.27166135281838505], [0.0, 0.5463803080872914], [0.5908427332753022, 0.0]]
0.5566, [[0.8603391516660379, 0.3453276784968727], [0.0, 0.5322307767503307], [0.012351697059731952, 0.5285276063408195], [0.4254, 0.5082924068692208], [0.0, 0.5466704595635431], [0.3647932190247305, 0.5223255006605021], [0.5142184624221242, 0.5057475984147952], [0.06173217710471066, 0.5225502536327608], [0.0, 0.5450688934531451], [0.6420330780849023, 0.5022684121532364]]
