0.1364, [[0.0, 0.5387684658273387], [0.07373157422038126, 0.3001998925879384], [0.3759022872926884, 0.0222390257537691], [0.0, 0.38424660116279025], [0.0, 0.36401394767441847], [0.43709632484088845, 0.0], [0.0, 0.39684454999999946], [0.0, 0.26645643530150853], [0.0, 0.3686461999999999], [0.0, 0.3167007192211048]]
0.2624, [[0.0, 0.3773627546511625], [0.0, 0.3582292686046516], [0.0, 0.3956712116279064], [0.3132699512198358, 0.3564962174418601], [0.46781913202524084, 0.35177541744186075], [0.41050476612315095, 0.0], [0.36135034735739513, 0.0], [0.16203137727520947, 0.12468776758793668], [0.01444539255836702, 0.08208794660803684], [0.3036342072086271, 0.0]]
0.0580, [[0.0, 0.35464651860465085], [0.055900805947790295, 0.0], [0.008696429488111421, 0.30855165703517945], [0.0, 0.39692002790697717], [0.0, 0.3502893848837213], [0.0, 0.0], [0.0, 0.12344136432160317], [0.01700547767559069, 0.0], [0.021968449701084736, 0.0], [0.0, 0.34619724069767394]]
0.0488, [[0.0, 0.3585174569767437], [0.0, 0.3504753023255814], [0.0, 0.3881201534883718], [0.0, 0.31296797864321646], [0.0, 0.3141496896984895], [0.0, 0.3123943743718599], [0.0, 0.34626683720930257], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0504, [[0.0, 0.3510444906976744], [0.0, 0.19077733040200626], [0.0, 0.16441094158291197], [0.0, 0.40388932861189764], [0.0, 0.005526871231152681], [0.0, 0.0], [0.0, 0.37259163604651135], [0.0, 0.3953483883720926], [0.0, 0.07458365012562534], [0.0, 0.0]]
0.0866, [[0.0, 0.4050400113314446], [0.0, 0.3875444302325581], [0.15678670571493453, 0.0], [0.0, 0.3847131918604649], [0.0, 0.5160072356115086], [0.0, 0.3502893848837213], [0.0, 0.445010910071943], [0.15191165150117783, 0.0], [0.0, 0.3774888779069772], [0.2504901292692604, 0.0]]
0.1592, [[0.0, 0.42963871942445775], [0.0, 0.40738444064747953], [0.5519812604002609, 0.0], [0.4571020296719129, 0.0], [0.1556590063778731, 0.03201186243718097], [0.21091475208036972, 0.0], [0.12203633814272664, 0.40581356940509894], [0.12390025976316182, 0.2865196463567855], [0.0, 0.4250619262589934], [0.0, 0.3719038395348834]]
0.0502, [[0.0, 0.39203944999999935], [0.0, 0.0], [0.0, 0.40160505949008524], [0.0, 0.38331897441860485], [0.0, 0.3621021674418604], [0.0, 0.3511412069767438], [0.0, 0.0], [0.0, 0.003387715452257964], [0.0, 0.37846290232558133], [0.0, 0.0]]
0.0751, [[0.2488350099748184, 0.0], [0.0, 0.36121146279069793], [0.0, 0.40232290368271956], [0.16935650920209802, 0.0], [0.15191165150117783, 0.0], [0.1671278337165115, 0.0], [0.0, 0.3609213139534887], [0.0, 0.0], [0.15433955538362487, 0.0], [0.0, 0.2651539654522641]]
0.0979, [[0.0, 0.2887256507537705], [0.1520413868231406, 0.19640123994974967], [0.0, 0.37275696860465135], [0.17777959155203074, 0.0], [0.20767006277047262, 0.0], [0.11467047920896221, 0.16530800690954797], [0.0, 0.2591483718592929], [0.15561338516575432, 0.0], [0.0, 0.3135631469849239], [0.0, 0.2646623046482442]]
0.2492, [[0.0, 0.37832632325581395], [0.8796233610641007, 0.09707928831658368], [0.19877174814787804, 0.2273284296482407], [0.0, 0.3536496220930232], [0.0, 0.3993591732558143], [0.15220747654851063, 0.09647333793969691], [0.0, 0.34887752325581406], [0.21991139062144696, 0.0], [0.0, 0.37450276279069783], [0.0, 0.3493731941860465]]
0.0725, [[0.22230393930450182, 0.0], [0.0, 0.4030286798866858], [0.14413391494402317, 0.0], [0.0, 0.31218089007538025], [0.0, 0.3918139965116277], [0.0, 0.3205434365577853], [0.0, 0.11944769849245844], [0.15708823341378222, 0.0], [0.0, 0.3741769988372089], [0.0, 0.0]]
0.2626, [[0.0, 0.3561145802325578], [0.0, 0.3968370348837208], [0.4713736152838539, 0.35177835813953473], [0.0, 0.3328780847989918], [0.3797860820727168, 0.0], [0.15433955538362487, 0.0], [0.44276337833811125, 0.0], [0.0, 0.03323454522612614], [0.0, 0.05967640829145254], [0.0, 0.21492046356783945]]
0.0662, [[0.0, 0.4048947932011331], [0.0, 0.36858673255813984], [0.0, 0.36674618255814], [0.15673324335698283, 0.0], [0.0, 0.37582836395348834], [0.15282336291211432, 0.0], [0.0, 0.28861351758794096], [0.0, 0.0], [0.0, 0.3996878583569407], [0.0, 0.04659995603014909]]
