HV,front_sat,front_raw,front_variables
mean:0.7634366562511397,,,
0.7312144624080736,"[[0.16374607951836515, 0.6224838202439547], [0.9999996404532605, 0.5358258686068906], [0.36326123123123155, 0.5806873263428205], [0.158014606287803, 0.5838354025251444], [0.10925614288514417, 0.589884178044083], [0.18222545915171684, 0.564655268136101], [0.9741888586679192, 0.5281279114151963], [0.7707440102542505, 0.46251428159884767], [0.17356555693705655, 0.5642395103787716], [0.9405895754124782, 0.0]]","[[154.82452, 2.294987], [214.24328, 1.852899], [183.96716, 2.081761], [152.73918, 2.097821], [144.10294, 2.128679], [161.54806, 1.999973], [212.80754, 1.819322], [201.4908, 1.606212], [158.39724, 1.997852], [210.93856, 1.118207]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0]]"
0.9521540717033434,"[[0.9366762687002372, 0.43472342638623324], [0.9405895754124782, 0.0], [0.595243853524595, 1.0], [0.6449411229457078, 0.523714054735326], [0.36326123123123155, 0.5806873263428205], [0.422668918918919, 0.4706840421317969], [0.6555017297770146, 0.2614668853046592], [0.36788126126126164, 0.5671899987160283], [0.3199777177177177, 0.6680981952580188], [0.31993075075075056, 0.5363492411726942]]","[[210.72088, 1.441201], [210.93856, 1.118207], [191.7285, 2.44004], [194.49294, 1.804986], [183.96716, 2.081761], [185.6874, 1.632747], [195.08038, 1.372822], [184.10094, 2.012904], [182.71382, 2.313821], [182.71246, 1.855569]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 64.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 64.0, 1.0]]"
0.7088302789711777,"[[0.18222545915171684, 0.564655268136101], [0.0, 0.5724948795206505], [0.2587843150609689, 0.5423790027819388], [0.9999996404532605, 0.5358258686068906], [0.17356555693705655, 0.5642395103787716], [0.6691213602676148, 0.43899130401529635], [0.6449411229457078, 0.523714054735326], [0.9870940697872199, 0.4354869216061185], [0.0, 0.5687934397603253], [0.6555017297770146, 0.2614668853046592]]","[[161.54806, 1.999973], [76.97608, 2.039967], [178.21364, 1.88633], [214.24328, 1.852899], [158.39724, 1.997852], [195.83798, 1.484126], [194.49294, 1.804986], [213.5254, 1.44888], [66.76542, 2.021084], [195.08038, 1.372822]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0]]"
0.8045875725738736,"[[0.595243853524595, 1.0], [0.6691213602676148, 0.43899130401529635], [0.3199777177177177, 0.6680981952580188], [0.6555017297770146, 0.2614668853046592], [0.1741630171358057, 0.5839851615664455], [0.3152989789789789, 0.5261592870003602], [0.18379812786882183, 0.5447359435052429], [0.2587843150609689, 0.5423790027819388], [0.4286040240240244, 0.0], [0.25510310227397553, 0.4856448487576521]]","[[191.7285, 2.44004], [195.83798, 1.484126], [182.71382, 2.313821], [195.08038, 1.372822], [158.61462, 2.098585], [182.57834, 1.812928], [162.12026, 1.898354], [178.21364, 1.88633], [185.85926, 1.338843], [177.63588, 1.681339]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 64.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 64.0, 8.0]]"
0.9596331073067252,"[[0.9366762687002372, 0.43472342638623324], [0.595243853524595, 1.0], [0.905803787916832, 0.4743066312567518], [0.16907825650422081, 0.6932948396094833], [0.47256510510510497, 0.5458220885940509], [0.36326123123123155, 0.5806873263428205], [0.2502664769856091, 0.5332478176760111], [0.1535093309276519, 0.6047814782794778], [0.2577876809842909, 0.4330057361376673], [0.27185639239811044, 0.0]]","[[210.72088, 1.441201], [191.7285, 2.44004], [209.00358, 1.644513], [156.76458, 2.3234], [187.13222, 1.903895], [183.96716, 2.081761], [176.87678, 1.839747], [151.09998, 2.204678], [178.05722, 1.423925], [180.26528, 1.213803]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 512.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 64.0, 64.0]]"
0.9841404535706915,"[[0.6802558036950939, 0.547724655681575], [0.9870940697872199, 0.4354869216061185], [0.595243853524595, 1.0], [0.9405895754124782, 0.0], [0.422668918918919, 0.4706840421317969], [0.17879906421486597, 0.5902907228760967], [0.17138872177920705, 0.60073543590841], [0.16374607951836515, 0.6224838202439547], [0.30549876876876847, 0.5658999931521507], [0.2530134966494562, 0.4362696061185468]]","[[196.45734, 1.913601], [213.5254, 1.44888], [191.7285, 2.44004], [210.93856, 1.118207], [185.6874, 1.632747], [160.3014, 2.130753], [157.60522, 2.184037], [154.82452, 2.294987], [182.29456, 2.006323], [177.30792, 1.456752]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 64.0]]"
0.7356823912132608,"[[0.17879906421486597, 0.5902907228760967], [0.16907825650422081, 0.6932948396094833], [0.6802558036950939, 0.547724655681575], [0.36326123123123155, 0.5806873263428205], [0.9741888586679192, 0.5281279114151963], [0.6449411229457078, 0.523714054735326], [0.7426677244635956, 0.44027509751434035], [0.25583468087443695, 0.5764770194735716], [0.10925614288514417, 0.589884178044083], [0.3759892792792797, 0.5432499182537984]]","[[160.3014, 2.130753], [156.76458, 2.3234], [196.45734, 1.913601], [183.96716, 2.081761], [212.80754, 1.819322], [194.49294, 1.804986], [199.92904, 1.497038], [177.7507, 2.060282], [144.10294, 2.128679], [184.33572, 1.890773]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 512.0, 1.0]]"
0.6148843605702586,"[[0.36788126126126164, 0.5671899987160283], [0.9405895754124782, 0.0], [0.3759892792792797, 0.5432499182537984], [0.16907825650422081, 0.6932948396094833], [0.820384471290529, 0.4303216214149139], [0.3199777177177177, 0.6680981952580188], [0.6460862793108754, 0.4327327112810707], [0.3484321021021019, 0.5214353889088945], [0.8996843024112879, 0.0], [0.16374607951836515, 0.6224838202439547]]","[[184.10094, 2.012904], [210.93856, 1.118207], [184.33572, 1.890773], [156.76458, 2.3234], [204.25208, 1.396929], [182.71382, 2.313821], [194.55664, 1.421179], [183.53776, 1.797585], [208.66318, 1.054004], [154.82452, 2.294987]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 64.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 65536.0, 8.0, 8.0]]"
0.8763836126760256,"[[0.8996843024112879, 0.0], [0.7707440102542505, 0.46251428159884767], [0.595243853524595, 1.0], [0.47256510510510497, 0.5458220885940509], [0.3199777177177177, 0.6680981952580188], [0.6691213602676148, 0.43899130401529635], [0.36326123123123155, 0.5806873263428205], [0.3484321021021019, 0.5214353889088945], [0.16374607951836515, 0.6224838202439547], [0.4809528528528532, 0.0]]","[[208.66318, 1.054004], [201.4908, 1.606212], [191.7285, 2.44004], [187.13222, 1.903895], [182.71382, 2.313821], [195.83798, 1.484126], [183.96716, 2.081761], [183.53776, 1.797585], [154.82452, 2.294987], [187.3751, 1.244724]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 512.0, 64.0]]"
