run,budget,hv
1,10,0.04558309662790694
1,20,0.04558309662790694
1,30,0.04861008744186043
1,40,0.04861008744186043
1,50,0.04861008744186043
1,60,0.09411037469962796
1,70,0.11225750291435671
1,80,0.11225750291435671
1,90,0.11443442014875502
1,100,0.11443442014875502
1,110,0.11443442014875502
1,120,0.11443442014875507
1,130,0.11443442014875507
1,140,0.11443442014875507
1,150,0.11443442014875507
1,160,0.11965244495053134
1,170,0.11965244495053134
1,180,0.11965244495053134
1,190,0.11965244495053134
1,200,0.13408269037927947
1,210,0.13408269037927947
1,220,0.13408269037927947
1,230,0.13408269037927947
1,240,0.13408269037927947
1,250,0.13408269037927947
1,260,0.14529904272772343
1,270,0.14529904272772343
1,280,0.14529904272772343
1,290,0.15147444250086978
1,300,0.15147444250086978
2,10,0.010000000000000002
2,20,0.061521804150835364
2,30,0.11871522910026372
2,40,0.12297992774872454
2,50,0.12297992774872543
2,60,0.12297992774872546
2,70,0.12297992774872546
2,80,0.12297992774872543
2,90,0.12297992774872551
2,100,0.12688658577020617
2,110,0.14632358915537327
2,120,0.14632358915537327
2,130,0.18111406976878838
2,140,0.18111406976878838
2,150,0.18111406976878838
2,160,0.18111406976878838
2,170,0.1811140697687884
2,180,0.1811140697687884
2,190,0.1811140697687884
2,200,0.1811140697687884
2,210,0.1811140697687884
2,220,0.1811140697687884
2,230,0.1811140697687884
2,240,0.1811140697687884
2,250,0.1811140697687884
2,260,0.1811140697687884
2,270,0.1811140697687884
2,280,0.1811140697687884
2,290,0.1811140697687884
2,300,0.1811140697687884
3,10,0.017579555087939125
3,20,0.06098641770847637
3,30,0.06098641770847637
3,40,0.06127055232020374
3,50,0.061270552320203765
3,60,0.06127055232020374
3,70,0.06127055232020374
3,80,0.0626344805760177
3,90,0.06263448057601759
3,100,0.06263448057601759
3,110,0.07391631179918098
3,120,0.07599639796197166
3,130,0.07632154110150655
3,140,0.14329570614773662
3,150,0.14329570614773662
3,160,0.14329570614773662
3,170,0.14329570614773662
3,180,0.14422322596393
3,190,0.17728554824038095
3,200,0.17728554824038095
3,210,0.17728554824038095
3,220,0.17728554824038095
3,230,0.17728554824038095
3,240,0.17728554824038095
3,250,0.17728554824038095
3,260,0.18009471668251092
3,270,0.18009471668251092
3,280,0.18009471668251092
3,290,0.19068817356003465
3,300,0.19068817356003465
4,10,0.04823622674418603
4,20,0.048236226744186025
4,30,0.04823622674418604
4,40,0.0897836603554884
4,50,0.0897836603554884
4,60,0.0897836603554884
4,70,0.0897836603554884
4,80,0.0897836603554884
4,90,0.0897836603554884
4,100,0.09093562965781396
4,110,0.09093562965781396
4,120,0.09093562965781399
4,130,0.09093562965781399
4,140,0.09093562965781399
4,150,0.09093562965781399
4,160,0.09093562965781396
4,170,0.11337595976485723
4,180,0.11426174848348172
4,190,0.11426174848348178
4,200,0.11426174848348178
4,210,0.11426174848348178
4,220,0.11426174848348178
4,230,0.11426174848348175
4,240,0.1142617484834817
4,250,0.1142617484834817
4,260,0.1142617484834817
4,270,0.1142617484834817
4,280,0.1142617484834817
4,290,0.1142617484834817
4,300,0.14792615162364187
5,10,0.05360222888883374
5,20,0.053967092959185926
5,30,0.05396709295918591
5,40,0.05909636969986575
5,50,0.06224814411847041
5,60,0.0622481441184704
5,70,0.0622481441184704
5,80,0.07520749612700298
5,90,0.11278181850986294
5,100,0.11278181850986294
5,110,0.11278181850986294
5,120,0.11278181850986294
5,130,0.11278181850986294
5,140,0.11278181850986294
5,150,0.19862418985492142
5,160,0.2011743227550315
5,170,0.2011743227550315
5,180,0.20195927537091057
5,190,0.20195927537091057
5,200,0.20195927537091057
5,210,0.20195927537091057
5,220,0.2019592753709106
5,230,0.2019592753709106
5,240,0.2019592753709106
5,250,0.2019592753709106
5,260,0.2019592753709106
5,270,0.23156717543321023
5,280,0.23156717543321023
5,290,0.23156717543321034
5,300,0.23156717543321023
6,10,0.04225615615163575
6,20,0.06609760797324338
6,30,0.13621722915494572
6,40,0.13621722915494572
6,50,0.13621722915494572
6,60,0.13621722915494572
6,70,0.13621722915494572
6,80,0.13621722915494572
6,90,0.13640719940990306
6,100,0.13640719940990292
6,110,0.13640719940990292
6,120,0.13640719940990292
6,130,0.1364071994099031
6,140,0.1364071994099031
6,150,0.1364071994099031
6,160,0.13804429265262375
6,170,0.13804429265262375
6,180,0.14440093398246678
6,190,0.14440093398246678
6,200,0.14440093398246678
6,210,0.16213906460876815
6,220,0.16213906460876815
6,230,0.16213906460876815
6,240,0.16213906460876815
6,250,0.16213906460876815
6,260,0.16213906460876815
6,270,0.16504242454071144
6,280,0.16504242454071144
6,290,0.16504242454071144
6,300,0.16504242454071144
7,10,0.04481119616279071
7,20,0.04481119616279071
7,30,0.04481119616279071
7,40,0.18349228561037706
7,50,0.18569931188944683
7,60,0.18569931188944683
7,70,0.18732770688944683
7,80,0.18732770688944683
7,90,0.18732770688944683
7,100,0.1968102971492888
7,110,0.19742460889347482
7,120,0.19742460889347482
7,130,0.19742460889347482
7,140,0.19742460889347482
7,150,0.19742460889347482
7,160,0.2070645444821898
7,170,0.20982971601556788
7,180,0.20982971601556788
7,190,0.20982971601556788
7,200,0.20982971601556788
7,210,0.20982971601556782
7,220,0.20982971601556782
7,230,0.20982971601556782
7,240,0.20982971601556782
7,250,0.20982971601556782
7,260,0.20982971601556782
