HV,front_sat,front_raw,front_variables
mean:0.12103997161901674,,,
0.11248772235534277,"[[0.0, 0.9959441709446066], [0.028933052608821033, 0.0], [0.0, 0.916109988250338], [0.0, 0.7489480251301914], [0.0, 0.7453001620489638], [0.0, 0.7392441696843899], [0.0, 0.7310988411201094], [0.0, 0.7192733627383754], [0.0, 0.7119328963842915], [0.0, 0.709620551085083]]","[[464689.4, 97.72794], [1657526.2, 25.393675], [195079.0, 96.689422], [87350.4, 94.514906], [198976.6, 94.467453], [485173.2, 94.388674], [482559.6, 94.282716], [482477.8, 94.128885], [200729.8, 94.033397], [199720.8, 94.003317]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 8.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 3.0, 18.0]]"
0.11012368698780708,"[[0.0, 0.9760451635501037], [0.025191706327966617, 0.0], [0.02424688358564021, 0.0], [0.0, 0.9387495245649473], [0.0, 0.915698486109824], [0.014520395113775019, 0.0], [0.0, 0.7953431426082764], [0.0, 0.7384984998239406], [0.0, 0.7337920161604186], [0.0, 0.7306817272373466]]","[[466420.0, 97.469085], [1656934.6, 25.395156], [1656785.2, 25.393674], [194423.6, 96.983927], [194169.8, 96.684069], [1655247.2, 25.404111], [86382.8, 95.118434], [38604.2, 94.378974], [484260.2, 94.31775], [198856.6, 94.27729]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 5.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5.0, 3.0, 18.0]]"
0.17567025268291725,"[[0.0, 0.9972851467225119], [0.6594173801066606, 0.0], [0.0, 0.9653534877221601], [0.03066838969378928, 0.0], [0.028933052608821033, 0.0], [0.0, 0.7336008325580536], [0.0, 0.7288447656924705], [0.017342215111269033, 0.0], [0.0, 0.6288507448989052], [0.0036947754999003203, 0.0]]","[[192556.2, 97.745384], [1658928.2, 25.343411], [466346.6, 97.330003], [1657800.6, 25.398637], [1657526.2, 25.393675], [480757.2, 94.315263], [201585.2, 94.253394], [1655693.4, 25.387102], [39534.0, 92.952628], [1653535.4, 25.426626]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 6.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 4.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 2.0, 6.0]]"
0.10901127615338443,"[[0.0, 0.9741226421542282], [0.01599011937961561, 0.0], [0.0018949324445742641, 0.0], [0.0, 0.9570993067328899], [0.0, 0.9557861590466836], [0.0, 0.7655647014214504], [0.0, 0.7489480251301914], [0.0, 0.7381100596378731], [0.0, 0.7326984951537275], [0.0, 0.7298121378083365]]","[[467856.2, 97.444076], [1655479.6, 25.388594], [1653250.8, 25.353073], [468810.8, 97.222629], [469165.6, 97.205547], [87644.0, 94.731063], [87350.4, 94.514906], [482264.0, 94.373921], [65071.8, 94.303525], [38731.0, 94.265978]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 8.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 5.0, 4.0, 18.0]]"
0.1886124807188378,"[[0.7990622561403596, 0.0], [0.0, 0.987062551048018], [0.0, 0.9663659075223778], [0.011754227326003284, 0.0], [0.00875659693870543, 0.0], [0.0, 0.8111767886728813], [0.0, 0.7139116889490174], [0.0, 0.6911988924924477], [0.0, 0.5998830082840672], [0.0, 0.374418004272143]]","[[1659165.0, 25.335463], [193135.6, 97.612404], [467354.6, 97.343173], [1654809.8, 25.388123], [1654335.8, 25.401185], [86155.4, 95.324405], [65027.2, 94.059138], [39843.0, 93.76368], [46170.8, 92.575803], [66671.8, 91.50193]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 5.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 6.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 18.0]]"
0.11085249290530427,"[[0.0, 0.9820519570785229], [0.02647297197451963, 0.0], [0.003572087673922896, 0.0], [0.0, 0.9652815344242851], [0.0, 0.9416402636816843], [0.0, 0.7953431426082764], [0.0, 0.7294365354435781], [0.0, 0.7117636985118329], [0.0, 0.6981817448062423], [0.0, 0.6822231029485349]]","[[192820.4, 97.547224], [1657137.2, 25.397579], [1653516.0, 25.399928], [467254.0, 97.329067], [469214.0, 97.021531], [86382.8, 95.118434], [482402.8, 94.261092], [200038.4, 94.031196], [65992.6, 93.854516], [65515.8, 93.646919]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 3.0, 18.0]]"
0.10887042625676041,"[[0.0, 0.9636036234919103], [0.025100639075693397, 0.0], [0.0, 0.9557861590466836], [0.0036947754999003203, 0.0], [0.0, 0.9242325623528981], [0.0034291626807726626, 0.0], [0.0, 0.8995786411905334], [0.0, 0.7489480251301914], [0.0, 0.7276180234622588], [0.0, 0.7262708978298336]]","[[193713.2, 97.30724], [1656920.2, 25.343199], [469165.6, 97.205547], [1653535.4, 25.426626], [194604.4, 96.795084], [1653493.4, 25.426993], [196362.0, 96.474375], [87350.4, 94.514906], [38773.6, 94.237436], [485356.2, 94.219912]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 5.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 3.0, 18.0]]"
0.11161872264734021,"[[0.034135269394879035, 0.0], [0.0, 0.9820519570785229], [0.0, 0.9661560437369111], [0.025191706327966617, 0.0], [0.0, 0.9652815344242851], [0.02424688358564021, 0.0], [0.0, 0.9290080781333983], [0.01254853613748892, 0.0], [0.0, 0.7953431426082764], [0.0, 0.7589047164699121]]","[[1658348.8, 25.402462], [192820.4, 97.547224], [193888.8, 97.340443], [1656934.6, 25.395156], [467254.0, 97.329067], [1656785.2, 25.393674], [194050.0, 96.857206], [1654935.4, 25.401595], [86382.8, 95.118434], [87513.6, 94.644427]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.0, 3.0, 18.0]]"
0.11072436634064897,"[[0.025191706327966617, 0.0], [0.0, 0.9820519570785229], [0.02120751404105175, 0.0], [0.0, 0.9760451635501037], [0.0, 0.9661560437369111], [0.009191696032895793, 0.0], [0.0, 0.9605317711595844], [0.0, 0.8062063993773054], [0.0, 0.7646148563909634], [0.0, 0.7596539224967107]]","[[1656934.6, 25.395156], [192820.4, 97.547224], [1656304.6, 25.397941], [466420.0, 97.469085], [193888.8, 97.340443], [1654404.6, 25.437979], [466690.6, 97.26728], [85910.8, 95.259748], [44282.8, 94.718707], [87456.2, 94.654173]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 7.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 6.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 7.0, 4.0, 18.0]]"
