HV,front_sat,front_raw,front_variables
mean:0.46060580899152553,,,
0.2722115514186132,"[[0.3632, 0.2818533439211389], [0.3632, 0.18837827966411053], [0.16789611337557106, 0.29367693172690784], [0.7791701235394511, 0.12157742606790806], [0.3632, 0.10747583388097932], [0.3632, 0.18345924863088764], [0.13981279592544663, 0.02867785029069772], [0.0, 0.03486233388704329], [0.3632, 0.003357722799003444], [0.31814186173373676, 0.0195457288205981]]","[[10089.6, 12.521379], [10092.0, 12.403448], [9685.2, 12.536296], [10460.4, 12.31917], [10133.6, 12.301379], [10058.4, 12.397242], [9665.2, 12.096413], [9536.0, 12.175], [9884.2, 11.774667], [9792.2, 11.98037]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 20.0, 32.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 32.0, 20.0, 20.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 3.0, 10.0, 64.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 16.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 8.0, 0.0, 8.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 128.0, 20.0, 10.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 2.0, 128.0, 64.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 3.0, 32.0, 16.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 128.0, 16.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 20.0, 16.0, 128.0]]"
0.813934668975373,"[[0.7788279492824794, 0.8261592893579587], [0.7699314186011645, 0.5285604326241147], [0.7788279492824794, 0.4579873110624308], [0.6464065118336946, 0.15635147207009886], [0.25888606191397323, 0.15805006754289935], [0.14346362719396075, 0.3283178167214313], [0.3632, 0.036395568313953526], [0.3632, 0.0298827649501662], [0.0, 0.033007311461793996], [0.3632, 0.015232636420265856]]","[[10460.2, 12.926428], [10455.0, 12.791498], [10460.2, 12.743595], [10382.8, 12.363042], [9750.0, 12.365185], [9667.8, 12.58], [10121.0, 12.194483], [10036.6, 12.111724], [9496.0, 12.151428], [9998.8, 11.925563]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 32.0, 64.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 32.0, 32.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 64.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 8.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 32.0, 32.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 8.0, 128.0, 8.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 64.0, 20.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 32.0, 20.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 3.0, 64.0, 16.0, 10.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 8.0, 10.0, 8.0]]"
0.41704980827250937,"[[0.7825918661091871, 0.27657842424242385], [0.6806239375310543, 0.3850618437385912], [0.3632, 0.23732446148229253], [0.6357991098675149, 0.20867899233296827], [0.3632, 0.019131630398671183], [0.3632, 0.05833308105147862], [0.3632, 0.01292944019933556], [0.0, 0.013710498131229315], [0.2678727234980125, 0.0], [0.0, 0.006743933554817307]]","[[10462.4, 12.514724], [10402.8, 12.65159], [9999.0, 12.4652], [10376.6, 12.42906], [10179.4, 11.975108], [10048.6, 12.239379], [9913.8, 11.896296], [9434.4, 11.906221], [9756.4, 11.714237], [9370.6, 11.817696]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 128.0, 32.0, 20.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 10.0, 16.0, 32.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 32.0, 8.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 64.0, 8.0, 20.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 16.0, 20.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 16.0, 64.0, 20.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 128.0, 8.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 4.0, 20.0, 20.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 64.0, 32.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 4.0, 32.0, 16.0, 20.0]]"
0.7535371371111068,"[[0.7223691968818358, 0.7723699569041329], [0.7854812079906263, 0.30072733150785036], [0.7699314186011645, 0.5285604326241147], [0.6837035058438186, 0.037116266403654466], [0.1639644489325521, 0.17740438590726504], [0.07297450039414997, 0.07910223512230788], [0.3632, 0.03699255627076414], [0.0, 0.02648687458471762], [0.3632, 0.019596172965116364], [0.3632, 0.003777408637873756]]","[[10427.2, 12.886429], [10464.8, 12.545191], [10455.0, 12.791498], [10404.6, 12.203641], [9682.4, 12.389603], [9617.6, 12.265582], [10077.4, 12.202069], [9509.4, 12.068572], [10009.4, 11.981011], [9900.8, 11.78]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 128.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 10.0, 32.0, 20.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 32.0, 32.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 10.0, 64.0, 10.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 10.0, 0.0, 20.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 3.0, 32.0, 64.0, 128.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 64.0, 64.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 0.0, 20.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 16.0, 32.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 32.0, 20.0, 8.0]]"
0.43081103575772733,"[[0.6525656484592199, 0.47245641843971614], [0.6115047376223882, 0.08987321686747005], [0.6183482227618602, 0.06750058232931738], [0.3632, 0.173619601314349], [0.3632, 0.03232509572259139], [0.3632, 0.12168839357429727], [0.3632, 0.03705047653654486], [0.3632, 0.02933102720099674], [0.3632, 0.022698369808970165], [0.3632, 0.006046057308970159]]","[[10386.4, 12.76159], [10362.4, 12.279171], [10366.4, 12.250945], [10167.4, 12.384828], [10211.4, 12.142759], [10076.2, 12.31931], [9994.8, 12.202805], [10020.4, 12.104713], [10160.4, 12.020431], [9983.6, 11.808828]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 128.0, 32.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 16.0, 20.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 64.0, 8.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 32.0, 32.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 64.0, 32.0, 16.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 64.0, 16.0, 16.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 128.0, 64.0, 64.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 2.0, 20.0, 32.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 128.0, 32.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 20.0, 8.0, 32.0]]"
0.42540599529924894,"[[0.77609055522669, 0.38557308689302605], [0.6919156880111836, 0.03599563517441865], [0.5201442110104382, 0.044573902884265104], [0.5160381199267556, 0.3332376403797006], [0.2729277206390354, 0.10514947937203382], [0.3632, 0.08506436071558995], [0.3632, 0.09381018546914997], [0.3632, 0.08941904271632058], [0.3632, 0.04176404709748098], [0.3632, 0.023571108596345532]]","[[10458.6, 12.652235], [10409.4, 12.189401], [10309.0, 12.22202], [10306.6, 12.586207], [9760.0, 12.298444], [10101.0, 12.273104], [10050.2, 12.284138], [9987.4, 12.278598], [10043.8, 12.218475], [10040.8, 12.031521]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 128.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 20.0, 10.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 64.0, 32.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 32.0, 64.0, 10.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 64.0, 32.0, 128.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 128.0, 32.0, 10.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 10.0, 8.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 8.0, 10.0, 32.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 16.0, 16.0, 128.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 32.0, 128.0, 32.0]]"
0.8840699522436155,"[[0.7600083651489316, 0.9279783175021991], [0.7456370463560379, 0.3082651956918582], [0.7192896285690715, 0.43205341219423204], [0.3632, 0.037752366279069825], [0.6450378148058014, 0.03146967005813951], [0.23248774351085724, 0.0375001455564785], [0.4328897754821707, 0.024643735257475177], [0.3632, 0.007598257475083121], [0.29033937745811206, 0.010125579941860469], [0.26394105905499615, 0.011699500207641305]]","[[10449.2, 13.002143], [10440.8, 12.554701], [10425.4, 12.710876], [10074.2, 12.211724], [10382.0, 12.131889], [9731.2, 12.208519], [10258.0, 12.045151], [10005.4, 11.828552], [9772.4, 11.860667], [9753.6, 11.880667]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 16.0, 64.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 16.0, 20.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 16.0, 64.0, 128.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 16.0, 16.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 20.0, 32.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 16.0, 64.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 128.0, 32.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 64.0, 0.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 128.0, 64.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 20.0, 64.0, 20.0]]"
0.17045636068157216,"[[0.5772873119250284, 0.0816957042716317], [0.9056671942977667, 0.03078792649501671], [0.8048646153710625, 0.050333116465863866], [0.3632, 0.022526969892026592], [0.44383935170532524, 0.014326766611295718], [0.290901043807114, 0.0359669898255815], [0.3632, 0.019773553779069763], [0.3632, 0.015648780938538297], [0.3632, 0.0023608803986711847], [0.33274518680780096, 0.005193936877076467]]","[[10342.4, 12.268854], [10533.8, 12.123226], [10487.8, 12.229286], [10035.0, 12.018253], [10264.4, 11.914052], [9772.8, 12.189037], [9968.2, 11.983265], [10000.8, 11.930851], [9900.0, 11.762], [9802.6, 11.798]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 128.0, 128.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 64.0, 10.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 64.0, 10.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 64.0, 64.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 32.0, 10.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 10.0, 16.0, 32.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 2.0, 32.0, 128.0, 64.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 2.0, 16.0, 20.0, 32.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 10.0, 0.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 128.0, 128.0, 64.0]]"
0.8179185242719591,"[[0.7949200846280566, 0.15246126834611173], [0.7651409790035355, 0.8367264678979771], [0.6292977989850146, 0.4168342186929537], [0.3632, 0.4347023650967512], [0.3632, 0.18732567360350516], [0.46710720117953053, 0.03553227304817277], [0.19654109717469748, 0.08007954180357775], [0.3632, 0.03069144518272428], [0.3632, 0.0168318181063123], [0.3632, 0.027460501661129656]]","[[10476.0, 12.358134], [10452.2, 12.934286], [10372.8, 12.691675], [10057.0, 12.714218], [10009.4, 12.40212], [10278.0, 12.183513], [9705.6, 12.266815], [9824.6, 12.122], [10193.8, 11.945884], [10076.4, 12.080944]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 16.0, 20.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 20.0, 8.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 16.0, 16.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 64.0, 10.0, 0.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 128.0, 32.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 32.0, 32.0, 10.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 128.0, 16.0, 32.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 20.0, 128.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 64.0, 0.0, 20.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 8.0, 10.0, 10.0]]"
