run,budget,hv
1,10,0.9907461038648906
1,20,1.0975056409047848
1,30,1.0975056409047848
1,40,1.0975056409047845
1,50,1.098912315596551
1,60,1.098912315596551
1,70,1.098912315596551
1,80,1.098912315596551
1,90,1.098912315596551
1,100,1.0999513067785847
1,110,1.0999513067785842
1,120,1.0999513067785847
1,130,1.0999513067785847
1,140,1.0999513067785847
1,150,1.0999513067785847
1,160,1.099951306778585
1,170,1.0999513067785855
1,180,1.1010244238691347
1,190,1.1010244238691347
1,200,1.1010244238691351
1,210,1.101024423869135
1,220,1.101024423869135
1,230,1.1010244238691351
1,240,1.1010244238691327
1,250,1.1010244238691327
1,260,1.1010244238691327
1,270,1.1010244238691327
1,280,1.1013699463131226
1,290,1.1013699463131226
1,300,1.1013699463131226
2,10,1.0475326159793554
2,20,1.0475326159793554
2,30,1.0524175328866452
2,40,1.0524175328866452
2,50,1.0524175328866452
2,60,1.07814807634385
2,70,1.0781480763438496
2,80,1.0781480763438496
2,90,1.0781480763438496
2,100,1.0781480763438496
2,110,1.0781480763438496
2,120,1.0781480763438496
2,130,1.0781480763438496
2,140,1.137373381136509
2,150,1.137373381136509
2,160,1.1566206180806367
2,170,1.1566206180806367
2,180,1.1566206180806367
2,190,1.156620618080637
2,200,1.156620618080637
2,210,1.156620618080637
2,220,1.1566206180806367
2,230,1.1566206180806367
2,240,1.1566206180806367
2,250,1.1566206180806367
2,260,1.1566206180806367
2,270,1.1566206180806367
2,280,1.1566206180806367
2,290,1.1566206180806367
2,300,1.1566206180806367
3,10,0.11298690779292803
3,20,1.066840753855553
3,30,1.0731694480042848
3,40,1.0731694480042848
3,50,1.0922436567565423
3,60,1.0922436567565423
3,70,1.092243656756542
3,80,1.092243656756542
3,90,1.092243656756542
3,100,1.092801061745214
3,110,1.092801061745214
3,120,1.092801061745214
3,130,1.092801061745214
3,140,1.092801061745214
3,150,1.093845585835067
3,160,1.0938455858350677
3,170,1.0938455858350677
3,180,1.0938455858350684
3,190,1.0938455858350684
3,200,1.1381609578768201
3,210,1.1427668417447636
3,220,1.1427668417447636
3,230,1.1427727912975394
3,240,1.1427727912975394
3,250,1.1427727912975394
3,260,1.1427727912975394
3,270,1.1427727912975394
3,280,1.1427727912975394
3,290,1.1427727912975394
3,300,1.1427727912975394
4,10,0.9559047445963913
4,20,0.9564799917721454
4,30,0.9753241209839569
4,40,1.0331615001135588
4,50,1.033345105722172
4,60,1.0863076622593622
4,70,1.0863076622593622
4,80,1.103391113651527
4,90,1.103391113651527
4,100,1.1033911136515262
4,110,1.1033911136515298
4,120,1.10339111365153
4,130,1.10339111365153
4,140,1.10339111365153
4,150,1.104862967187284
4,160,1.104862967187284
4,170,1.1048629671872827
4,180,1.1048629671872827
4,190,1.1048629671872827
4,200,1.1048629671872827
4,210,1.1048629671872827
4,220,1.134278222565389
4,230,1.134278222565389
4,240,1.134278222565389
4,250,1.1342782225653902
4,260,1.1342782225653902
4,270,1.1342782225653902
4,280,1.1342782225653902
4,290,1.1342782225653902
4,300,1.134278222565389
5,10,0.9767529807655319
5,20,1.0428622075269058
5,30,1.0438322993862492
5,40,1.0438322993862492
5,50,1.071477970012003
5,60,1.071477970012003
5,70,1.071477970012003
5,80,1.071477970012003
5,90,1.0714779700120036
5,100,1.0714779700120036
5,110,1.0714779700120036
5,120,1.0714779700120034
5,130,1.0720074665981567
5,140,1.0720074665981567
5,150,1.0720074665981585
5,160,1.0720074665981585
5,170,1.0720074665981585
5,180,1.0720074665981585
5,190,1.0720074665981585
5,200,1.088937591422901
5,210,1.088937591422901
5,220,1.0889375914229005
5,230,1.0889375914229005
5,240,1.0891533607498727
5,250,1.0931876228885984
5,260,1.0931876228885984
5,270,1.0931876228885984
5,280,1.0931876228885984
5,290,1.0931876228885984
5,300,1.0931876228885984
6,10,0.11552836579309925
6,20,1.075817113912679
6,30,1.075817113912679
6,40,1.091688940038111
6,50,1.0930382907461684
6,60,1.0930382907461689
6,70,1.0930382907461689
6,80,1.0930382907461689
6,90,1.0930382907461684
6,100,1.0930382907461684
6,110,1.0930382907461684
6,120,1.0971329714022509
6,130,1.0971329714022509
6,140,1.0971329714022495
6,150,1.0978935762874533
6,160,1.1018694471016972
6,170,1.1018694471016972
6,180,1.1018694471016972
6,190,1.1018694471016972
6,200,1.1018694471016972
6,210,1.1018694471016972
6,220,1.1018694471016972
6,230,1.1018694471016972
6,240,1.1145095660990791
6,250,1.1145095660990796
6,260,1.1145095660990796
6,270,1.1145095660990796
6,280,1.1145095660990796
6,290,1.1145095660990796
6,300,1.1145095660990796
7,10,0.6008963308933581
7,20,1.0008242575240098
7,30,1.1140782913971752
7,40,1.1140782913971763
7,50,1.1140782913971763
7,60,1.114078291397175
7,70,1.114078291397175
7,80,1.114078291397173
7,90,1.1143345157533615
7,100,1.1143345157533615
7,110,1.1143345157533615
7,120,1.1143345157533615
7,130,1.1143345157533586
7,140,1.1143345157533648
7,150,1.1143345157533648
7,160,1.1143345157533648
7,170,1.1143345157533648
7,180,1.1143345157533664
7,190,1.1143345157533664
7,200,1.1143345157533664
7,210,1.1143345157533615
7,220,1.1143345157533668
7,230,1.1143345157533668
7,240,1.1143345157533668
7,250,1.1143345157533584
7,260,1.1143345157533584
