HV,front_sat,front_raw,front_variables
mean:0.17854358015155533,,,
0.10964473461825422,"[[0.996447346182542, 0.0], [0.995183900690845, 0.0], [0.9938173464291356, 0.0], [0.9620677518847159, 0.0], [0.9592973692988986, 0.0], [0.9584189277590776, 0.0], [0.538301825298036, 0.0], [0.5256339171618851, 0.0], [0.5188066682476975, 0.0], [0.5088199201186553, 0.0]]","[[1655082.0, 25.344373], [1653516.0, 25.399928], [1651822.2, 25.426973], [1612469.6, 25.47045], [1609035.8, 25.518315], [1607947.0, 25.532025], [709658.4, 25.554949], [699155.2, 25.699026], [693494.6, 25.701733], [685214.4, 25.707262]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 3.0, 2.0]]"
0.1097115697552479,"[[0.9971156975524793, 0.0], [0.9946649682896574, 0.0], [0.9935156040192412, 0.0], [0.961636437734102, 0.0], [0.9584825034326061, 0.0], [0.5233406388724041, 0.0], [0.5228393837671614, 0.0], [0.5213527450695626, 0.0], [0.52010515536585, 0.0], [0.5083119108541504, 0.0]]","[[1655910.4, 25.39959], [1652872.8, 25.431214], [1651448.2, 25.436668], [1611935.0, 25.475128], [1608025.8, 25.522362], [697253.8, 25.628525], [696838.2, 25.656108], [695605.6, 25.677801], [694571.2, 25.72477], [684793.2, 25.772493]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 2.0, 2.0]]"
0.10995504522171307,"[[0.9995504522171306, 0.0], [0.9974337372796998, 0.0], [0.9940534154909944, 0.0], [0.9584825034326061, 0.0], [0.5318262751054287, 0.0], [0.5306360957554445, 0.0], [0.5246150039931918, 0.0], [0.5222221018545937, 0.0], [0.5205598550161784, 0.0], [0.5200105971361797, 0.0]]","[[1658928.2, 25.343411], [1656304.6, 25.397941], [1652114.8, 25.425737], [1608025.8, 25.522362], [704289.4, 25.553009], [703302.6, 25.554309], [698310.4, 25.652366], [696326.4, 25.677968], [694948.2, 25.709384], [694492.8, 25.718658]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 6.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 4.0, 6.0]]"
0.10979304020591946,"[[0.9979304020591945, 0.0], [0.9967629655161001, 0.0], [0.9942033185384767, 0.0], [0.9590501664261937, 0.0], [0.9572540729692229, 0.0], [0.5435871961406592, 0.0], [0.5240418653358017, 0.0], [0.5229785676919569, 0.0], [0.5211506027316448, 0.0], [0.5148516255597485, 0.0]]","[[1656920.2, 25.343199], [1655473.2, 25.387136], [1652300.6, 25.406776], [1608729.4, 25.416302], [1606503.2, 25.435564], [714040.6, 25.609996], [697835.2, 25.624109], [696953.6, 25.707762], [695438.0, 25.782029], [690215.4, 25.853763]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 4.0, 2.0]]"
0.10990829935211602,"[[0.9990829935211605, 0.0], [0.9951656670585891, 0.0], [0.9618915472261036, 0.0], [0.9615938388056462, 0.0], [0.5314555200059301, 0.0], [0.530841856392967, 0.0], [0.5248861352435732, 0.0], [0.5210024936678243, 0.0], [0.508240750961924, 0.0], [0.5080938479979719, 0.0]]","[[1658348.8, 25.402462], [1653493.4, 25.426993], [1612251.2, 25.463813], [1611882.2, 25.477357], [703982.0, 25.501006], [703473.2, 25.562307], [698535.2, 25.70037], [695315.2, 25.72267], [684734.2, 25.755127], [684612.4, 25.783617]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 2.0]]"
0.10965436778502995,"[[0.9965436778502997, 0.0], [0.9949139461177147, 0.0], [0.9936842247777116, 0.0], [0.9626772070088716, 0.0], [0.9618555640403249, 0.0], [0.9593109235034074, 0.0], [0.9584825034326061, 0.0], [0.9583232415296297, 0.0], [0.5292018017921275, 0.0], [0.5290339126904677, 0.0]]","[[1655201.4, 25.39161], [1653181.4, 25.428928], [1651657.2, 25.428969], [1613225.0, 25.474402], [1612206.6, 25.48083], [1609052.6, 25.516299], [1608025.8, 25.522362], [1607828.4, 25.529737], [702113.4, 25.531626], [701974.2, 25.558793]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 6.0, 1.0, 18.0]]"
0.24789220395547507,"[[0.9974337372796998, 0.0], [0.9629834674869358, 0.0], [0.5435871961406592, 0.0], [0.5246150039931918, 0.0], [0.5223595972395736, 0.0], [0.5200084261564168, 0.0], [0.5088927685506973, 0.0], [0.5081073563164961, 0.0], [0.3990754846177781, 0.2767293764272221], [0.0, 0.27712920221835874]]","[[1656304.6, 25.397941], [1613604.6, 25.448124], [714040.6, 25.609996], [698310.4, 25.652366], [696440.4, 25.675617], [694491.0, 25.782789], [685274.8, 25.968257], [684623.6, 25.970731], [483465.8, 94.249959], [87348.8, 94.584465]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 4.0, 18.0]]"
0.10975950968571839,"[[0.9975950968571835, 0.0], [0.9956883107300588, 0.0], [0.9593109235034074, 0.0], [0.9585038028968339, 0.0], [0.5306360957554445, 0.0], [0.5240944512900573, 0.0], [0.5217797044229214, 0.0], [0.5209868143695371, 0.0], [0.5205781877341757, 0.0], [0.52010515536585, 0.0]]","[[1656504.6, 25.402661], [1654141.2, 25.431587], [1609052.6, 25.516299], [1608052.2, 25.535616], [703302.6, 25.554309], [697878.8, 25.655849], [695959.6, 25.67002], [695302.2, 25.714315], [694963.4, 25.724443], [694571.2, 25.72477]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 2.0, 6.0]]"
0.10962737232771694,"[[0.9962737232771697, 0.0], [0.9951995525698607, 0.0], [0.9951605035521098, 0.0], [0.9612599858398325, 0.0], [0.9592423456829768, 0.0], [0.532335972909749, 0.0], [0.5237311740097418, 0.0], [0.520584941893438, 0.0], [0.5148516255597485, 0.0], [0.5081073563164961, 0.0]]","[[1654866.8, 25.405103], [1653535.4, 25.426626], [1653487.0, 25.427091], [1611468.4, 25.473119], [1608967.6, 25.508035], [704712.0, 25.559224], [697577.6, 25.654468], [694969.0, 25.78656], [690215.4, 25.853763], [684623.6, 25.970731]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 2.0]]"
