HV,front_sat,front_raw,front_variables
mean:0.026564837198240005,,,
0.06542948286544045,"[[0.0, 0.5542948286544046], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[10369.0, 12.966897], [7556.8, 9.981864], [8280.2, 10.949902], [5878.4, 8.456], [5518.2, 8.835071], [9989.0, 12.152774], [8286.4, 10.642709], [4744.0, 7.279355], [8044.2, 10.494483], [2818.4, 5.758044]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 64.0, 128.0, 32.0], [1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 4.0, 8.0, 128.0, 0.0], [1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 10.0, 0.0, 8.0], [1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 64.0, 16.0, 32.0], [1.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 0.0, 64.0, 20.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 64.0, 8.0, 128.0], [1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 1.0, 128.0, 128.0, 10.0], [1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 3.0, 0.0, 64.0, 20.0], [1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 16.0, 20.0, 16.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 128.0, 32.0, 0.0]]"
0.010000000000000002,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[7818.8, 10.127385], [5269.2, 7.889874], [4697.0, 7.7552], [8408.8, 10.005], [9185.4, 11.642759], [5559.0, 8.184017], [5090.6, 8.102759], [5655.0, 8.045322], [7602.8, 9.487742], [4889.0, 8.053951]]","[[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 4.0, 32.0, 20.0, 8.0], [1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 32.0, 16.0, 64.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 64.0, 10.0], [1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 1.0, 128.0, 10.0, 64.0], [0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 2.0, 128.0, 128.0, 0.0], [1.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 10.0, 16.0], [1.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 1.0, 128.0, 64.0, 128.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 16.0, 16.0, 10.0], [0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 8.0, 16.0, 32.0], [1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 20.0, 32.0, 20.0]]"
0.026859467700534788,"[[0.0, 0.16859467700534786], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[10490.2, 12.851429], [5271.8, 8.29], [6098.6, 8.617931], [8812.8, 10.875407], [4886.8, 8.301], [5634.2, 7.733911], [6843.2, 9.492103], [4559.8, 8.011538], [9130.4, 11.231264], [5791.4, 8.010968]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 32.0, 8.0, 20.0], [1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 3.0, 8.0, 8.0, 64.0], [1.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 20.0, 20.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 4.0, 0.0, 8.0, 8.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 0.0, 64.0, 10.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 32.0, 128.0, 0.0], [0.0, 1.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 10.0, 20.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 10.0, 128.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 2.0, 10.0, 128.0, 8.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 20.0, 128.0, 64.0]]"
0.010000000000000002,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[3159.0, 6.115135], [4995.0, 7.870828], [7234.4, 9.478924], [5766.4, 8.697447], [7940.8, 10.163334], [10077.4, 12.284138], [4611.2, 8.085671], [4839.2, 7.298064], [8270.4, 10.436586], [5003.0, 7.681264]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 20.0, 10.0, 32.0], [1.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 4.0, 20.0, 0.0, 32.0], [0.0, 1.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 10.0, 32.0, 20.0], [1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 4.0, 128.0, 20.0, 32.0], [1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 10.0, 8.0, 64.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 10.0, 8.0, 10.0], [1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 128.0, 32.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 3.0, 16.0, 32.0, 20.0], [1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 128.0, 10.0, 0.0], [1.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 4.0, 32.0, 64.0, 32.0]]"
0.06597610900290415,"[[0.0, 0.5597610900290416], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[10448.0, 13.016429], [8366.4, 11.088571], [4830.6, 7.298839], [5895.6, 8.749467], [2866.2, 5.887548], [8396.2, 11.209286], [5246.6, 8.200756], [7455.4, 9.344375], [6184.4, 8.864363], [8492.8, 10.993572]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 128.0, 32.0, 32.0], [1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 1.0, 10.0, 8.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 64.0, 10.0], [0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 8.0, 10.0, 20.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 128.0, 0.0, 128.0], [0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4.0, 128.0, 128.0, 20.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 10.0, 0.0, 10.0], [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 128.0, 0.0, 10.0], [1.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 3.0, 32.0, 10.0, 16.0], [1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 2.0, 32.0, 128.0, 32.0]]"
0.044297388827137824,"[[0.3429738882713782, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[10513.6, 12.060645], [8560.0, 10.61523], [4580.8, 7.2425], [5274.4, 8.320714], [8858.8, 11.354427], [4790.6, 7.94755], [5613.2, 8.505913], [9596.6, 11.477419], [6098.6, 8.715862], [9119.0, 11.732414]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 64.0, 10.0, 128.0], [1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 128.0, 128.0, 32.0], [1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 8.0, 0.0, 128.0], [1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 16.0, 16.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 10.0, 32.0], [0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 4.0, 64.0, 128.0, 0.0], [1.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 20.0, 0.0, 8.0], [0.0, 1.0, 1.0, 1.0, 1.0, 4.0, 0.0, 4.0, 20.0, 8.0, 10.0], [1.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 8.0, 20.0, 64.0], [0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 4.0, 10.0, 0.0, 8.0]]"
0.04739903989304811,"[[0.0, 0.3739903989304811], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[10427.2, 12.886429], [8895.6, 11.406689], [5808.6, 8.692902], [5113.4, 7.689655], [2749.6, 5.384754], [9488.8, 11.765829], [5899.2, 8.4464], [6212.8, 9.234729], [5798.4, 8.252344], [7435.8, 9.875982]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 8.0, 128.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 4.0, 16.0, 8.0, 32.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 10.0, 16.0, 32.0], [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 16.0, 10.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 16.0, 0.0, 16.0], [0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 2.0, 64.0, 128.0, 10.0], [1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 64.0, 10.0, 20.0], [1.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 3.0, 64.0, 20.0, 128.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4.0, 10.0, 8.0, 16.0], [0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 1.0, 16.0, 8.0, 0.0]]"
0.010000000000000002,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[5281.6, 8.093571], [5516.6, 8.185716], [5401.4, 7.672809], [8627.6, 10.51871], [7959.8, 9.914667], [8642.2, 10.598232], [8597.2, 10.547742], [8250.2, 10.60069], [4891.0, 8.196], [7975.6, 10.291103]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 3.0, 128.0, 0.0, 10.0], [1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 16.0, 20.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 3.0, 32.0, 64.0, 16.0], [0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 4.0, 20.0, 0.0, 64.0], [1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 128.0, 32.0, 20.0], [1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 16.0, 64.0, 128.0], [0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 4.0, 128.0, 128.0, 32.0], [1.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 10.0, 64.0, 20.0], [0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 0.0, 64.0, 16.0], [1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 3.0, 10.0, 64.0, 32.0]]"
0.08732258935382087,"[[0.0, 0.5553467628267182], [0.15714370660095592, 0.03864960641711455], [0.0, 0.13924656256684517], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[10474.0, 12.976429], [10503.0, 12.829286], [10404.8, 12.846428], [5901.2, 8.570667], [5375.0, 7.886465], [2783.2, 6.327679], [4814.2, 7.555903], [8161.8, 10.672414], [7146.2, 9.486896], [8221.0, 10.484827]]","[[0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 20.0, 8.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 10.0, 32.0, 32.0], [0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 32.0, 64.0, 10.0], [1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 20.0, 20.0, 64.0], [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 20.0, 8.0, 16.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 20.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 4.0, 10.0, 20.0, 16.0], [1.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 4.0, 128.0, 128.0, 10.0], [0.0, 1.0, 0.0, 0.0, 1.0, 3.0, 0.0, 2.0, 16.0, 32.0, 64.0], [1.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 2.0, 8.0, 16.0, 16.0]]"
