HV,front_sat,front_raw,front_variables
mean:0.70257934597318,,,
0.5963007523231758,"[[0.7228578911181982, 0.5600786438165817], [0.7047784695855934, 0.5815982541299984], [0.7292731949527903, 0.5595823517060368], [0.7215996195494347, 0.56370746024394], [0.7502202432037172, 0.5591360203798055], [0.7625231749910395, 0.5479651486799444], [0.7787505708851453, 0.4984122543991955], [0.7077282868564958, 0.5804382535124286], [0.7055217689059049, 0.5755930128145746], [0.7597774460470239, 0.5173333896430367]]","[[178.92934, 1.821759], [151.09998, 2.204678], [182.57834, 1.812928], [178.21364, 1.88633], [194.49294, 1.804986], [201.4908, 1.606212], [210.72088, 1.441201], [157.60522, 2.184037], [152.73918, 2.097821], [199.92904, 1.497038]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 512.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0]]"
1.0100938149404532,"[[0.7536738531934877, 0.5652400592867067], [0.7453600835620344, 1.0], [0.8777432053291521, 0.5010143891402714], [0.7597774460470239, 0.5173333896430367], [0.7787505708851453, 0.4984122543991955], [0.7317148782280872, 0.5746904591631928], [0.7791332739102793, 0.0], [0.707200023775617, 0.5828045626061448], [0.7083211215718379, 0.5678085156708352], [0.7312086159939932, 0.5165214720965309]]","[[196.45734, 1.913601], [191.7285, 2.44004], [213.5254, 1.44888], [199.92904, 1.497038], [210.72088, 1.441201], [183.96716, 2.081761], [210.93856, 1.118207], [156.44024, 2.226143], [158.9126, 1.959304], [183.6792, 1.494642]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 8.0]]"
0.6841034025163424,"[[0.7536738531934877, 0.5652400592867067], [0.8777432053291521, 0.5010143891402714], [0.729511382226978, 0.6154357441364605], [0.7503322341202048, 0.4916275243841126], [0.7372793675552218, 0.564694593175853], [0.7041359092702847, 0.5659916066079975], [0.7016056443804981, 0.5773271971591786], [0.7791332739102793, 0.0], [0.7673777790393767, 0.48341007843137257], [0.7295089912121204, 0.5619787271885132]]","[[196.45734, 1.913601], [213.5254, 1.44888], [182.71382, 2.313821], [194.55664, 1.421179], [187.13222, 1.903895], [149.68294, 1.926974], [144.10294, 2.128679], [210.93856, 1.118207], [204.25208, 1.396929], [182.71246, 1.855569]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 65536.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 64.0, 1.0]]"
0.6011121051912673,"[[0.7077282868564958, 0.5804382535124286], [0.7372793675552218, 0.564694593175853], [0.7824191260782092, 0.5599416872008646], [0.707200023775617, 0.5828045626061448], [0.7287742815731848, 0.5704509297514281], [0.7207857251243358, 0.5734833639030414], [0.7093503226865957, 0.5728348290875405], [0.7512530209742276, 0.35422254030501055], [0.7347392307269688, 0.5494563853635942], [0.7791332739102793, 0.0]]","[[157.60522, 2.184037], [187.13222, 1.903895], [212.80754, 1.819322], [156.44024, 2.226143], [182.29456, 2.006323], [177.7507, 2.060282], [161.1823, 2.048742], [195.08038, 1.372822], [185.6874, 1.632747], [210.93856, 1.118207]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0]]"
0.9543969484073545,"[[0.7824191260782092, 0.5599416872008646], [0.7536738531934877, 0.5652400592867067], [0.7453600835620344, 1.0], [0.7787505708851453, 0.4984122543991955], [0.752593606745659, 0.5157288697838109], [0.7089508763888515, 0.5774437535896247], [0.7295089912121204, 0.5619787271885132], [0.7055217689059049, 0.5755930128145746], [0.7296503775465621, 0.3767465076252716], [0.719249287106488, 0.5610895488652153]]","[[212.80754, 1.819322], [196.45734, 1.913601], [191.7285, 2.44004], [210.72088, 1.441201], [195.8429, 1.492303], [160.3014, 2.130753], [182.71246, 1.855569], [152.73918, 2.097821], [182.79288, 1.374979], [176.87678, 1.839747]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 64.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 512.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 512.0, 8.0]]"
0.9507278495678599,"[[0.7453600835620344, 1.0], [0.7787505708851453, 0.4984122543991955], [0.7625231749910395, 0.5479651486799444], [0.7073470965559671, 0.6191938166311299], [0.7512530209742276, 0.35422254030501055], [0.7323628432544718, 0.5639571517677937], [0.6962636112956241, 0.5756159419484329], [0.7309056251847704, 0.5551143177396942], [0.705642750030026, 0.5693615148988729], [0.7350413776485947, 0.0]]","[[191.7285, 2.44004], [210.72088, 1.441201], [201.4908, 1.606212], [156.76458, 2.3234], [195.08038, 1.372822], [184.33572, 1.890773], [132.32214, 2.098229], [183.50686, 1.733424], [153.00598, 1.986938], [185.85926, 1.338843]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 8.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 64.0, 64.0]]"
0.6237257890150489,"[[0.7319500767337029, 0.5708207744326076], [0.775731387197794, 0.5501176211208892], [0.7502202432037172, 0.5591360203798055], [0.729511382226978, 0.6154357441364605], [0.7077282868564958, 0.5804382535124286], [0.7215996195494347, 0.56370746024394], [0.7095161774690488, 0.57009406700633], [0.7047784695855934, 0.5815982541299984], [0.7529323572917948, 0.5494698168905358], [0.7016056443804981, 0.5773271971591786]]","[[184.10094, 2.012904], [209.00358, 1.644513], [194.49294, 1.804986], [182.71382, 2.313821], [157.60522, 2.184037], [178.21364, 1.88633], [161.54806, 1.999973], [151.09998, 2.204678], [196.03558, 1.632986], [144.10294, 2.128679]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 64.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 1.0]]"
0.5953415657620013,"[[0.7287742815731848, 0.5704509297514281], [0.7536738531934877, 0.5652400592867067], [0.6947476833479991, 0.5756786036745406], [0.7824191260782092, 0.5599416872008646], [0.719249287106488, 0.5610895488652153], [0.7597774460470239, 0.5173333896430367], [0.6936610388719082, 0.5706160419947506], [0.3533785310501339, 0.5723416841130152], [0.7242465081586789, 0.5475574821676702], [0.7074661731796333, 0.5696370016983171]]","[[182.29456, 2.006323], [196.45734, 1.913601], [128.97906, 2.099344], [212.80754, 1.819322], [176.87678, 1.839747], [199.92904, 1.497038], [126.58268, 2.009261], [76.97608, 2.039967], [179.71918, 1.598958], [157.02718, 1.99184]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 512.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 256.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 256.0, 8.0, 8.0]]"
0.5961740937845135,"[[0.707200023775617, 0.5828045626061448], [0.775731387197794, 0.5501176211208892], [0.7372793675552218, 0.564694593175853], [0.7089508763888515, 0.5774437535896247], [0.719249287106488, 0.5610895488652153], [0.752593606745659, 0.5157288697838109], [0.6920950407004248, 0.5688862973598888], [0.12251915913735614, 0.5728479796201945], [0.7242465081586789, 0.5475574821676702], [0.7021885666244262, 0.5675483711594874]]","[[156.44024, 2.226143], [209.00358, 1.644513], [187.13222, 1.903895], [160.3014, 2.130753], [176.87678, 1.839747], [195.8429, 1.492303], [123.12918, 1.978482], [66.38508, 2.048976], [179.71918, 1.598958], [145.38846, 1.954675]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 512.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 512.0, 1.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 1.0]]"
