HV,front_sat,front_raw,front_variables
mean:0.11322475014558588,,,
0.12293379375647023,"[[0.9646020740256223, 0.7972642728344047, 0.0], [0.9562484906862037, 0.9493160682086021, 0.0], [0.9854911447262731, 0.6901635739080201, 0.0], [0.0, 0.0, 0.9699826962553574], [0.9375372819822432, 0.7374406156380012, 0.0], [0.9553180426031107, 0.7037369215596175, 0.0], [0.0, 0.0, 0.9637653496503501], [0.9272921283640094, 0.7030467513400449, 0.0], [0.0, 0.0, 0.9076244953961872], [0.896883858044021, 0.7199920489557153, 0.0]]","[[60852.6, 2168.2, 26.058825], [60689.2, 2204.8, 26.410497], [61261.2, 2116.6, 26.479016], [22024.2, 1311.6, 84.234545], [60323.2, 2153.8, 26.501667], [60671.0, 2140.2, 25.88971], [21663.6, 1256.4, 84.15013], [60122.8, 2139.0, 26.148246], [18655.6, 1092.0, 82.482456], [59528.0, 2149.6, 26.736667]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 5.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 6.0]]"
0.11321750288734808,"[[0.9855627176557418, 0.681306389423503, 0.0], [0.9790393563698803, 0.8537643935198997, 0.0], [0.0, 0.0, 0.9792896770809841], [0.9581707350776492, 0.7623671394698366, 0.0], [0.0, 0.0, 0.9763977988946541], [0.0, 0.0, 0.9037999201141228], [0.9347357130287544, 0.6945346519653142, 0.0], [0.9290201033754679, 0.7266391219775378, 0.0], [0.9409421084841119, 0.6731393751585588, 0.0], [0.8941947608368399, 0.7051172619987631, 0.0]]","[[61262.6, 2101.2, 26.361716], [61135.0, 2181.8, 26.773157], [21667.4, 1338.0, 84.360909], [60726.8, 2159.8, 26.785831], [21644.6, 1296.4, 84.321645], [18687.8, 1090.2, 82.302631], [60268.4, 2124.2, 26.684333], [60156.6, 2151.2, 26.547333], [60389.8, 2087.0, 26.028214], [59475.4, 2142.6, 26.591412]]","[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 15.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 15.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 15.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 15.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 15.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 15.0, 0.0]]"
0.11802763108741164,"[[0.0, 0.0, 0.9872284218362279], [0.994877423190883, 0.8878306427567407, 0.0], [0.9922292248005409, 0.7073028010274103, 0.0], [0.0, 0.0, 0.9792896770809841], [0.9324147051731264, 0.8005878093453168, 0.0], [0.9437027786207617, 0.7071877726574813, 0.0], [0.0, 0.0, 0.9701836193322808], [0.910503164051494, 0.7022415527505433, 0.0], [0.0, 0.0, 0.9671418590119564], [0.9359013293086729, 0.6486383323637261, 0.0]]","[[22249.8, 1292.4, 84.468696], [61444.8, 2190.0, 26.219344], [61393.0, 2146.4, 26.799471], [21667.4, 1338.0, 84.360909], [60223.0, 2169.0, 26.512333], [60443.8, 2146.2, 26.314874], [22050.2, 1307.2, 84.237273], [59794.4, 2137.6, 26.442865], [22004.4, 1321.8, 84.195974], [60291.2, 2044.4, 26.323667]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 5.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 5.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 15.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 5.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 15.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 5.0, 0.0]]"
0.1197686105753747,"[[0.0, 0.0, 0.9835238657793817], [0.9968814652160065, 0.6945346519653142, 0.0], [0.9361058233928692, 0.9144189348440321, 0.0], [0.990583047422761, 0.690853744127593, 0.0], [0.0, 0.0, 0.9771470622603203], [0.8987958777312565, 0.7073028010274103, 0.0], [0.9498784999634893, 0.685792495850726, 0.0], [0.0, 0.0, 0.9716566624182269], [0.9359013293086729, 0.6486383323637261, 0.0], [0.0, 0.0, 0.9054728009337311]]","[[21664.8, 1308.0, 84.418398], [61484.0, 2124.2, 26.654669], [60295.2, 2196.4, 26.379667], [61360.8, 2117.8, 26.320656], [22043.6, 1336.8, 84.331818], [59565.4, 2146.4, 26.719717], [60564.6, 2109.0, 26.450618], [21765.8, 1284.8, 84.257273], [60291.2, 2044.4, 26.323667], [18674.8, 1086.6, 82.381287]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 2.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 15.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 5.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 5.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 5.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 6.0]]"
0.1284473561695812,"[[0.9579764656976626, 1.0, 0.0], [0.9854911447262731, 0.6901635739080201, 0.0], [0.0, 0.0, 0.9895835231220389], [0.9332020073972822, 0.983382317445443, 0.0], [0.0, 0.0, 0.9754763367922401], [0.9433653633818375, 0.6686532687313358, 0.0], [0.9388664935295192, 0.6800410773542864, 0.0], [0.0, 0.0, 0.9699826962553574], [0.9306662807532482, 0.7001710420918251, 0.0], [0.9165766383521237, 0.680731247573859, 0.0]]","[[60723.0, 2217.0, 26.750809], [61261.2, 2116.6, 26.479016], [22307.6, 1344.8, 84.500672], [60238.4, 2213.0, 26.430274], [21649.4, 1289.4, 84.309134], [60437.2, 2079.2, 26.195728], [60349.2, 2099.0, 26.535867], [22024.2, 1311.6, 84.234545], [60188.8, 2134.0, 26.679333], [59913.2, 2100.2, 26.218186]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 15.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 5.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 6.0]]"
0.10570988983717079,"[[0.0, 0.0, 0.9797774752988945], [0.993210796404683, 0.6854474107409397, 0.0], [0.9578639939513547, 0.7798157061521207, 0.0], [0.9915339449142737, 0.7038519499295465, 0.0], [0.9580378139229213, 0.7789848220243936, 0.0], [0.0, 0.0, 0.9678983402887433], [0.8955853206093746, 0.7316244267439059, 0.0], [0.9388664935295192, 0.6800410773542864, 0.0], [0.8957080170598923, 0.6932693398960975, 0.0], [0.9119857461619172, 0.6793509071347137, 0.0]]","[[21652.4, 1267.6, 84.367532], [61412.2, 2108.4, 26.396853], [60720.8, 2164.0, 26.604312], [61379.4, 2140.4, 26.601978], [60724.2, 2163.8, 26.590803], [22397.8, 1313.2, 84.206245], [59502.6, 2152.4, 26.099684], [60349.2, 2099.0, 26.535867], [59505.0, 2122.0, 26.28339], [59823.4, 2097.8, 26.476254]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 15.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 15.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 5.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 5.0, 6.0]]"
0.1194524139782184,"[[0.9912272037879792, 0.6982155598030355, 0.0], [0.0, 0.0, 0.9948003052109178], [0.9361058233928692, 0.9144189348440321, 0.0], [0.0, 0.0, 0.9936998683735622], [0.9298483044164629, 0.6723341765690573, 0.0], [0.8943379066957772, 0.6876329497695866, 0.0], [0.9239895489042391, 0.6611764246859644, 0.0], [0.9069960905075277, 0.6637070488243978, 0.0], [0.0, 0.0, 0.9815661915181594], [0.8682240121439112, 0.660256197726534, 0.0]]","[[61373.4, 2130.6, 26.522623], [22337.0, 1316.6, 84.571502], [60295.2, 2196.4, 26.379667], [22278.4, 1356.0, 84.556561], [60172.8, 2085.6, 26.772], [59478.2, 2112.2, 26.814638], [60058.2, 2066.2, 26.172955], [59725.8, 2070.6, 26.804085], [21692.8, 1258.8, 84.391818], [58967.4, 2064.6, 26.871186]]","[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 5.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 15.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 5.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 15.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 5.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 6.0]]"
0.11270782850203209,"[[0.9790393563698803, 0.8537643935198997, 0.0], [0.0, 0.0, 0.9792896770809841], [0.0, 0.0, 0.9721253110760213], [0.9398991886547106, 0.7623671394698366, 0.0], [0.0, 0.0, 0.9076244953961872], [0.900043291644854, 0.7590436029589245, 0.0], [0.9346436906908657, 0.6776254815857818, 0.0], [0.0, 0.0, 0.9038335240565425], [0.9239895489042391, 0.6611764246859644, 0.0], [0.8955853206093746, 0.7316244267439059, 0.0]]","[[61135.0, 2181.8, 26.773157], [21667.4, 1338.0, 84.360909], [21386.0, 1263.6, 84.263636], [60369.4, 2159.8, 26.412667], [18655.6, 1092.0, 82.482456], [59589.8, 2159.0, 26.760153], [60266.6, 2094.8, 26.800333], [18603.0, 1099.4, 82.304211], [60058.2, 2066.2, 26.172955], [59502.6, 2152.4, 26.099684]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 5.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 5.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 15.0, 0.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 2.0, 0.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 5.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 0.0]]"
0.12470579625556732,"[[0.9837631697148146, 0.6901635739080201, 0.0], [0.0, 0.0, 0.9798835344010828], [0.9582729821197473, 0.9667646348908862, 0.0], [0.0, 0.0, 0.9699826962553574], [0.9290201033754679, 0.7266391219775378, 0.0], [0.9579355668808232, 0.6989057300226085, 0.0], [0.8941947608368399, 0.7051172619987631, 0.0], [0.0, 0.0, 0.9637653496503501], [0.9388664935295192, 0.6800410773542864, 0.0], [0.9316580770615999, 0.6929242547863113, 0.0]]","[[61227.4, 2116.6, 26.583189], [22290.2, 1322.8, 84.368972], [60728.8, 2209.0, 26.425995], [22024.2, 1311.6, 84.234545], [60156.6, 2151.2, 26.547333], [60722.2, 2131.8, 25.855442], [59475.4, 2142.6, 26.591412], [21663.6, 1256.4, 84.15013], [60349.2, 2099.0, 26.535867], [60208.2, 2121.4, 26.736]]","[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 5.0, 3.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 15.0, 6.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 6.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 5.0, 3.0], [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 15.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 5.0, 6.0]]"
