run,budget,hv
1,10,0.11009659862630718
1,20,0.11009659862630718
1,30,0.11009659862630718
1,40,0.11009659862630718
1,50,0.11009659862630718
1,60,0.11009659862630718
1,70,0.11009659862630718
1,80,0.1106920322456521
1,90,0.1106920322456521
1,100,0.1106920322456521
1,110,0.1106920322456521
1,120,0.1106920322456521
1,130,0.1106920322456521
1,140,0.1106920322456521
1,150,0.1106920322456521
1,160,0.1106920322456521
1,170,0.1106920322456521
1,180,0.1106920322456521
1,190,0.1106920322456521
1,200,0.1106920322456521
1,210,0.1106920322456521
1,220,0.1106920322456521
1,230,0.1106920322456521
1,240,0.1106920322456521
1,250,0.1106920322456521
1,260,0.1106920322456521
1,270,0.1106920322456521
1,280,0.1106920322456521
1,290,0.1106920322456521
1,300,0.1106920322456521
2,10,0.0010000000000000002
2,20,0.0010000000000000002
2,30,0.0010000000000000002
2,40,0.0010000000000000002
2,50,0.0010000000000000002
2,60,0.003639
2,70,0.003639
2,80,0.026489841188965992
2,90,0.026489841188965992
2,100,0.026489841188965992
2,110,0.026489841188965992
2,120,0.026489841188965992
2,130,0.026489841188965992
2,140,0.026489841188965992
2,150,0.026489841188965992
2,160,0.026489841188965992
2,170,0.026489841188965992
2,180,0.026489841188965992
2,190,0.026489841188965992
2,200,0.026489841188965992
2,210,0.026489841188965992
2,220,0.026489841188965992
2,230,0.026489841188965992
2,240,0.026489841188965992
2,250,0.026489841188965992
2,260,0.026489841188965992
2,270,0.026489841188965992
2,280,0.026489841188965992
2,290,0.026489841188965992
2,300,0.026489841188965992
3,10,0.0010000000000000002
3,20,0.0010000000000000002
3,30,0.0010000000000000002
3,40,0.0010000000000000002
3,50,0.0010000000000000002
3,60,0.0010000000000000002
3,70,0.0010000000000000002
3,80,0.0010000000000000002
3,90,0.003639
3,100,0.003639
3,110,0.003639
3,120,0.003639
3,130,0.003639
3,140,0.003639
3,150,0.003639
3,160,0.003639
3,170,0.003639
3,180,0.02713735318560186
3,190,0.02713735318560186
3,200,0.02713735318560186
3,210,0.02713735318560186
3,220,0.02713735318560186
3,230,0.02713735318560186
3,240,0.02713735318560186
3,250,0.02713735318560186
3,260,0.02713735318560186
3,270,0.056941393719029856
