HV,front_sat,front_raw,front_variables
mean:0.17952629744585025,,,
0.2096907605948669,"[[0.01000234520182339, 0.0], [0.0, 0.9781513809024166], [0.9783030698822897, 0.0], [0.0, 0.9978027146904552], [0.9754225495972602, 0.0], [0.0, 0.0], [0.9991048912582137, 0.0], [0.0, 0.656801510230848], [0.9978717790848481, 0.0], [0.0, 0.0]]","[[696801.4, 25.706105], [464689.4, 97.72794], [1618646.8, 25.408769], [193344.0, 97.775394], [1613225.0, 25.474402], [690127.8, 25.838538], [1657800.6, 25.398637], [194263.2, 96.951945], [1655479.6, 25.388594], [269520.0, 70.018698]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 18.0]]"
0.19590220246115028,"[[0.0, 0.8605995156348366], [0.9984225089766665, 0.0], [0.0, 0.2107], [0.9726184280759231, 0.0], [0.0, 0.0], [0.004686904622168024, 0.0], [0.9958409958140715, 0.0], [0.01703092409842022, 0.0], [0.0, 0.0], [0.033973835382425474, 0.0]]","[[467856.2, 97.444076], [1656516.2, 25.399984], [482402.8, 94.261092], [1607947.0, 25.532025], [685274.8, 25.968257], [695605.6, 25.677801], [1651657.2, 25.428969], [698382.6, 25.607305], [693877.8, 25.692624], [702194.2, 25.558003]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 1.0, 18.0]]"
0.13086853677891414,"[[0.010165924574068699, 0.0], [0.0, 0.0], [0.9960841117686308, 0.0], [0.9726602933233429, 0.0], [0.0, 0.2107], [0.9724954887579926, 0.0], [0.9979853677891417, 0.0], [0.9751437312997236, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[696838.2, 25.656108], [685071.6, 25.807076], [1652114.8, 25.425737], [1608025.8, 25.522362], [483216.6, 94.342896], [1607715.6, 25.522949], [1655693.4, 25.387102], [1612700.2, 25.471767], [686901.2, 25.684552], [268298.0, 70.168912]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 6.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 2.0, 18.0]]"
0.13092654246055488,"[[0.0, 0.2107], [0.0, 0.0], [0.9968131408613892, 0.0], [0.0, 0.2107], [0.9985654246055486, 0.0], [0.0, 0.0], [0.0, 0.2107], [0.08613342967059234, 0.0], [0.0, 0.0], [3.2004659787496584e-05, 0.0]]","[[480469.2, 94.294648], [654026.6, 69.416993], [1653487.0, 25.427091], [85910.8, 95.259748], [1656785.2, 25.393674], [684732.2, 25.950708], [198846.4, 94.387117], [713928.4, 25.689287], [690028.0, 25.773656], [694558.4, 25.700589]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 8.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 7.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 1.0, 6.0]]"
0.17163212646852144,"[[0.0, 0.0], [0.0, 0.6175688278069276], [0.9987524368782865, 0.0], [0.0, 0.2107], [0.9726184280759231, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.01834489318634959, 0.0], [0.9960841117686308, 0.0]]","[[654653.6, 69.322295], [194050.0, 96.857206], [1657137.2, 25.397579], [199837.8, 94.398903], [1607947.0, 25.532025], [267776.0, 70.045664], [652183.2, 69.408379], [685055.2, 25.979642], [698678.2, 25.703391], [1652114.8, 25.425737]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 4.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0]]"
0.2074638206599273,"[[0.0, 0.9781513809024166], [0.0, 0.0], [0.9964868256968562, 0.0], [0.9726743192437982, 0.0], [0.0, 0.7829760431794335], [0.0, 0.0], [0.0061226692209542894, 0.0], [0.04138469215981421, 0.0], [0.9751959034735386, 0.0], [0.010165924574068699, 0.0]]","[[464689.4, 97.72794], [652183.2, 69.408379], [1652872.8, 25.431214], [1608052.2, 25.535616], [467478.6, 97.256631], [689944.4, 25.850581], [695928.6, 25.709657], [703861.4, 25.564765], [1612798.4, 25.477394], [696838.2, 25.656108]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 3.0, 6.0]]"
0.12841970669868719,"[[0.0, 0.0], [0.9734970669868719, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.0], [0.019163679065905413, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[266962.0, 69.926119], [1609600.8, 25.412592], [87959.8, 94.619433], [684623.6, 25.970731], [288557.4, 26.953068], [698862.4, 25.706202], [397085.0, 26.002378], [291700.8, 26.527904], [290457.0, 26.637097], [685274.8, 25.968257]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 7.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 9.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 2.0]]"
0.19116441035292359,"[[0.033614671978147354, 0.0], [0.015910761005868707, 0.0], [0.9982837373697372, 0.0], [0.0, 0.0], [0.0, 0.8133603661594992], [0.9754032108281476, 0.0], [0.04805499667046014, 0.0], [0.02883442043160004, 0.0], [0.0, 0.0], [0.0, 0.2107]]","[[702113.4, 25.531626], [698130.6, 25.669986], [1656255.0, 25.396695], [690115.0, 25.846728], [466346.6, 97.330003], [1613188.6, 25.472026], [705362.0, 25.516034], [701038.0, 25.539528], [654653.6, 69.322295], [200565.2, 94.017158]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 3.0, 18.0]]"
0.20728085218008827,"[[0.0, 0.2107], [0.0, 0.0], [0.9725554176908472, 0.0], [0.0, 1.0], [0.0, 0.0], [0.08613342967059234, 0.0], [0.9728085218008823, 0.0], [0.0, 0.0], [0.003338263819468995, 0.0], [0.0, 0.0]]","[[482264.0, 94.373921], [653805.4, 69.361961], [1607828.4, 25.529737], [191563.6, 97.780726], [651860.0, 69.525332], [713928.4, 25.689287], [1608304.8, 25.512464], [684993.4, 25.756943], [695302.2, 25.714315], [652183.2, 69.408379]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 18.0]]"
