HV,front_sat,front_raw,front_variables
mean:0.4380538178387634,,,
0.27868862643033054,"[[0.6187633917362589, 0.0], [0.0, 0.4763665631756757], [0.49633810707557563, 0.3207], [0.0, 0.3679934398648647], [0.0, 0.40763319560810807], [0.027867909321489942, 0.3207], [0.2641794179988842, 0.3207], [0.5645165975444503, 0.0], [0.0, 0.3207], [0.0, 0.3272298621621621]]","[[201.4908, 1.606212], [157.60522, 2.184037], [187.13222, 1.903895], [161.1823, 2.048742], [132.32214, 2.098229], [178.21364, 1.88633], [182.71246, 1.855569], [195.8429, 1.492303], [162.12026, 1.898354], [158.39724, 1.997852]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 8.0]]"
0.8310648981533415,"[[0.5334300948548433, 1.0], [0.8526404438280157, 0.3207], [0.7358075759572442, 0.0], [0.7369390848524782, 0.0], [0.5659723984724675, 0.0], [0.5543169244035643, 0.3207], [0.0, 0.3272298621621621], [0.0, 0.5100940381756758], [0.49633810707557563, 0.3207], [0.0, 0.3207]]","[[191.7285, 2.44004], [212.80754, 1.819322], [210.72088, 1.441201], [210.93856, 1.118207], [196.03558, 1.632986], [194.49294, 1.804986], [158.39724, 1.997852], [156.44024, 2.226143], [187.13222, 1.903895], [153.00598, 1.986938]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 1.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0]]"
0.4120743706306083,"[[0.5691590218864204, 0.3207], [0.0, 0.43368535912162154], [0.8526404438280157, 0.3207], [0.027867909321489942, 0.3207], [0.0, 0.3363686253378378], [0.7369390848524782, 0.0], [0.5587553492382867, 0.0], [0.2571344374164624, 0.3207], [0.0, 0.3207], [0.0, 0.3207]]","[[196.45734, 1.913601], [160.3014, 2.130753], [212.80754, 1.819322], [178.21364, 1.88633], [126.58268, 2.009261], [210.93856, 1.118207], [195.08038, 1.372822], [182.57834, 1.812928], [136.82162, 1.95678], [162.12026, 1.898354]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 256.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 64.0]]"
0.4270830110741552,"[[0.0, 0.3207], [0.8526404438280157, 0.3207], [0.0, 0.5100940381756758], [0.9263181692094302, 0.0], [0.06546179988844103, 0.3207], [0.7358075759572442, 0.0], [0.0, 0.3207], [0.7163585906882811, 0.0], [0.0, 0.4320240570945946], [0.0, 0.40763319560810807]]","[[158.9126, 1.959304], [212.80754, 1.819322], [156.44024, 2.226143], [213.5254, 1.44888], [178.92934, 1.821759], [210.72088, 1.441201], [153.00598, 1.986938], [209.00358, 1.644513], [144.10294, 2.128679], [132.32214, 2.098229]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 512.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 256.0, 8.0, 1.0]]"
0.5950085128257891,"[[0.8526404438280157, 0.3207], [0.2642508553206269, 0.853938770122783], [0.0035508551101381216, 0.37723713581081075], [0.0, 0.4079183564189189], [0.7358075759572442, 0.0], [0.0, 0.4320240570945946], [0.0, 0.3770424895270272], [0.5547982121299223, 0.0], [0.0, 0.0], [0.0, 0.3207]]","[[212.80754, 1.819322], [182.71382, 2.313821], [177.7507, 2.060282], [158.61462, 2.098585], [210.72088, 1.441201], [144.10294, 2.128679], [150.15492, 2.060039], [194.55664, 1.421179], [156.57734, 1.729643], [153.44792, 1.916565]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 8.0, 8.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 65536.0, 8.0, 8.0]]"
0.7171240033400912,"[[0.5334300948548433, 1.0], [0.7163585906882811, 0.0], [0.7369390848524782, 0.0], [0.0, 0.4079183564189189], [0.0, 0.4763665631756757], [0.3494451142427151, 0.3207], [0.33008560005051785, 0.3944421050675677], [0.5984752589924128, 0.0], [0.0, 0.40730638209459474], [0.30753031625919547, 0.3207]]","[[191.7285, 2.44004], [209.00358, 1.644513], [210.93856, 1.118207], [158.61462, 2.098585], [157.60522, 2.184037], [184.33572, 1.890773], [183.96716, 2.081761], [199.92904, 1.497038], [152.73918, 2.097821], [183.53776, 1.797585]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 256.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 8.0]]"
0.26185638322634897,"[[0.3371127213025044, 0.3392867175675674], [0.0, 0.4763665631756757], [0.7163585906882811, 0.0], [0.33008560005051785, 0.3944421050675677], [0.0, 0.3207], [0.30753031625919547, 0.3207], [0.2571344374164624, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.019651566772262062, 0.0]]","[[184.10094, 2.012904], [157.60522, 2.184037], [209.00358, 1.644513], [183.96716, 2.081761], [154.93498, 1.824661], [183.53776, 1.797585], [182.57834, 1.812928], [153.00598, 1.986938], [150.9635, 1.965873], [178.05722, 1.423925]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 64.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 64.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 65536.0, 8.0, 8.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 8.0]]"
0.3808954533079093,"[[0.5984752589924128, 0.0], [0.2642508553206269, 0.853938770122783], [0.0, 0.36096454628378366], [0.5644794243009074, 0.0], [0.2571344374164624, 0.3207], [0.24222819979582572, 0.3340152476351352], [0.0, 0.3272298621621621], [0.019651566772262062, 0.0], [0.36139405685298415, 0.0], [0.0, 0.3207]]","[[199.92904, 1.497038], [182.71382, 2.313821], [76.97608, 2.039967], [195.83798, 1.484126], [182.57834, 1.812928], [182.29456, 2.006323], [158.39724, 1.997852], [178.05722, 1.423925], [184.5632, 1.265678], [145.38846, 1.954675]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 256.0, 64.0, 1.0], [1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 512.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 1.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 64.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 64.0, 1.0], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 1.0]]"
0.46147436852812573,"[[0.8526404438280157, 0.3207], [0.0, 0.3679934398648647], [0.0, 0.8650271487039561], [0.3371127213025044, 0.3392867175675674], [0.0, 0.4763665631756757], [0.0, 0.5100940381756758], [0.5543169244035643, 0.3207], [0.6546339577533977, 0.0], [0.027867909321489942, 0.3207], [0.7119366049888107, 0.0]]","[[212.80754, 1.819322], [161.1823, 2.048742], [156.76458, 2.3234], [184.10094, 2.012904], [157.60522, 2.184037], [156.44024, 2.226143], [194.49294, 1.804986], [204.25208, 1.396929], [178.21364, 1.88633], [208.66318, 1.054004]]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 256.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4096.0, 8.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 65536.0, 64.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4096.0, 8.0, 64.0], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 8.0, 64.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 256.0, 8.0, 8.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 65536.0, 512.0, 1.0], [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4096.0, 8.0, 1.0]]"
