HV,front
mean:1.205132653375398,
1.2990115048978366,"[[0.4722138996139022, 1.0, 0.8887475711614359], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.27913773427041505, 0.9873617256637164, 0.9572298919592757], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.4770942084942106, 1.0, 0.8586866715146464], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645], [0.6487110582885489, 0.9705106932153388, 0.9267599574070218], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288]]"
1.1781722489217914,"[[0.6489095700702769, 0.9915744837758106, 0.9486388925825879], [0.4008393822393833, 1.0, 0.9032664107625177], [0.9222904551682157, 0.9936808628318582, 0.9126311572823584], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.6487110582885489, 0.9705106932153388, 0.9267599574070218], [0.7935742426548955, 0.8966729191690459, 0.7567394701849152], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282], [0.4276810810810846, 0.9789362094395282, 0.8847205402036151]]"
1.1585007940205345,"[[0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.27913773427041505, 0.9873617256637164, 0.9572298919592757], [0.6484821620504341, 0.9747234513274329, 0.8993128287970085], [0.8172521845029683, 0.8989216146499952, 0.7458740847704125], [0.6492478503513849, 0.9079163965737914, 0.9106530999376672], [0.7935742426548955, 0.8966729191690459, 0.7567394701849152], [0.5106463320463317, 0.9768298303834805, 0.8664380729274868]]"
1.2785328944868204,"[[0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.6487373914840843, 0.9684043141592923, 0.892287052773737], [0.4276810810810846, 0.9789362094395282, 0.8847205402036151], [0.8559504947480594, 0.9662979351032446, 0.9018062954498225], [0.6484821620504341, 0.9747234513274329, 0.8993128287970085], [0.6493734394377841, 0.904543353352368, 0.771520446706836]]"
1.2462355007057018,"[[1.0, 0.9852553466076688, 0.8773629773530018], [0.6489095700702769, 0.9915744837758106, 0.9486388925825879], [0.8559504947480594, 0.9662979351032446, 0.9018062954498225], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282], [0.6492478503513849, 0.9079163965737914, 0.9106530999376672], [0.4008393822393833, 1.0, 0.9032664107625177], [0.6484821620504341, 0.9747234513274329, 0.8993128287970085], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288], [0.3252418172690767, 0.9789362094395282, 0.7988725981716189], [0.26015028447121813, 0.9873617256637164, 0.9106404363183034]]"
1.237085651194575,"[[1.0, 0.9852553466076688, 0.8773629773530018], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [0.9222904551682157, 0.9936808628318582, 0.9126311572823584], [0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.4008393822393833, 1.0, 0.9032664107625177], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.6484011368334022, 0.9684043141592923, 0.8948210430085177], [0.7866899071395956, 0.8989216146499952, 0.7466896218574699], [0.6492478503513849, 0.9079163965737914, 0.9106530999376672]]"
1.2748827752793392,"[[0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [0.7866899071395956, 0.8989216146499952, 0.7466896218574699], [0.4276810810810846, 0.9789362094395282, 0.8847205402036151], [0.2638664825970549, 0.9747234513274329, 0.9317088998545608], [0.6493633112856552, 0.906792048833317, 0.8194484469146055], [0.652985138486978, 0.9136384587020651, 0.6773119831705794], [0.5991019305019298, 0.909425700589971, 0.8038139424475385], [0.6497947705663497, 0.9000459623904697, 0.7867383180968216]]"
1.2928903437806016,"[[0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.6529020876395204, 0.9136384587020651, 0.6610177041346352], [0.6494605415460933, 0.9079163965737914, 0.7261340349054644], [0.6493633112856552, 0.906792048833317, 0.8194484469146055], [0.6483646754857378, 0.9684043141592923, 0.8759636474132543], [0.4276810810810846, 0.9789362094395282, 0.8847205402036151], [0.6492478503513849, 0.9079163965737914, 0.9106530999376672], [0.8056739838636027, 0.8989216146499952, 0.7314540214003742]]"
1.2715680253937336,"[[0.3800980694980702, 1.0, 0.9161731716185326], [0.9222904551682157, 0.9936808628318582, 0.9126311572823584], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288], [0.26015028447121813, 0.9873617256637164, 0.9106404363183034], [0.6492478503513849, 0.9079163965737914, 0.9106530999376672], [0.6483646754857378, 0.9684043141592923, 0.8759636474132543], [0.8020231998782159, 0.9022946578714187, 0.7464515458134207], [0.23239492971887565, 0.9662979351032446, 0.8536896073135254], [0.6497947705663497, 0.9000459623904697, 0.7867383180968216]]"
1.1763283004748928,"[[0.6489095700702769, 0.9915744837758106, 0.9486388925825879], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.4722138996139022, 1.0, 0.8887475711614359], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645], [0.6487110582885489, 0.9705106932153388, 0.9267599574070218], [0.26015028447121813, 0.9873617256637164, 0.9106404363183034], [0.5106463320463317, 0.9768298303834805, 0.8664380729274868], [0.6486968788755684, 0.9726170722713864, 0.8881498483274466], [0.3252418172690767, 0.9789362094395282, 0.7988725981716189]]"
1.1953082483109312,"[[0.6493714138073584, 0.9915744837758106, 0.9553518772075611], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.4008393822393833, 1.0, 0.9032664107625177], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.3800980694980702, 1.0, 0.9161731716185326], [0.6489095700702769, 0.9915744837758106, 0.9486388925825879], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.27913773427041505, 0.9873617256637164, 0.9572298919592757]]"
1.239945794622116,"[[0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.29597675702811244, 0.9873617256637164, 0.9579428537294807], [1.0, 0.9852553466076688, 0.8773629773530018], [0.4770942084942106, 1.0, 0.8586866715146464], [0.6484011368334022, 0.9684043141592923, 0.8948210430085177], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645], [0.24313706492637255, 0.9726170722713864, 0.8586385497610622], [0.310783483935743, 0.9747234513274329, 0.8099975877830874], [0.8172521845029683, 0.8989216146499952, 0.7458740847704125], [0.6496691814799503, 0.9000459623904697, 0.7979722148348218]]"
1.264083059843156,"[[0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.4276810810810846, 0.9789362094395282, 0.8847205402036151], [0.6487373914840843, 0.9684043141592923, 0.892287052773737], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288], [0.8559504947480594, 0.9662979351032446, 0.9018062954498225], [0.5106463320463317, 0.9768298303834805, 0.8664380729274868], [0.7866899071395956, 0.8989216146499952, 0.7466896218574699], [0.2672342871485948, 0.9747234513274329, 0.8512898514440063], [0.6491911326994625, 0.9022946578714187, 0.7989612435071675]]"
1.2438876085829538,"[[0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.6486968788755684, 0.9726170722713864, 0.8881498483274466], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288], [0.310783483935743, 0.9747234513274329, 0.8099975877830874], [0.6498433856965689, 0.911532079646018, 0.7742785830043621], [0.6483646754857378, 0.9684043141592923, 0.8759636474132543], [0.653214034725093, 0.9220639749262532, 0.7288871057552464], [0.6490999793303017, 0.8989216146499952, 0.799751453355495], [0.7571707109149042, 0.8977972669095208, 0.7413443081238305]]"
1.2280540277617797,"[[0.6487110582885489, 0.9705106932153388, 0.9267599574070218], [1.0, 0.9852553466076688, 0.8773629773530018], [0.4722138996139022, 1.0, 0.8887475711614359], [0.4008393822393833, 1.0, 0.9032664107625177], [0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.6483646754857378, 0.9684043141592923, 0.8759636474132543], [0.7935742426548955, 0.8966729191690459, 0.7567394701849152], [0.35813667953668266, 0.9936808628318582, 0.8981743694161644], [0.26015028447121813, 0.9873617256637164, 0.9106404363183034]]"
1.2777725185464814,"[[0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.35813667953668266, 0.9936808628318582, 0.8981743694161644], [0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [0.653214034725093, 0.9220639749262532, 0.7288871057552464], [0.8056739838636027, 0.8989216146499952, 0.7314540214003742], [0.27913773427041505, 0.9873617256637164, 0.9572298919592757], [0.6493734394377841, 0.904543353352368, 0.771520446706836], [0.6487110582885489, 0.9705106932153388, 0.9267599574070218], [0.6492701322860686, 0.8977972669095208, 0.7624482297943058]]"
