HV,front
mean:0.15515663409571914,
0.1846534630334934,"[[0.9593913782193502, 0.9935180014147943, 0.0], [0.3262121492910613, 0.0, 0.9392254761725505], [0.49271491850249616, 0.06418246173004324, 0.38197028303083047], [0.9410233404959742, 0.6030873788681506, 0.006249311800838125], [0.5453121985508993, 0.01749286702054131, 0.3683502984771258], [0.6131895988579912, 0.34275832449890614, 0.01000635984216737], [0.5954890358110627, 0.12660305196161473, 0.018656898832526653], [0.40220859593159375, 0.0, 0.40674571639420687], [0.348397967389118, 0.0, 0.465417989445385], [0.9602412138237966, 0.5797992185871161, 0.0030574338363910944]]"
0.1400496445182552,"[[0.9882954459933061, 0.6645565732156816, 0.0], [0.3284281802738364, 0.0, 0.9502877843860564], [0.5449123046568016, 0.01862549869813028, 0.36899482709472897], [0.596695377145724, 0.1327696022062659, 0.012670785502176372], [0.4905806533373679, 0.021645849838367582, 0.3820828759416957], [0.9379426864298561, 0.5135573404543962, 0.001798706423137987], [0.9920038195399815, 0.5647912930726724, 0.0], [0.5948625899994485, 0.10055252337706787, 0.016205151852906555], [0.40013723542396396, 0.0, 0.40656518740676284], [0.348397967389118, 0.0, 0.465417989445385]]"
0.13622645080819923,"[[0.9055909901242255, 0.6129201576534767, 0.004421192856852323], [0.32798072269889716, 0.0, 0.9672063359180896], [0.5485832407408223, 0.014346667916127426, 0.3690227859180756], [0.9911056978216461, 0.5063121350336306, 0.0], [0.60687377516131, 0.33059264649972525, 0.01228075987471017], [0.9382710320043011, 0.4626218751313491, 0.006264866940568686], [0.5963448931344943, 0.11892632614684483, 0.017434145547736278], [0.9008975798542144, 0.6160252456909475, 0.001671925151527613], [0.40027203111860366, 0.0, 0.4068085986449528], [0.9313274888270631, 0.5611686903622891, 0.0]]"
0.1452595089131984,"[[0.9895315705088645, 0.6613155739230788, 0.0], [0.32439999925478713, 0.0, 0.9700419393209365], [0.5494459331865161, 0.02567298469201741, 0.3667360103586524], [0.9397775587576382, 0.4788838573693002, 0.008344988325265564], [0.9410233404959742, 0.6030873788681506, 0.006249311800838125], [0.49985909031839926, 0.018122106841424086, 0.38332406635691196], [0.997054547052771, 0.5228726045668097, 0.0], [0.5945390341820537, 0.07500538664922704, 0.0176699504535655], [0.34919616368075546, 0.0, 0.4562191307378274], [0.5965705472239161, 0.1430891352687435, 0.011020701785786981]]"
0.1593382087851885,"[[0.9951617313883223, 0.781232547749358, 0.0], [0.3278255473878731, 0.0, 0.98016561620116], [0.5424769957736447, 0.0231560254084863, 0.3665082474204376], [0.9926605106888718, 0.5803167332600287, 0.006225313753406922], [0.49322714214212704, 0.030077663438196848, 0.3837070830681253], [0.5948625899994485, 0.10055252337706787, 0.016205151852906555], [0.5505242987436336, 0.015479299593716397, 0.3677014310542019], [0.9604923016160196, 0.6149902163451247, 0.005599437334743674], [0.40158853573625114, 0.0, 0.40566967137618104], [0.34919616368075546, 0.0, 0.4562191307378274]]"
0.13613143926519142,"[[0.931945551084842, 0.6455235820469247, 0.0], [0.3247135384106234, 0.0, 0.941965778815027], [0.5008386056994476, 0.02844163990390154, 0.3833974487599453], [0.5968129009684293, 0.1487522936566885, 0.01932223666761586], [0.5451234845784039, 0.0, 0.3674976958478369], [0.9044128089453338, 0.5803167332600287, 0.0025657721189440257], [0.9465086430337646, 0.44909169141307015, 0.0], [0.348397967389118, 0.0, 0.465417989445385], [0.401363876245185, 0.0, 0.40468518549540033], [0.32636945029127745, 0.0, 0.8965543868102102]]"
0.17256779435942904,"[[0.9605888738437975, 0.935180014147958, 0.0], [0.3262089607572731, 0.0, 0.968736944967251], [0.49839431043664806, 0.036495909611201055, 0.38343324542516166], [0.5494010012883029, 0.02378526522936908, 0.36922960331924415], [0.6071152057307551, 0.2655679717465038, 0.012528265549363501], [0.9026069082858852, 0.5885969680266183, 0.003343529105479499], [0.5948625899994485, 0.10055252337706787, 0.016205151852906555], [0.4027432855203311, 0.0, 0.4059677801622327], [0.3284281802738364, 0.0, 0.9502877843860564], [0.9602412138237966, 0.5797992185871161, 0.0030574338363910944]]"
0.17465980113572355,"[[0.962394774503246, 0.9692105067202785, 0.0], [0.32788825521904036, 0.0, 0.936668355040277], [0.4973384108286373, 0.03246877475755137, 0.3830878692192939], [0.9098111964781239, 0.44510202185511627, 0.0077114490501567524], [0.5476980823460217, 0.008054269707299657, 0.368874536303456], [0.5954890358110627, 0.12660305196161473, 0.018656898832526653], [0.9002022598142128, 0.49182172419209713, 0.006921257128910233], [0.34995078334395463, 0.0, 0.4659943074778455], [0.4034442231324575, 0.0, 0.40587279501181006], [0.5488123934217097, 0.0, 0.3690064773651169]]"
0.17874940625434638,"[[0.962394774503246, 0.9692105067202785, 0.0], [0.3281560920572463, 0.0, 0.9788643318527449], [0.5507489582346997, 0.03548912589778867, 0.36727354148122826], [0.6860533447164936, 0.3658290223775096, 0.014158572672171849], [0.9055909901242255, 0.6129201576534767, 0.004421192856852323], [0.4895022877802505, 0.031084447151609233, 0.383294887434734], [0.5954890358110627, 0.12660305196161473, 0.018656898832526653], [0.3493566532147598, 0.0, 0.4521617367320522], [0.37466084913706443, 0.0, 0.4018217200304575], [0.9426264394770892, 0.4622749473437009, 0.0021660646788432287]]"
0.17469820027702404,"[[0.9369093635926314, 0.9675900070739789, 0.0], [0.3278255473878731, 0.0, 0.98016561620116], [0.5422748022316852, 0.020764914089131635, 0.3671222309702884], [0.9410233404959742, 0.6030873788681506, 0.006249311800838125], [0.6131219982985469, 0.3465745301630361, 0.012996433958426704], [0.9577979364610132, 0.5642737783997599, 0.0], [0.8755377128397113, 0.43642882716391207, 0.009515982915022722], [0.4905806533373679, 0.021645849838367582, 0.3820828759416957], [0.5968129009684293, 0.1487522936566885, 0.01932223666761586], [0.5497829224231153, 0.008557661564005852, 0.36763118257086025]]"
0.13545262950661052,"[[0.9273583702653869, 0.6191303337284195, 0.0], [0.3276735606106372, 0.0, 0.9597918903862067], [0.540365196557623, 0.021645849838367582, 0.3678359492323471], [0.489830290637207, 0.02957427158149051, 0.38163239172053703], [0.9577979364610132, 0.5642737783997599, 0.0], [0.6083803019146468, 0.3158312979206892, 0.008099776919009165], [0.5954890358110627, 0.12660305196161473, 0.018656898832526653], [0.8549871427685525, 0.42411289070240216, 0.0020700266037505877], [0.5476216981190591, 0.0060407022804747435, 0.36853358713948287], [0.40220859593159375, 0.0, 0.40674571639420687]]"
0.14504226677203258,"[[0.9602025849326856, 0.6258580244762737, 0.0], [0.3262089607572731, 0.0, 0.968736944967251], [0.492337490557505, 0.040145500572321274, 0.3832614244747638], [0.6131219982985469, 0.3465745301630361, 0.012996433958426704], [0.5483136493515429, 0.023281873372662742, 0.3688592348644953], [0.9920038195399815, 0.5647912930726724, 0.0], [0.931945551084842, 0.6455235820469247, 0.0], [0.9251082373581595, 0.5885969680266183, 0.0025069470772485555], [0.5954890358110627, 0.12660305196161473, 0.018656898832526653], [0.6864589480731612, 0.37831842273284355, 0.007767979823455287]]"
0.149313822309587,"[[0.9604923016160196, 0.6149902163451247, 0.005599437334743674], [0.3281018869828475, 0.0, 0.9396563005345165], [0.49271491850249616, 0.06418246173004324, 0.38197028303083047], [0.9926605106888718, 0.5803167332600287, 0.006225313753406922], [0.5518183374121746, 0.02416280912189869, 0.36854610760504725], [0.9642682757221392, 0.6377608619532465, 0.0], [0.5955221220027125, 0.08759018306688257, 0.02277937794410775], [0.9182709236314771, 0.4246332823838743, 0.006769605987877929], [0.400680911392344, 0.0, 0.4057782267031328], [0.3478080886383073, 0.0, 0.4629452277208008]]"
0.135165702499183,"[[0.9602025849326856, 0.6258580244762737, 0.0], [0.32449884380222027, 0.0, 0.9363344545659861], [0.49322714214212704, 0.030077663438196848, 0.3837070830681253], [0.549135903088845, 0.015479299593716397, 0.3682324296276728], [0.5963448931344943, 0.11892632614684483, 0.017434145547736278], [0.8663247223096897, 0.4187355099938555, 0.0026409782369931226], [0.9379426864298561, 0.5135573404543962, 0.001798706423137987], [0.3480302231588829, 0.0, 0.46503761266553856], [0.5955691941555011, 0.08394059210576249, 0.01993370508074685], [0.596695377145724, 0.1327696022062659, 0.012670785502176372]]"
0.13962719706484147,"[[0.9882954459933061, 0.6645565732156816, 0.0], [0.3245785571469244, 0.0, 0.9347987442595815], [0.549135903088845, 0.015479299593716397, 0.3682324296276728], [0.6131219982985469, 0.3745022170687138, 0.011745552943090772], [0.9989280482716643, 0.5958421734473851, 0.0], [0.48867554085312703, 0.004404678746179438, 0.38346724997513676], [0.595568150427058, 0.09702878038012422, 0.015073068055160194], [0.348129067706316, 0.0, 0.465254064124266], [0.8747554777947092, 0.45360175265249664, 0.0006258764186634102], [0.3987308670098899, 0.0, 0.40596085511250624]]"
0.17037537083542525,"[[0.9369093635926314, 0.9675900070739789, 0.0], [0.3245647401671757, 0.0, 0.9481290250696371], [0.5422748022316852, 0.020764914089131635, 0.3671222309702884], [0.9051853867675579, 0.5637562637268485, 0.0053606498799984035], [0.5968129009684293, 0.1487522936566885, 0.01932223666761586], [0.6131895988579912, 0.34275832449890614, 0.01000635984216737], [0.49034251427683784, 0.02126830594583797, 0.38352631371208357], [0.9182709236314771, 0.4246332823838743, 0.006769605987877929], [0.9409171110454185, 0.45516292769691313, 0.002594037505593375], [0.3480302231588829, 0.0, 0.46503761266553856]]"
