HV,front
mean:0.6490780756790929,
0.5248587684754384,"[[0.03882072155078891, 0.7694485294117648], [0.24173596277424786, 0.676251760143197], [0.5961963690105971, 0.16327951845130093], [0.5565103103192084, 0.5794835802505967], [0.0, 0.8203099436917877], [0.3799722339789242, 0.6479762986276842], [0.5947960296036038, 0.2090611615245002], [0.07762169705806271, 0.7619661764705873], [0.13381235488768048, 0.7239919117647041], [0.5479689730985418, 0.522268144689736]]"
0.6103500411238221,"[[0.04568905368680944, 0.7430676470588231], [0.694058831861634, 0.23696914942528582], [0.6922845798381138, 0.4605839999999929], [0.638756422715292, 0.47904698031026166], [0.5648610254216456, 0.5498246891408116], [0.416278415881706, 0.5869583747016691], [0.2641801146821027, 0.6530974492840084], [0.8348186029342332, 0.21712360314579437], [0.3668, 0.625053854713602], [0.5514881506658551, 0.5037213797732691]]"
0.7298283674416484,"[[0.9120498872968958, 0.47351844331742193], [0.3668, 0.658282071897374], [0.13739955279293312, 0.690804411764705], [0.5180193056767195, 0.6436297649164675], [0.7482101766786668, 0.6004306214200477], [0.0, 0.6957294117647052], [0.8054261386272353, 0.4495066666666604], [0.4928498544504974, 0.6265247201670628], [0.6948653100541433, 0.5222772121121705], [0.13501028152759975, 0.6759538305489248]]"
0.6268899822451043,"[[0.5710195861644438, 0.4718856596062037], [0.8540714368754094, 0.3414228445251053], [0.5744067945729826, 0.37117156563823367], [0.3668, 0.6516479570405727], [0.15321942465582258, 0.6762083660501174], [0.05442667794226423, 0.6937970588235276], [0.5458501349382218, 0.4998780880071594], [0.520915295549821, 0.6311873183174208], [0.5129164982041153, 0.5605287813245825], [0.7901690375489461, 0.23362010042347214]]"
0.698160403572951,"[[0.7566708660800827, 0.6106366530429581], [0.18656720114566175, 0.6724920181980905], [0.0, 0.738392647058824], [0.3668, 0.6688281318615754], [0.17588459160396452, 0.7017919117647042], [0.46555423344402413, 0.6237177052505951], [0.08266681117618417, 0.7193926470588221], [0.8672903476126301, 0.32193911312764617], [0.6207133060628798, 0.5117356858591887], [0.3668, 0.6650198144391402]]"
0.6382521882359633,"[[0.7677489437971875, 0.5263679149761334], [0.2923771356820819, 0.6630502407517896], [0.6195329152538435, 0.5609031363365139], [0.0, 0.7680294117647047], [0.8026914443926354, 0.14347090744101476], [0.19086196561020732, 0.6883551470588232], [0.3668, 0.6117402878878269], [0.49067969495065433, 0.5704064427207634], [0.02047006511070764, 0.7211507352941158], [0.7802713506408774, 0.16946353781004203]]"
0.664898163644655,"[[0.42568488425433726, 0.6027408711217185], [0.7176739796622923, 0.5255058621718373], [0.1893875943610761, 0.6839624999999981], [0.3668, 0.6669686625894974], [0.0, 0.7629374999999996], [0.19422208401503566, 0.6775063028042959], [0.7443390813546227, 0.5077751652744624], [0.15638866464000434, 0.7136264705882337], [0.8499290716138844, 0.3639722032667864], [0.6857154483791286, 0.5260939492840084]]"
0.6703344988999879,"[[0.8370034256739398, 0.5105459105011922], [0.188735974925076, 0.6900742647058806], [0.8455227680348111, 0.09712845130066412], [0.597354764959838, 0.5322636825775652], [0.0, 0.7699838235294109], [0.2251805892395417, 0.658491917959426], [0.1266280860554178, 0.7288433823529397], [0.4285148895480516, 0.6050964579355594], [0.5493253227859438, 0.5616563800715986], [0.3884109285205441, 0.5925976637828154]]"
0.6963856165494173,"[[0.42862486384703014, 0.5628616995823372], [0.3668, 0.6858411764705871], [0.16417189679222677, 0.7068647058823518], [0.8619529283022047, 0.5371121628878278], [0.017962317584283422, 0.765707352941176], [0.6530164234828427, 0.46585599999999316], [0.8410358166364863, 0.13927988505747035], [0.18098236183812633, 0.6223135501193318], [0.3668, 0.5531485471360382], [0.03600361934262726, 0.6605554042362752]]"
0.5999601458601753,"[[0.3945181679238192, 0.6622782144988065], [0.7408052405474452, 0.33973588263762916], [0.5413485203000334, 0.47495239140811313], [0.8894245081870438, 0.004649321234118919], [0.0, 0.8125829771380177], [0.12888900803790262, 0.7068066176470581], [0.7585330975427861, 0.24672533696309584], [0.5975967084175909, 0.41282933333333116], [0.4916694636414612, 0.51486783263723], [0.23813295479613578, 0.6830361351431967]]"
0.5781775891012597,"[[0.6547833438864317, 0.512169626789976], [0.3668, 0.6523578066825777], [0.05949482911115326, 0.7504889705882358], [0.7294412296529962, 0.026132833635811772], [0.12401831730416511, 0.7060360294117634], [0.6342548080771042, 0.5949895202863943], [0.3668, 0.6427508726133634], [0.6228761339427911, 0.2103795245009069], [0.45443949762725927, 0.48288962440333966], [0.04568905368680944, 0.7430676470588231]]"
