HV,front_sat,front_raw,front_variables
mean:0.14525841433433756,,,
0.08446840002264082,"[[0.0, 0.3499146093023261], [0.15774617683230796, 0.0], [0.0, 0.39272103837209305], [0.2736617993914517, 0.0], [0.09497578931593603, 0.06747828894471777], [0.0, 0.4057232606232293], [0.0, 0.39683801511627875], [0.0, 0.22614240577889289], [0.11689371102128644, 0.005524714824115288], [0.0, 0.4011297818696881]]","[[90585.4, 26.500444], [96273.6, 26.058125], [85607.0, 26.631453], [97890.6, 25.767551], [94099.2, 26.352292], [61376.8, 26.683141], [81327.4, 26.644053], [91846.2, 26.42587], [94294.4, 26.323562], [63466.8, 26.660303]]","[[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]]"
0.09219292724558949,"[[0.0, 0.3988670965116274], [0.0, 0.35296966744186026], [0.0, 0.6658140539568338], [0.15611521849906107, 0.0], [0.0, 0.2218317481155732], [0.0, 0.46791622122302134], [0.0, 0.3927011069767446], [0.0, 0.4044034249291785], [0.0, 0.2613457506281436], [0.1530400636696786, 0.0]]","[[76356.8, 26.650263], [91614.2, 26.509794], [62052.4, 26.833226], [95816.0, 26.190787], [92773.4, 26.423871], [69560.8, 26.721971], [79317.4, 26.631392], [76092.4, 26.676579], [86855.0, 26.442195], [94953.2, 25.921053]]","[[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1], [1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]]"
0.13345748648106576,"[[0.0, 0.4752590125899304], [0.0, 0.35685367558139564], [0.0, 0.34630539302325625], [0.0, 0.4954676978417241], [0.0, 0.4034824362606233], [0.27410425702461894, 0.16964454145728572], [0.0, 0.24559104082914118], [0.0, 0.4010420878186965], [0.15763354946488967, 0.0], [0.15184108118868156, 0.0]]","[[71695.8, 26.726099], [82566.0, 26.521681], [91456.0, 26.489398], [63062.4, 26.73746], [79858.8, 26.672], [97896.0, 26.39967], [90204.4, 26.434889], [76197.4, 26.659867], [96242.0, 25.988088], [94616.8, 26.294793]]","[[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1], [0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1], [0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1], [0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0]]"
0.1789451202760807,"[[0.3789994907248626, 0.2036467675879422], [0.0, 0.34641583255813974], [0.0, 0.5386314999999988], [0.0, 0.40101654390934827], [0.0, 0.39856975930232585], [0.0, 0.42625726438848627], [0.0, 0.3988670965116274], [0.0, 0.3008252506281387], [0.1526287599291701, 0.0], [0.0, 0.3833898779069767]]","[[99176.2, 26.415438], [84318.8, 26.489736], [68602.2, 26.761726], [74436.4, 26.65974], [82614.4, 26.649353], [69096.8, 26.698551], [76356.8, 26.650263], [86079.2, 26.460503], [94837.8, 26.232264], [76359.0, 26.602895]]","[[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1], [1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]]"
0.1364322888354274,"[[0.0, 0.36954834069767417], [0.0, 0.39872300232558133], [0.0, 0.27486857914572765], [0.0, 0.3815104453488368], [0.1800738163166041, 0.2673470314070323], [0.3841778837648995, 0.0], [0.0, 0.3565948941860466], [0.0, 0.22891338881909246], [0.1914793908604841, 0.0], [0.0, 0.3813689651162795]]","[[74930.6, 26.560533], [69087.8, 26.649822], [82715.0, 26.448466], [69731.2, 26.597143], [96748.4, 26.444978], [99239.4, 26.319464], [77446.6, 26.520889], [90631.4, 26.427155], [96887.6, 26.052902], [68344.2, 26.59671]]","[[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0], [1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1], [0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]]"
0.09549704964354767,"[[0.2824781774153115, 0.0], [0.0, 0.4174505395683453], [0.07249644543575597, 0.07597453266331095], [0.12823443895284597, 0.020324136306533375], [0.0, 0.2741936237437209], [0.0, 0.38472005348837196], [0.0, 0.5060852176258973], [0.0, 0.23728024811557993], [0.0, 0.48002969244604565], [0.26269868248074013, 0.0]]","[[97998.2, 26.24835], [74881.6, 26.6936], [93899.0, 26.356232], [94395.4, 26.330425], [92092.8, 26.448153], [89340.4, 26.606966], [70048.4, 26.743429], [91298.2, 26.431035], [68478.0, 26.728781], [97756.8, 25.872026]]","[[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1], [0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1], [1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0], [1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1], [1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1], [1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]]"
0.1627515344290868,"[[0.0, 0.40374089235127475], [0.0, 0.5250167410071954], [0.0, 0.41492467625899365], [0.1574068690671744, 0.3653578465116279], [0.2859359018819183, 0.0], [0.0, 0.6664810953237434], [0.0, 0.3686684186046507], [0.0, 0.3157324924623115], [0.15501817091389192, 0.0], [0.0, 0.39321115465116285]]","[[81388.0, 26.673285], [63558.8, 26.754072], [72397.6, 26.69218], [96178.4, 26.547708], [98040.4, 26.043068], [61419.6, 26.833601], [86745.8, 26.55784], [89002.4, 26.467416], [95508.2, 26.124158], [76835.2, 26.632953]]","[[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]]"
0.2686806132590589,"[[0.0, 0.384675289534884], [0.0, 0.47743801438848804], [0.15798640102737097, 0.3660387813953488], [0.0, 0.6048962787769767], [0.4325023228934357, 0.3537558139534883], [0.0, 0.3821665476744182], [0.3622188753039829, 0.1534326733668311], [0.0, 0.4309283327338152], [0.0, 0.34788160697674436], [0.0, 0.38204728604651167]]","[[82034.2, 26.606829], [71131.6, 26.727324], [96341.0, 26.549792], [63470.6, 26.798979], [100308.4, 26.5122], [83185.4, 26.599151], [98971.4, 26.392152], [67866.8, 26.701177], [90086.6, 26.494222], [75486.8, 26.598786]]","[[1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1], [1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1], [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]]"
0.249333723756592,"[[0.9854156914616339, 0.09678601695979708], [0.0, 0.4541769478417271], [0.0, 0.38745392209302304], [0.0, 0.29303199560301535], [0.0, 0.4007554730878188], [0.0, 0.34545716511627933], [0.0, 0.39268999767441803], [0.0, 0.34795871860465166], [0.0, 0.3574326662790697], [0.0, 0.2968704001256287]]","[[103639.8, 26.365883], [72847.8, 26.714247], [82326.0, 26.615333], [90293.2, 26.456889], [77042.0, 26.658442], [86032.6, 26.486802], [80822.8, 26.631358], [83199.8, 26.494458], [82486.2, 26.523453], [88497.6, 26.458669]]","[[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]]"
