HV,front_sat,front_raw,front_variables
mean:0.2713734880454341,,,
0.27261833737936636,"[[0.007142771258126946, 0.4355620277299758, 0.9979400696716791], [0.9637801005891258, 0.972523357415743, 0.0], [0.21487137862863243, 0.6718415877030748, 0.28086373228753636], [0.2097254538027937, 0.4717583181230486, 0.6126159030017138], [0.22097722681610865, 0.679313057004344, 0.0], [0.21192711096909886, 0.5355327345298911, 0.4703170598497016], [0.9955095623889136, 0.9803873620174441, 0.0], [0.8492702365248981, 0.8374140735359142, 0.0], [0.22713742816974766, 0.677892425517483, 0.0], [0.20945918840542466, 0.49830226441130215, 0.6085117117046563]]","[[22278.4, 1356.0, 84.556561], [59589.8, 2159.0, 26.760153], [33936.0, 1509.2, 48.942353], [26425.8, 1377.0, 66.972536], [36028.6, 1537.6, 44.205555], [29639.0, 1414.0, 56.240414], [61302.6, 2175.6, 26.354754], [53408.4, 1873.8, 26.936834], [36226.6, 1532.2, 43.33], [26037.2, 1392.4, 66.770513]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 15, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 15, 6], [1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 1, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 15, 6], [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 15, 6], [1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 0, 15, 6]]"
0.2725382336680339,"[[0.01070842432598784, 0.41281007376861567, 0.9978049227912792], [1.0, 0.9796293856702922, 0.0], [0.21471227717400274, 0.6830487916549786, 0.2723872915014653], [0.20973641686598954, 0.4734819509989092, 0.6165146236801857], [0.22742988217340532, 0.6758930182396784, 0.0], [0.21190600707244686, 0.52070949179749, 0.4706834976611135], [0.5580184824216406, 0.750088397470769, 0.0], [0.9971842140392528, 0.9665542936819218, 0.0], [0.9846095067356002, 0.9857879434909016, 0.0], [0.21492304206394283, 0.6727886753609821, 0.27028244113083955]]","[[22340.6, 1342.8, 84.550949], [61545.0, 2174.0, 26.686457], [33703.8, 1551.8, 48.815294], [26441.8, 1378.0, 67.164445], [36236.0, 1524.6, 43.949985], [29608.2, 1405.4, 56.522], [46512.6, 1691.8, 27.070398], [61393.0, 2146.4, 26.799471], [60714.2, 2187.0, 26.374831], [34011.4, 1512.8, 48.783743]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 5, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 5, 6], [1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 5, 6], [1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 15, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 5, 6]]"
0.2685587590881361,"[[0.012611634645167742, 0.4148784332196485, 0.9945886100591932], [0.9756138115873185, 0.9945994185265425, 0.0], [0.2146448543353483, 0.6732622191899358, 0.24170188071022242], [0.20973641686598954, 0.4734819509989092, 0.6165146236801857], [0.2296139535624227, 0.6817860081111021, 0.0], [0.21192574058619937, 0.4941655455092365, 0.4702925583080296], [0.8795547555290393, 0.8892407062724265, 0.0], [0.976895735195764, 0.9479838731766997, 0.0], [0.01070842432598784, 0.41281007376861567, 0.9978049227912792], [0.21463786538256097, 0.6562716707536833, 0.26903264661265286]]","[[22373.8, 1344.0, 84.417391], [60228.6, 2205.6, 26.627334], [33605.4, 1514.6, 48.35533], [26441.8, 1378.0, 67.164445], [36306.2, 1547.0, 43.528333], [29637.0, 1390.0, 56.221586], [55043.2, 1983.2, 26.972364], [60297.8, 2107.2, 26.845666], [22340.6, 1342.8, 84.550949], [33595.2, 1484.2, 48.765009]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 5, 0], [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 15, 0], [1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0]]"
0.2766161277364977,"[[0.0, 0.433493668278943, 0.9915385337696238], [0.9971842140392528, 0.9665542936819218, 0.0], [0.21471392163348213, 0.6839261063422101, 0.27022893759696603], [0.20952852978013836, 0.49968117071199053, 0.6161945332049605], [0.22757299796242922, 0.6850817795496957, 0.0], [0.21196753726463352, 0.5489770709616038, 0.47034948782489416], [0.9756138115873185, 0.9945994185265425, 0.0], [0.010502052122703361, 0.3676508924210677, 0.9982998753630647], [0.6299874199025041, 0.7565409062125645, 0.0], [0.21494332373085515, 0.6745250027338123, 0.2716024173418374]]","[[22064.0, 1354.8, 84.290736], [61393.0, 2146.4, 26.799471], [33706.2, 1554.4, 48.782941], [26138.4, 1393.2, 67.148689], [36240.6, 1556.8, 44.009294], [29698.0, 1421.8, 56.265333], [60228.6, 2205.6, 26.627334], [22337.0, 1316.6, 84.571502], [48104.2, 1705.2, 26.987083], [34041.0, 1519.4, 48.803529]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 15, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 1, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 15, 0], [1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 5, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 15, 0]]"
0.2697504965317664,"[[0.011602703873554405, 0.42246241787343536, 0.9909830155520424], [0.9756138115873185, 0.9945994185265425, 0.0], [0.21492304206394283, 0.6727886753609821, 0.27028244113083955], [0.20944891053367856, 0.472447771273393, 0.619018443862979], [0.22097722681610865, 0.679313057004344, 0.0], [0.21157040030036411, 0.5089887882416375, 0.4695096931896784], [0.9522501980761715, 0.92780275293378, 0.0], [0.0, 0.35144874338797816, 0.9967531275046876], [0.2293028322819359, 0.6734200671329204, 0.0], [0.5608853023740702, 0.7202335062773872, 0.0]]","[[22356.2, 1348.4, 84.267668], [60228.6, 2205.6, 26.627334], [34011.4, 1512.8, 48.783743], [26022.2, 1377.4, 67.287692], [36028.6, 1537.6, 44.205555], [29118.4, 1398.6, 55.62], [58967.4, 2064.6, 26.871186], [21974.2, 1307.2, 84.507273], [36296.2, 1515.2, 43.668964], [46576.0, 1629.8, 27.160241]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 5, 6], [1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 2, 15, 0], [1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 5, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 6], [1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 6]]"
0.27162288780413446,"[[0.01070842432598784, 0.41281007376861567, 0.9978049227912792], [0.9955095623889136, 0.9803873620174441, 0.0], [0.21476873694946133, 0.6797339848523029, 0.2579947074642301], [0.20952017044445154, 0.466932146070639, 0.6129550696990916], [0.22812679384169585, 0.6807863044721999, 0.0], [0.21184091388472154, 0.5341538282292028, 0.4702907637666037], [0.9612421882429261, 0.9567006011689468, 0.0], [0.976847570435909, 0.9902410545304191, 0.0], [0.5649639641991353, 0.7174406293592966, 0.0], [0.20975779483922144, 0.44176710608307385, 0.6054140298328695]]","[[22340.6, 1342.8, 84.550949], [61302.6, 2175.6, 26.354754], [33786.2, 1539.2, 48.599554], [26126.2, 1374.2, 66.989231], [36258.4, 1543.2, 43.833784], [29513.2, 1413.2, 56.220207], [59452.8, 2125.6, 26.814576], [60295.2, 2196.4, 26.379667], [46666.2, 1624.0, 27.098224], [26473.0, 1359.6, 66.618034]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 15, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 15, 6], [1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 6], [1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 5, 3]]"
0.2669581488446136,"[[0.0, 0.4024682765134521, 0.9925278609507702], [0.9619794795668585, 0.9730918396761069, 0.0], [0.22250172109049407, 0.6835408819397147, 0.0], [0.20952852978013836, 0.49968117071199053, 0.6161945332049605], [0.21190600707244686, 0.52070949179749, 0.4706834976611135], [0.21448726030190807, 0.6671061494135379, 0.25740249939665566], [0.9968211258495776, 0.9590692772537965, 0.0], [0.961712720896893, 0.9503525492615494, 0.0], [0.2277472258795018, 0.6768927218785807, 0.0], [0.4905202593786699, 0.7106028962150059, 0.0]]","[[22043.6, 1336.8, 84.331818], [59492.6, 2160.2, 26.700237], [36077.6, 1553.6, 43.850429], [26138.4, 1393.2, 67.148689], [29608.2, 1405.4, 56.522], [33375.4, 1491.2, 48.590677], [61373.4, 2130.6, 26.522623], [59478.2, 2112.2, 26.814638], [36246.2, 1528.4, 44.171216], [44692.2, 1609.8, 27.048889]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0], [1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 5, 3], [0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]]"
0.27181831805204193,"[[0.008197562519359032, 0.38971339323208376, 0.9877724342806722], [0.9971842140392528, 0.9665542936819218, 0.0], [0.214951546028252, 0.6751037785247557, 0.259077920530943], [0.20948138860839624, 0.49278663920854804, 0.6199404612670217], [0.22624139888194578, 0.6766822579546012, 0.0], [0.21187914756761703, 0.512780780568531, 0.4705151920583373], [0.9630279893390841, 0.9878723784455694, 0.0], [0.0, 0.2669907324708084, 0.9965279388948124], [0.851574735034878, 0.893978058442126, 0.0], [0.2093385947102704, 0.5203647652223178, 0.6060890518067406]]","[[22296.8, 1329.4, 84.134348], [61393.0, 2146.4, 26.799471], [34053.0, 1521.6, 48.615791], [26069.6, 1389.2, 67.333077], [36197.8, 1527.6, 44.04949], [29569.0, 1400.8, 56.392667], [59549.2, 2191.4, 26.340339], [21570.4, 1258.2, 84.497922], [53532.8, 1993.2, 26.919776], [25861.2, 1405.2, 66.651261]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 0, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 15, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 15, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 6], [1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 0, 15, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 5, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6], [0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 15, 6]]"
0.2760511695389702,"[[0.0, 0.433493668278943, 0.9915385337696238], [0.9924047878690372, 0.9833245203626579, 0.0], [0.21472543284983775, 0.7023205715613581, 0.2419194973280469], [0.20951277037679433, 0.48899464688165467, 0.6155648147192689], [0.22757299796242922, 0.6850817795496957, 0.0], [0.21190600707244686, 0.52070949179749, 0.4706834976611135], [0.010502052122703361, 0.3676508924210677, 0.9982998753630647], [0.984420552677708, 0.9996210118264239, 0.0], [0.851574735034878, 0.893978058442126, 0.0], [0.2146850065543031, 0.677839809536488, 0.27901932804688856]]","[[22064.0, 1354.8, 84.290736], [61135.0, 2181.8, 26.773157], [33723.0, 1592.6, 48.358592], [26115.4, 1387.0, 67.117692], [36240.6, 1556.8, 44.009294], [29608.2, 1405.4, 56.522], [22337.0, 1316.6, 84.571502], [60704.0, 2216.2, 26.321361], [53532.8, 1993.2, 26.919776], [33664.0, 1532.0, 48.914706]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 6], [0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 5, 6]]"
