HV,front_sat,front_raw,front_variables
mean:0.7208835602118678,,,
0.6760139450880905,"[[0.9239714969580713, 0.0], [0.826462822052995, 0.6191471279129986], [0.8922761305810589, 0.0], [0.8354667286798403, 0.0], [0.8272299710481074, 0.0], [0.829127655404438, 0.0], [0.8267858321562, 0.0], [0.8810515294946775, 0.0], [0.870634453666309, 0.0], [0.773892927756345, 0.0]]","[[10194.2, 12.291034], [9711.2, 12.514074], [10037.2, 12.022529], [9755.8, 12.05637], [9715.0, 12.204963], [9724.4, 12.000518], [9712.8, 12.016148], [9981.6, 11.985149], [9930.0, 11.74223], [9450.8, 11.935714]]","[[0, 1, 1, 1, 0, 4, 0, 1, 16, 10, 0], [0, 1, 1, 1, 1, 4, 0, 3, 10, 16, 20], [0, 1, 1, 1, 0, 4, 0, 2, 16, 10, 0], [0, 1, 1, 1, 1, 4, 0, 1, 16, 10, 0], [0, 1, 1, 1, 1, 4, 0, 2, 16, 10, 0], [0, 1, 1, 1, 0, 4, 0, 2, 0, 20, 128], [0, 1, 1, 1, 0, 3, 0, 2, 16, 20, 10], [0, 1, 1, 1, 0, 4, 0, 4, 20, 8, 20], [0, 1, 1, 1, 0, 3, 0, 1, 20, 16, 10], [0, 1, 1, 1, 0, 3, 0, 3, 16, 32, 32]]"
0.8459128526752959,"[[0.9692332876697027, 0.6710186266183323], [0.985626050407368, 0.5570488390243906], [0.8856947997282525, 0.6819177669601237], [0.8147133295489051, 0.0], [0.8832722239542133, 0.0], [0.8541205621399421, 0.0], [0.8287642690383322, 0.0], [0.9487221461161711, 0.0], [0.8763678829982016, 0.0], [0.7881861248231763, 0.0]]","[[10418.4, 12.639908], [10499.6, 12.42159], [10004.6, 12.666348], [9653.0, 12.194736], [9992.6, 11.977609], [9848.2, 12.006], [9722.6, 12.109333], [10316.8, 11.750202], [9958.4, 11.841655], [9521.6, 12.059286]]","[[0, 1, 1, 1, 0, 4, 0, 1, 8, 128, 32], [0, 1, 1, 1, 0, 4, 0, 1, 64, 64, 128], [0, 1, 1, 1, 1, 4, 0, 2, 8, 20, 64], [0, 1, 1, 1, 1, 4, 0, 3, 20, 8, 20], [0, 1, 1, 1, 0, 4, 0, 4, 20, 10, 20], [0, 1, 1, 1, 1, 4, 0, 2, 64, 64, 32], [0, 1, 1, 1, 0, 3, 0, 2, 128, 10, 64], [0, 1, 1, 1, 0, 4, 0, 2, 128, 20, 8], [0, 1, 1, 1, 0, 4, 0, 3, 20, 10, 20], [0, 1, 1, 1, 1, 4, 0, 3, 128, 32, 64]]"
0.9239955037789698,"[[0.9820729392721104, 0.7539124029850739], [0.9269593404127194, 0.0], [0.8909033376424366, 0.0], [0.8896920497554169, 0.0], [0.8173781629003483, 0.0], [0.8886826431829007, 0.0], [0.8615497945136621, 0.0], [0.7883072536118784, 0.0], [0.8260186831610877, 0.0], [0.7586307003798987, 0.0]]","[[10482.0, 12.835714], [10209.0, 12.037931], [10030.4, 12.220902], [10024.4, 11.985287], [9666.2, 12.086005], [10019.4, 11.995172], [9885.0, 11.980445], [9522.2, 12.003571], [9709.0, 11.741226], [9375.2, 11.941428]]","[[0, 1, 1, 1, 0, 4, 0, 1, 10, 64, 32], [0, 1, 1, 1, 0, 4, 0, 1, 128, 0, 128], [0, 1, 1, 1, 0, 4, 0, 4, 20, 10, 128], [0, 1, 1, 1, 0, 4, 0, 4, 20, 16, 128], [0, 1, 1, 1, 0, 3, 0, 2, 128, 32, 32], [0, 1, 1, 1, 0, 4, 0, 2, 128, 0, 8], [0, 1, 1, 1, 0, 3, 0, 1, 128, 20, 128], [0, 1, 1, 1, 1, 3, 0, 2, 10, 8, 128], [0, 1, 1, 1, 0, 4, 0, 3, 32, 64, 0], [0, 1, 1, 1, 1, 3, 0, 1, 20, 32, 0]]"
0.9169238108445625,"[[0.9781160655078462, 0.750487104477611], [0.8985344513306601, 0.6795854168824444], [0.9202972570341118, 0.0], [0.9059233074414792, 0.018516594059408222], [0.904348633188354, 0.516992489756098], [0.8668794612165482, 0.0], [0.8411194054859317, 0.0], [0.8030042133077158, 0.0], [0.8584004460074112, 0.0], [0.8194373523082813, 0.0]]","[[10462.4, 12.830184], [10068.2, 12.66069], [10176.0, 11.859526], [10104.8, 12.307586], [10097.0, 12.399203], [9911.4, 11.758667], [9783.8, 12.289185], [9595.0, 12.225423], [9869.4, 11.606667], [9676.4, 12.089974]]","[[0, 1, 1, 1, 0, 4, 0, 1, 128, 64, 64], [0, 1, 1, 1, 0, 4, 0, 3, 10, 8, 10], [0, 1, 1, 1, 0, 4, 0, 2, 128, 32, 8], [0, 1, 1, 1, 1, 4, 0, 1, 10, 64, 20], [0, 1, 1, 1, 1, 4, 0, 1, 20, 8, 64], [0, 1, 1, 1, 0, 4, 0, 4, 128, 20, 10], [0, 1, 1, 1, 0, 3, 0, 2, 10, 8, 10], [0, 1, 1, 1, 1, 3, 0, 2, 10, 8, 10], [0, 1, 1, 1, 1, 4, 0, 2, 128, 32, 8], [0, 1, 1, 1, 1, 4, 0, 3, 10, 8, 10]]"
0.7756221091631118,"[[0.9340655626832345, 0.6483134583117554], [0.9522348809885282, 0.0], [0.8809304007059754, 0.0], [0.8860581860943582, 0.0], [0.777728672731907, 0.0], [0.8349822135250327, 0.0], [0.755521728136548, 0.0], [0.7620223064635533, 0.0], [0.8204467588807977, 0.0], [0.7740948090708483, 0.0]]","[[10244.2, 12.584828], [10334.2, 12.192745], [9981.0, 12.301688], [10006.4, 12.101747], [9469.8, 12.014286], [9753.4, 11.75563], [9359.8, 12.084064], [9392.0, 12.010714], [9681.4, 11.652112], [9451.8, 11.84053]]","[[0, 1, 1, 1, 0, 4, 0, 1, 128, 0, 20], [0, 1, 1, 1, 0, 4, 0, 2, 10, 16, 8], [0, 1, 1, 1, 1, 4, 0, 2, 10, 16, 8], [0, 1, 1, 1, 0, 4, 0, 3, 10, 20, 10], [0, 1, 1, 1, 0, 3, 0, 3, 8, 16, 8], [0, 1, 1, 1, 1, 4, 0, 1, 128, 0, 20], [0, 1, 1, 1, 1, 3, 0, 2, 10, 0, 16], [0, 1, 1, 1, 1, 3, 0, 1, 128, 0, 20], [0, 1, 1, 1, 1, 4, 0, 3, 10, 16, 8], [0, 1, 1, 1, 0, 3, 0, 4, 10, 64, 128]]"
0.6758733536139293,"[[0.9504179491579988, 0.5172286731707334], [0.9987483358500799, 0.4695232019512217], [0.9711309720260333, 0.0], [0.8984940750677594, 0.4122970341463436], [0.9033392266158377, 0.0], [0.8953447265615083, 0.0], [0.8956677366647137, 0.0], [0.8860581860943582, 0.0], [0.8725725142855404, 0.0], [0.818791332101871, 0.0]]","[[10325.2, 12.399335], [10564.6, 12.372673], [10427.8, 11.970968], [10068.0, 12.34069], [10092.0, 12.205022], [10052.4, 12.135625], [10054.0, 11.955862], [10006.4, 12.223058], [9939.6, 11.733333], [9673.2, 11.874784]]","[[0, 1, 1, 1, 0, 4, 0, 2, 8, 20, 128], [0, 1, 1, 1, 0, 4, 0, 1, 10, 10, 32], [0, 1, 1, 1, 0, 4, 0, 1, 16, 8, 16], [0, 1, 1, 1, 0, 4, 0, 2, 64, 8, 0], [0, 1, 1, 1, 0, 4, 0, 2, 20, 64, 0], [0, 1, 1, 1, 0, 4, 0, 3, 10, 64, 32], [0, 1, 1, 1, 0, 4, 0, 2, 8, 16, 0], [0, 1, 1, 1, 0, 4, 0, 3, 128, 20, 10], [0, 1, 1, 1, 1, 4, 0, 2, 16, 16, 10], [0, 1, 1, 1, 1, 4, 0, 2, 8, 32, 0]]"
0.8064919430437869,"[[0.9777123028788398, 0.6483369549456238], [0.8997053629547789, 0.0], [0.9028547114610299, 0.0], [0.8826262037478028, 0.0], [0.8422499408471501, 0.0], [0.7828564581202903, 0.0], [0.8743894461160697, 0.0], [0.8353859761540391, 0.0], [0.7557236094510513, 0.0], [0.859006089950921, 0.0]]","[[10460.4, 12.584885], [10074.0, 12.111034], [10089.6, 12.09722], [9989.4, 12.193678], [9789.4, 12.068], [9495.2, 12.164286], [9948.6, 11.79354], [9755.4, 11.821333], [9360.8, 11.941429], [9872.4, 11.659333]]","[[0, 1, 1, 1, 0, 4, 0, 1, 8, 32, 64], [0, 1, 1, 1, 1, 4, 0, 2, 20, 8, 10], [0, 1, 1, 1, 0, 4, 0, 3, 20, 8, 10], [0, 1, 1, 1, 1, 4, 0, 2, 32, 8, 64], [0, 1, 1, 1, 1, 4, 0, 1, 16, 128, 0], [0, 1, 1, 1, 0, 3, 0, 4, 20, 8, 10], [0, 1, 1, 1, 0, 4, 0, 4, 20, 8, 10], [0, 1, 1, 1, 0, 4, 0, 1, 0, 64, 128], [0, 1, 1, 1, 1, 3, 0, 3, 20, 8, 10], [0, 1, 1, 1, 0, 3, 0, 1, 64, 8, 20]]"
0.09849276507331399,"[[0.8292084079302392, 0.0], [0.8849276507331398, 0.0], [0.8158438649101234, 0.0], [0.8221829381855258, 0.0], [0.8487505191741553, 0.0], [0.795655733459797, 0.0], [0.794848208201784, 0.0], [0.7881053722973751, 0.0], [0.7862884404668457, 0.0], [0.7715914807710079, 0.0]]","[[9724.8, 12.033926], [10000.8, 11.987264], [9658.6, 12.198397], [9690.0, 11.976667], [9821.6, 11.737407], [9558.6, 11.632604], [9554.6, 11.97212], [9521.2, 11.92788], [9512.2, 11.29871], [9439.4, 11.731567]]","[[0, 1, 1, 1, 0, 3, 0, 2, 128, 10, 16], [0, 1, 1, 1, 1, 4, 0, 2, 10, 128, 16], [0, 1, 1, 1, 1, 4, 0, 3, 64, 10, 64], [0, 1, 1, 1, 0, 4, 0, 2, 0, 16, 8], [0, 1, 1, 1, 0, 3, 0, 1, 128, 64, 10], [0, 1, 1, 1, 1, 3, 0, 2, 20, 10, 32], [0, 1, 1, 1, 0, 3, 0, 3, 8, 8, 20], [0, 1, 1, 1, 0, 3, 0, 1, 20, 8, 0], [0, 1, 1, 1, 0, 4, 0, 4, 20, 10, 0], [0, 1, 1, 1, 0, 3, 0, 2, 20, 8, 0]]"
0.554986485222508,"[[0.9079421205865119, 0.44438040390243916], [0.9707675856599276, 0.0], [0.8774176658336187, 0.0], [0.8319539938074836, 0.0], [0.8447936454098912, 0.0], [0.8297332993479477, 0.0], [0.8153189734924148, 0.0], [0.7737717989676434, 0.0], [0.8193162235195792, 0.0], [0.7958576147743003, 0.0]]","[[10114.8, 12.358621], [10426.0, 12.188203], [9963.6, 11.841127], [9738.4, 12.083037], [9802.0, 11.968], [9727.4, 12.107259], [9656.0, 11.873042], [9450.2, 12.024286], [9675.8, 11.56395], [9559.6, 11.860806]]","[[0, 1, 1, 1, 0, 4, 0, 3, 10, 10, 128], [0, 1, 1, 1, 0, 4, 0, 1, 16, 128, 128], [0, 1, 1, 1, 1, 4, 0, 2, 10, 10, 128], [0, 1, 1, 1, 1, 4, 0, 3, 10, 10, 128], [0, 1, 1, 1, 0, 4, 0, 4, 32, 32, 16], [0, 1, 1, 1, 1, 4, 0, 2, 10, 16, 0], [0, 1, 1, 1, 0, 4, 0, 2, 0, 64, 32], [0, 1, 1, 1, 0, 3, 0, 3, 32, 32, 16], [0, 1, 1, 1, 1, 3, 0, 1, 64, 20, 16], [0, 1, 1, 1, 1, 3, 0, 2, 64, 10, 128]]"
