HV,front_sat,front_raw,front_variables
mean:1.2403196733252622,,,
1.2721561106284063,"[[0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [1.0, 0.9852553466076688, 0.8773629773530018], [0.9222904551682157, 0.9936808628318582, 0.9126311572823584], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.4722138996139022, 1.0, 0.8887475711614359], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645]]","[[14.837, 519.6, 14.119097], [16.8008, 518.8, 14.078158], [16.6518, 519.6, 14.106008], [16.6586, 519.6, 14.101632], [15.1188, 520.2, 14.087148], [15.1334, 519.4, 14.149251], [16.6334, 519.2, 14.132034], [16.7556, 516.8, 14.115469], [16.6186, 519.2, 14.11691], [16.6532, 517.2, 14.056574]]","[[0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]]"
1.2723938414071034,"[[0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.4722138996139022, 1.0, 0.8887475711614359], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.4770942084942106, 1.0, 0.8586866715146464], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.4008393822393833, 1.0, 0.9032664107625177], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282], [0.3800980694980702, 1.0, 0.9161731716185326], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288]]","[[16.783, 518.6, 14.146937], [15.1188, 520.2, 14.087148], [16.6186, 519.2, 14.11691], [16.6586, 519.6, 14.101632], [15.1204, 520.2, 14.06341], [14.837, 519.6, 14.119097], [15.0954, 520.2, 14.098613], [14.9918, 519.2, 14.14679], [15.0886, 520.2, 14.108805], [16.6038, 516.4, 14.077994]]","[[1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]]"
0.8430253931650399,"[[0.652985138486978, 0.9136384587020651, 0.6773119831705794], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [0.6497947705663497, 0.9000459623904697, 0.7867383180968216], [0.5106463320463317, 0.9768298303834805, 0.8664380729274868], [0.6496934890450599, 0.9011703101309442, 0.764155285684603], [0.6484821620504341, 0.9747234513274329, 0.8993128287970085], [0.6509736874741628, 0.15992088998763845, 0.20311473008849615], [0.651913579991732, 0.07996044499382492, 0.25124011905746174], [0.6496732327408019, 0.9684043141592923, 0.9238713858300429], [0.4276810810810846, 0.9789362094395282, 0.8847205402036151]]","[[15.708, 512.0, 13.920185], [15.3896, 519.4, 14.11732], [15.393, 510.0, 14.006595], [15.1314, 518.0, 14.069531], [15.383, 510.2, 13.988762], [15.2634, 517.8, 14.095491], [15.5094, 481.2, 13.235497], [15.6022, 480.8, 13.308076], [15.381, 517.2, 14.114884], [15.1042, 518.2, 14.083968]]","[[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]]"
1.3037719120785713,"[[0.6500520256304257, 0.9810425884955747, 0.999989869104507], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [1.0, 0.9852553466076688, 0.8773629773530018], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.652985138486978, 0.9136384587020651, 0.6773119831705794], [0.26015028447121813, 0.9873617256637164, 0.9106404363183034], [0.6496732327408019, 0.9684043141592923, 0.9238713858300429], [0.6487110582885489, 0.9705106932153388, 0.9267599574070218]]","[[15.4184, 518.4, 14.174992], [16.6186, 519.2, 14.11691], [16.7556, 516.8, 14.115469], [16.8008, 518.8, 14.078158], [14.837, 519.6, 14.119097], [16.743, 519.0, 14.148283], [15.708, 512.0, 13.920185], [14.8266, 519.0, 14.104436], [15.381, 517.2, 14.114884], [15.286, 517.4, 14.117165]]","[[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]]"
1.282882642874451,"[[0.3800980694980702, 1.0, 0.9161731716185326], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.29597675702811244, 0.9873617256637164, 0.9579428537294807], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [1.0, 0.9852553466076688, 0.8773629773530018], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.976426366265795, 0.964191556047197, 0.9246122075628487], [0.9222904551682157, 0.9936808628318582, 0.9126311572823584], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288], [0.35813667953668266, 0.9936808628318582, 0.8981743694161644]]","[[15.0886, 520.2, 14.108805], [16.783, 518.6, 14.146937], [14.95, 519.0, 14.141789], [16.6626, 519.8, 14.10719], [16.8008, 518.8, 14.078158], [14.837, 519.6, 14.119097], [16.7556, 516.8, 14.115469], [16.6518, 519.6, 14.106008], [16.6038, 516.4, 14.077994], [15.0814, 519.6, 14.094592]]","[[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]]"
1.2802700065351618,"[[0.4722138996139022, 1.0, 0.8887475711614359], [1.0, 0.9852553466076688, 0.8773629773530018], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282], [0.9126941086923444, 0.9894681047197641, 0.9455894930396844], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.27913773427041505, 0.9873617256637164, 0.9572298919592757], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645], [0.8559504947480594, 0.9662979351032446, 0.9018062954498225], [0.3252418172690767, 0.9789362094395282, 0.7988725981716189]]","[[15.1188, 520.2, 14.087148], [16.8008, 518.8, 14.078158], [14.9918, 519.2, 14.14679], [16.6334, 519.2, 14.132034], [16.783, 518.6, 14.146937], [16.6186, 519.2, 14.11691], [14.892, 519.0, 14.141226], [16.6532, 517.2, 14.056574], [16.5246, 517.0, 14.09746], [15.0508, 518.2, 14.016177]]","[[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]]"
1.179559299884562,"[[0.4008393822393833, 1.0, 0.9032664107625177], [0.6493714138073584, 0.9915744837758106, 0.9553518772075611], [0.4770942084942106, 1.0, 0.8586866715146464], [0.29597675702811244, 0.9873617256637164, 0.9579428537294807], [0.26316969544846064, 0.9936808628318582, 0.9292065686681894], [0.45208262548262623, 0.9957872418879047, 0.9145990837315592], [0.9258369310397326, 0.9936808628318582, 0.9070895574485764], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.4722138996139022, 1.0, 0.8887475711614359], [0.8172521845029683, 0.8989216146499952, 0.7458740847704125]]","[[15.0954, 520.2, 14.098613], [15.3512, 519.4, 14.139743], [15.1204, 520.2, 14.06341], [14.95, 519.0, 14.141789], [14.837, 519.6, 14.119097], [15.1122, 519.8, 14.107562], [16.6586, 519.6, 14.101632], [16.6186, 519.2, 14.11691], [15.1188, 520.2, 14.087148], [16.4504, 509.8, 13.974326]]","[[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]]"
1.2722974076702656,"[[0.9222904551682157, 0.9936808628318582, 0.9126311572823584], [0.4722138996139022, 1.0, 0.8887475711614359], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.9907165778657343, 0.9831489675516223, 0.9644620849781824], [0.4008393822393833, 1.0, 0.9032664107625177], [0.30811246653279795, 0.9894681047197641, 0.9642759297735282], [0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [0.9230206119652913, 0.9684043141592923, 0.8500298213172645], [0.29597675702811244, 0.9873617256637164, 0.9579428537294807], [0.8972565078398543, 0.9599787979351028, 0.8771552939954288]]","[[16.6518, 519.6, 14.106008], [15.1188, 520.2, 14.087148], [16.6186, 519.2, 14.11691], [16.783, 518.6, 14.146937], [15.0954, 520.2, 14.098613], [14.9918, 519.2, 14.14679], [15.3896, 519.4, 14.11732], [16.6532, 517.2, 14.056574], [14.95, 519.0, 14.141789], [16.6038, 516.4, 14.077994]]","[[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]]"
1.2524637512510972,"[[0.6497603348491112, 0.9915744837758106, 0.9269562435071665], [0.4008393822393833, 1.0, 0.9032664107625177], [0.9698549550920992, 0.9873617256637164, 0.9661666081446065], [0.5167467181467198, 0.9915744837758106, 0.9673924464990635], [0.9049753082660994, 0.9894681047197641, 0.9264370351132352], [0.4722138996139022, 1.0, 0.8887475711614359], [0.9279230933170968, 0.9957872418879047, 0.9141279970912095], [0.6496732327408019, 0.9684043141592923, 0.9238713858300429], [0.2638664825970549, 0.9747234513274329, 0.9317088998545608], [0.9222904551682157, 0.9936808628318582, 0.9126311572823584]]","[[15.3896, 519.4, 14.11732], [15.0954, 520.2, 14.098613], [16.743, 519.0, 14.148283], [15.1334, 519.4, 14.149251], [16.6186, 519.2, 14.11691], [15.1188, 520.2, 14.087148], [16.6626, 519.8, 14.10719], [15.381, 517.2, 14.114884], [14.8394, 517.8, 14.121073], [16.6518, 519.6, 14.106008]]","[[1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1]]"
