run,budget,hv
1,10,0.0010000000000000002
1,20,0.0010000000000000002
1,30,0.0010000000000000002
1,40,0.0010000000000000002
1,50,0.0010000000000000002
1,60,0.0010000000000000002
1,70,0.013337057700564623
1,80,0.013337057700564623
1,90,0.013337057700564623
1,100,0.013337057700564623
1,110,0.013337057700564623
1,120,0.013337057700564623
1,130,0.014271624519224741
1,140,0.014271624519224741
1,150,0.014271624519224741
1,160,0.014271624519224741
1,170,0.022746498305632582
1,180,0.022746498305632582
1,190,0.022746498305632582
1,200,0.022746498305632582
1,210,0.022746498305632582
1,220,0.022746498305632582
1,230,0.022746498305632582
1,240,0.022746498305632582
1,250,0.022746498305632582
1,260,0.022746498305632582
1,270,0.022746498305632582
1,280,0.022746498305632582
1,290,0.02753019244803874
1,300,0.02753019244803874
2,10,0.0010000000000000002
2,20,0.0010000000000000002
2,30,0.0010000000000000002
2,40,0.0010000000000000002
2,50,0.0010000000000000002
2,60,0.0010000000000000002
2,70,0.011000000000000003
2,80,0.011000000000000003
2,90,0.011000000000000003
2,100,0.011000000000000003
2,110,0.011000000000000003
2,120,0.011000000000000003
2,130,0.012525126213592162
2,140,0.012525126213592162
2,150,0.012525126213592162
2,160,0.012525126213592162
2,170,0.012525126213592162
2,180,0.012525126213592162
2,190,0.021000000000000005
2,200,0.021000000000000005
2,210,0.021000000000000005
2,220,0.021000000000000005
2,230,0.02753019244803874
2,240,0.02753019244803874
2,250,0.02753019244803874
2,260,0.02753019244803874
2,270,0.02753019244803874
2,280,0.02753019244803874
2,290,0.02753019244803874
2,300,0.02753019244803874
3,10,0.011000000000000003
3,20,0.015187277446509993
3,30,0.015187277446509993
3,40,0.015187277446509993
3,50,0.015187277446509993
3,60,0.015187277446509993
3,70,0.016089687127323744
3,80,0.016089687127323744
3,90,0.016089687127323744
3,100,0.016089687127323744
3,110,0.016089687127323744
3,120,0.016089687127323744
3,130,0.016089687127323744
3,140,0.016089687127323744
3,150,0.016089687127323744
3,160,0.016089687127323744
3,170,0.016089687127323744
3,180,0.016089687127323744
3,190,0.016089687127323744
3,200,0.016089687127323744
3,210,0.016089687127323744
3,220,0.016089687127323744
3,230,0.016089687127323744
3,240,0.016089687127323744
3,250,0.016089687127323744
3,260,0.016089687127323744
3,270,0.016089687127323744
3,280,0.016089687127323744
3,290,0.016089687127323744
3,300,0.016089687127323744
4,10,0.0010000000000000002
4,20,0.0010000000000000002
4,30,0.014271624519224741
4,40,0.014271624519224741
4,50,0.014271624519224741
4,60,0.014271624519224741
4,70,0.014271624519224741
4,80,0.014271624519224741
4,90,0.014271624519224741
4,100,0.014271624519224741
4,110,0.014271624519224741
4,120,0.022746498305632582
4,130,0.022746498305632582
4,140,0.022746498305632582
4,150,0.022746498305632582
4,160,0.022746498305632582
4,170,0.022746498305632582
4,180,0.022746498305632582
4,190,0.022746498305632582
4,200,0.022746498305632582
4,210,0.022746498305632582
4,220,0.022746498305632582
4,230,0.022746498305632582
4,240,0.023021843798442125
4,250,0.023021843798442125
4,260,0.023021843798442125
4,270,0.023021843798442125
4,280,0.023021843798442125
4,290,0.023021843798442125
4,300,0.023021843798442125
5,10,0.0010000000000000002
5,20,0.0010000000000000002
5,30,0.0036140383824537375
5,40,0.0036140383824537375
5,50,0.0036140383824537375
5,60,0.0036140383824537375
5,70,0.0036140383824537375
5,80,0.0036140383824537375
5,90,0.0036140383824537375
5,100,0.0036140383824537375
5,110,0.0036140383824537375
5,120,0.0036140383824537375
5,130,0.0036140383824537375
5,140,0.0036140383824537375
