HV,front_sat,front_raw,front_variables
mean:0.21730444173350352,,,
0.21733991109236828,"[[0.0, 0.8839250391805767, 0.975668411461188], [0.9925624952891414, 0.9911198452841906, 0.0], [0.0, 0.8967293895636985, 0.0], [0.0, 0.8849509067923834, 0.2017964096469825], [0.08316732913783972, 0.8975056268640315, 0.0], [0.0, 0.8854306290568974, 0.0], [0.9924479602618169, 0.995342576198002, 0.0], [0.0, 0.8831058211596375, 0.9864020639966731], [0.9980438144539516, 0.9810287603798616, 0.0], [0.3965620649639615, 0.9088386914488932, 0.0]]","[[22043.6, 1336.8, 84.331818], [60726.8, 2159.8, 26.785831], [33703.8, 1551.8, 48.815294], [26037.2, 1392.4, 66.770513], [36240.6, 1556.8, 44.009294], [29528.6, 1418.4, 55.925609], [60714.2, 2187.0, 26.374831], [22249.8, 1292.4, 84.468696], [61329.8, 2094.8, 26.338557], [46576.0, 1629.8, 27.160241]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 15, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 0, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 0, 5, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 5, 3], [1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 6]]"
0.21523321202842877,"[[0.0, 0.8829655946515489, 0.9698227669583623], [0.9877174818316888, 0.9934796066772028, 0.0], [0.0, 0.8954874098831657, 0.0], [0.0, 0.884497015726728, 0.20580673127287055], [0.06844504997899097, 0.8970088349918184, 0.0], [0.0, 0.8854933619684107, 0.0], [0.0, 0.8835634023965585, 0.2059736524180237], [0.4029836388225836, 0.9186813804171156, 0.0], [0.0, 0.8916993718575407, 0.0], [0.0, 0.882718353176761, 0.9793041678731403]]","[[21765.8, 1284.8, 84.257273], [60193.8, 2175.0, 26.819667], [33565.8, 1543.8, 49.02], [25876.8, 1367.8, 66.848547], [36077.6, 1553.6, 43.850429], [29698.0, 1421.8, 56.265333], [26299.8, 1317.2, 66.851795], [48108.8, 1693.2, 26.975417], [34041.0, 1519.4, 48.803529], [21689.8, 1271.4, 84.378182]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 5, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0], [1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 1, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 1, 4, 2, 0, 0], [1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0]]"
0.21712010567453277,"[[0.0, 0.8824415903318491, 0.9614208635581851], [0.9971893467897855, 0.9920823795366035, 0.0], [0.0, 0.8967293895636985, 0.0], [0.0, 0.884474874699135, 0.21734721111071237], [0.0628090363623518, 0.9002379821612037, 0.0], [0.0, 0.8854749111120832, 0.0], [0.0, 0.8816740347086268, 0.989868516679582], [0.39693995246529745, 0.9079382561805069, 0.0], [0.08369118937784811, 0.8958600037873256, 0.0], [0.0, 0.8848734131958081, 0.18018541472339786]]","[[21663.6, 1256.4, 84.15013], [61235.8, 2166.0, 26.622453], [33703.8, 1551.8, 48.815294], [26369.8, 1366.6, 67.073105], [36015.2, 1574.4, 43.248556], [29602.2, 1420.8, 56.442], [21633.8, 1214.8, 84.512901], [46666.2, 1624.0, 27.098224], [36246.4, 1546.2, 44.011742], [25659.2, 1388.2, 66.35]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 0, 5, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 4, 2, 15, 3], [1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 3], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 15, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 0, 5, 3], [1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 15, 3], [1, 1, 1, 0, 0, 0, 1, 0, 1, 4, 0, 5, 3]]"
0.21777278606338923,"[[0.0, 0.884279295622064, 0.9932922317375118], [0.9962730665711904, 0.9945352894056557, 0.0], [0.0, 0.8920719657617006, 0.0], [0.0, 0.8848918640521356, 0.2307076864640885], [0.08130672207850069, 0.8871971955156094, 0.0], [0.0, 0.8854933619684107, 0.0], [0.4031671363010593, 0.9165700149602098, 0.0], [0.0, 0.8845634388095068, 0.2210588939513528], [0.013620366240210608, 0.8929724010300868, 0.0], [0.0, 0.8837220797609747, 0.9831878809276302]]","[[22278.4, 1356.0, 84.556561], [61135.0, 2181.8, 26.773157], [33880.4, 1521.8, 48.571123], [26069.6, 1389.2, 67.333077], [36220.0, 1490.4, 44.097883], [29698.0, 1421.8, 56.265333], [48152.6, 1679.6, 27.04375], [26395.8, 1371.4, 67.145328], [35470.6, 1527.6, 43.53591], [22391.8, 1325.8, 84.427708]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 15, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 6], [1, 1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 1, 0, 0], [1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 5, 3]]"
0.21672079664263016,"[[0.0, 0.8841390691139752, 0.970637918539379], [0.9881228994680911, 0.9993790101597336, 0.0], [0.0, 0.8936554898543798, 0.0], [0.0, 0.8850800627866756, 0.2210105340998777], [0.09339163589110196, 0.89318974747418, 0.0], [0.0, 0.8845781994945687, 0.0], [0.9765694058387813, 0.9763402870858503, 0.0], [0.0, 0.8831058211596375, 0.9864020639966731], [0.3965620649639615, 0.9088386914488932, 0.0], [0.0, 0.8945248756307528, 0.0]]","[[22356.2, 1348.4, 84.267668], [60238.4, 2213.0, 26.430274], [33664.0, 1532.0, 48.914706], [26174.2, 1399.4, 67.144387], [36353.8, 1529.0, 43.946577], [29682.6, 1372.2, 56.482], [58967.4, 2064.6, 26.871186], [22249.8, 1292.4, 84.468696], [46576.0, 1629.8, 27.160241], [33594.6, 1537.6, 48.24754]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 5, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 1, 5, 6], [1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 3], [1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 5, 0]]"
0.21642879095901124,"[[0.0, 0.8842054921967542, 0.9862377789979019], [0.982005274595923, 0.9890395293192982, 0.0], [0.0, 0.9030634859344158, 0.0], [0.0, 0.8846151012072236, 0.21303676033220936], [0.08582275863029479, 0.8889049175763419, 0.0], [0.0, 0.8853789666591805, 0.0], [0.9871884390864285, 0.9929517653129765, 0.0], [0.8270552273537226, 0.9602566502229507, 0.0], [0.9920552687395618, 0.9880769950668852, 0.0], [0.0, 0.8971330329598717, 0.0]]","[[22304.8, 1352.0, 84.466601], [59565.4, 2146.4, 26.719717], [33723.0, 1592.6, 48.358592], [26126.2, 1374.2, 66.989231], [36270.0, 1501.4, 43.911201], [29626.4, 1415.6, 56.183356], [60135.6, 2171.6, 26.168334], [53532.8, 1961.0, 26.947037], [60671.0, 2140.2, 25.88971], [33706.2, 1554.4, 48.782941]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 15, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 15, 6], [1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 3, 0, 5, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 15, 3], [0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3]]"
0.21759634411747153,"[[0.0, 0.8831058211596375, 0.9864020639966731], [0.988033816669061, 0.9982301789552408, 0.0], [0.0, 0.8936554898543798, 0.0], [0.0, 0.8849509067923834, 0.2017964096469825], [0.08316732913783972, 0.8975056268640315, 0.0], [0.0, 0.8851907679246404, 0.0], [0.9980292703234978, 0.9935106561692162, 0.0], [0.9875265901194815, 0.979600483747249, 0.0], [0.3962964544585879, 0.9184640339730223, 0.0], [0.0, 0.8840209836334795, 0.21467950491497467]]","[[22249.8, 1292.4, 84.468696], [60228.6, 2205.6, 26.627334], [33664.0, 1532.0, 48.914706], [26037.2, 1392.4, 66.770513], [36240.6, 1556.8, 44.009294], [29608.2, 1405.4, 56.522], [61328.2, 2175.2, 26.54111], [60172.8, 2085.6, 26.772], [46512.6, 1691.8, 27.070398], [26193.2, 1342.0, 67.021196]]","[[0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 5, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 0, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 5, 6], [1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0], [1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 3, 1, 5, 3]]"
0.21664253742245748,"[[0.0, 0.8838918276391873, 0.9711059935549713], [0.9888973744147608, 0.9904057069678842, 0.0], [0.0, 0.8942454302026329, 0.0], [0.0, 0.884685214461268, 0.22204135439836406], [0.08260734060541752, 0.891047332525261, 0.0], [0.0, 0.8853346846039946, 0.0], [0.0, 0.8967293895636985, 0.0], [0.9925388610771537, 0.991740835124457, 0.0], [0.3965620649639615, 0.9088386914488932, 0.0], [0.0, 0.8833788938332839, 0.9894271820862234]]","[[22075.2, 1335.0, 84.273637], [60323.6, 2155.2, 26.799994], [34084.6, 1535.8, 48.827647], [26441.8, 1378.0, 67.164445], [36234.4, 1515.2, 43.843483], [29513.2, 1413.2, 56.220207], [33703.8, 1551.8, 48.815294], [60724.2, 2163.8, 26.590803], [46576.0, 1629.8, 27.160241], [21974.2, 1307.2, 84.507273]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 2, 15, 0], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 3], [0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 15, 3], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 15, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 15, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 15, 0], [1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 2, 5, 0]]"
0.21760456601877387,"[[0.0, 0.8840578853461345, 0.9823788459241336], [0.9962730665711904, 0.9945352894056557, 0.0], [0.0, 0.8952390139470592, 0.0], [0.0, 0.8846741439474716, 0.22837526153404636], [0.08316732913783972, 0.8975056268640315, 0.0], [0.0, 0.8851907679246404, 0.0], [0.9923552414301734, 0.9998758020319467, 0.0], [0.7925548308351971, 0.9575242949257786, 0.0], [0.9994455050264454, 0.9855930357058196, 0.0], [0.0, 0.8844010712738252, 0.19700564944033894]]","[[22373.8, 1344.0, 84.417391], [61135.0, 2181.8, 26.773157], [33928.8, 1542.2, 48.7259], [26022.2, 1377.4, 67.287692], [36240.6, 1556.8, 44.009294], [29608.2, 1405.4, 56.522], [60704.0, 2216.2, 26.321361], [53403.4, 1943.4, 26.93144], [61484.0, 2124.2, 26.654669], [26394.0, 1362.6, 66.677293]]","[[0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 3], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 2, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 5, 6], [1, 1, 1, 0, 0, 1, 1, 0, 0, 3, 1, 5, 6], [0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 6], [0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 15, 0], [1, 1, 1, 0, 0, 1, 1, 0, 0, 4, 2, 15, 3]]"
