0.0979, [[0.0, 0.8786910513476192], [0.0, 0.4310691984552675], [0.0, 0.36145054065651216], [0.0, 0.506005655903767], [0.0, 0.18336437803046565], [0.0, 0.41643148423085213], [0.0, 0.2244782278481012], [0.0, 0.4780996517885407], [0.0, 0.38268971679897024], [0.0, 0.12626155417292434]]
0.3952, [[0.2752, 0.952009065207385], [0.0, 0.9558150243440904], [0.21772394631176473, 0.9495247227535417], [0.0, 0.9566259412366389], [0.0, 0.9449719322354626], [0.0, 0.9246653503298726], [0.0, 0.9349601144581394], [0.0, 0.9248045452360252], [0.0, 0.9335467055694777], [0.0, 0.9371330689408275]]
0.1002, [[0.0, 0.9018026972331611], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6121882663847782], [0.0, 0.6013], [0.0, 0.6346688794926002], [0.0, 0.6373597674418606], [0.0, 0.5927064893953782], [0.0, 0.6013]]
0.5150, [[0.36830016562458323, 0.9996335661023883], [0.27838880544370126, 0.9694237149286554], [0.2752, 0.9893970815731602], [0.2752, 0.9729205643635247], [0.2752, 0.9511386928348591], [0.2752, 0.9875072939190918], [0.2752, 0.9666753872040097], [0.2752, 0.9587554616171432], [0.2752, 0.972651287628497], [0.2752, 0.9665619146933975]]
0.5150, [[0.36830016562458323, 0.9996335661023883], [0.3134389967006548, 0.9835786757019382], [0.3134389967006548, 0.9835786757019382], [0.2752, 0.974803590702194], [0.2752, 0.9893970815731602], [0.2752, 0.9875072939190918], [0.2752, 0.9855463654682145], [0.2752, 0.9635493812202731], [0.2752, 0.9828877721577252], [0.2752, 0.9664281582365877]]
0.4032, [[0.2752, 0.9746410251623792], [0.2752, 0.9732468713240935], [0.2752, 0.955104718764384], [0.0, 0.9607313825499922], [0.2752, 0.9283407131897918], [0.2752, 0.9422890863806066], [0.0, 0.9444742406280366], [0.0, 0.9366166367309363], [0.0, 0.9413699149491126], [0.0, 0.9219425245230911]]
0.3996, [[0.2752, 0.965032828517363], [0.0, 0.952773902265637], [0.0, 0.8948169355597605], [0.0, 0.8049359196617336], [0.0, 0.7611434883720931], [0.0, 0.6863025158562366], [0.0, 0.6921597885835092], [0.0, 0.6839067019027485], [0.0, 0.6626534672304439], [0.0, 0.6470939746300208]]
0.5303, [[0.3835393792145618, 0.9930717830000512], [0.2752, 0.9977962521352223], [0.2752, 0.9977962521352223], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9846200652585281], [0.2752, 0.9829403193371862], [0.2752, 0.9834652766838848], [0.2752, 0.9821680595305069], [0.23849779783006006, 0.9717715817010177], [0.2752, 0.9647809695187439]]
0.4505, [[0.2752, 0.9746410251623792], [0.31953468213664066, 0.9667414570142688], [0.2752, 0.9667809960108423], [0.2752, 0.9631803015905487], [0.2752, 0.9433694269933002], [0.0, 0.9656478142484529], [0.2752, 0.9496874352784738], [0.0, 0.9606807461770572], [0.2752, 0.9294654433079321], [0.0, 0.9582985583797883]]
0.4076, [[0.2752, 0.9309485231422289], [0.2752, 0.986265563647522], [0.0, 0.949226048995039], [0.0, 0.9482854177364087], [0.0, 0.7580892389006338], [0.0, 0.9398307602925382], [0.0, 0.5827186356441911], [0.0, 0.9308737077174858], [0.0, 0.9061896885388431], [0.0, 0.9069314489336674]]
0.4065, [[0.2752, 0.9834262521352222], [0.2752, 0.9715344212141359], [0.0, 0.9707628963330435], [0.2752, 0.9600354080192297], [0.0, 0.9608064919449701], [0.0, 0.9392490666905333], [0.2752, 0.9385348660052166], [0.0, 0.9345618582826165], [0.0, 0.9364045372065667], [0.0, 0.9354583940060348]]
