mean:0.013055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0054, [[0.0,0.0, 0.4428009396294958], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.36942695437704326], [0.0,0.0, 0.36862358597893163], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0088, [[0.0,0.0, 0.782969964618155], [0.0,0.0, 0.43581717428260175], [0.0,0.0, 0.41332537718852175], [0.0,0.0, 0.3958926770795491], [0.0,0.0, 0.3869657411551039], [0.0,0.0, 0.3781871513984745], [0.0,0.0, 0.353569570141664], [0.0,0.0, 0.31592128339992814], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0089, [[0.0,0.0, 0.7879103268699115], [0.0,0.0, 0.787845773454739], [0.0,0.0, 0.7836873505465798], [0.0,0.0, 0.7836140153955411], [0.0,0.0, 0.7815097357141045], [0.0,0.0, 0.7811743053618079], [0.0,0.0, 0.780862590356862], [0.0,0.0, 0.7805295701549699], [0.0,0.0, 0.7804244383290638], [0.0,0.0, 0.7803850676566819]]
0.0054, [[0.0,0.0, 0.4433061924446067], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.19081827780603047], [0.0,0.0, 0.0]]
0.0088, [[0.0,0.0, 0.7840200485073681], [0.0,0.0, 0.7838816033428868], [0.0,0.0, 0.7835962934664062], [0.0,0.0, 0.7836747192279402], [0.0,0.0, 0.0], [0.0,0.0, 0.18656583363603385], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.1549259498728662], [0.0,0.0, 0.0]]
0.0057, [[0.0,0.0, 0.4671530699624334], [0.0,0.0, 0.45113821322193937], [0.0,0.0, 0.0], [0.0,0.0, 0.28247081002542773], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0088, [[0.0,0.0, 0.7841395959621579], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0089, [[0.0,0.0, 0.7904770238668932], [0.0,0.0, 0.46215196493711613], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0046, [[0.0,0.0, 0.358509223828551], [0.0,0.0, 0.13550760072648033], [0.0,0.0, 0.09610193192880527], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0052, [[0.0,0.0, 0.4241174240464945], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0089, [[0.0,0.0, 0.790778706787227], [0.0,0.0, 0.7834122232226647], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
