mean:0.105468,,,,,,,,,,,,,,,,,,,,
0.0715, [[0.0, 0.6145046276009289], [0.0, 0.6146160848248844], [0.0, 0.6100338601656149], [0.0, 0.0], [0.0, 0.6132724354312792], [0.0, 0.6136508771024419], [0.0, 0.6138655925543643], [0.0, 0.612701641957353], [0.0, 0.6137709344577634], [0.0, 0.6126179081141945]]
0.0713, [[0.0, 0.6134395730605925], [0.0, 0.6134012129067067], [0.0, 0.6116982767599521], [0.0, 0.6110359125243379], [0.0, 0.610786800065683], [0.0, 0.6106168907316615], [0.0, 0.6100427643153721], [0.0, 0.6100427643153721], [0.0, 0.6096769876140655], [0.0, 0.6088629083487767]]
0.074, [[0.0, 0.6403821397066818], [0.0, 0.614833233127683], [0.0, 0.6117271764526496], [0.0, 0.6113891199652818], [0.0, 0.3616570562595033], [0.0, 0.13219026135178197], [0.0, 0.2496618683657953], [0.0, 0.3536116488306423], [0.0, 0.18041130302531158], [0.0, 0.6107953956226981]]
0.0754, [[0.0, 0.6537444816947318], [0.0, 0.12196580695107909], [0.0, 0.0], [0.0, 0.0], [0.0, 0.04512150035688782], [0.0, 0.6136522012010602], [0.0, 0.1281811943117553], [0.0, 0.6134156397053648], [0.0, 0.13128250513369596], [0.0, 0.613353059771517]]
0.0976, [[0.0, 0.8755500156436729], [0.0, 0.6398435033134168], [0.0, 0.6097706745408055], [0.0, 0.6134012129067067], [0.0, 0.6149544981116142], [0.0, 0.6097149505031786], [0.0, 0.29669159901527775], [0.0, 0.6107642647024326], [0.0, 0.6068229210162096], [0.0, 0.6067441042482816]]
0.0713, [[0.0, 0.6126209078326961], [0.0, 0.6130417783668395], [0.0, 0.6128035138051561], [0.0, 0.5613789292592862], [0.0, 0.6121990446644303], [0.0, 0.6125492770179924], [0.0, 0.6116312122029604], [0.0, 0.6105370827371038], [0.0, 0.6116903627812053], [0.0, 0.6108768926083182]]
0.0715, [[0.0, 0.6151101696028525], [0.0, 0.6146160848248844], [0.0, 0.6133943242862839], [0.0, 0.6097962567735579], [0.0, 0.6140687943653381], [0.0, 0.6130737660981961], [0.0, 0.6132815014426798], [0.0, 0.6129787628140467], [0.0, 0.6103690661286917], [0.0, 0.6087166417227708]]
0.0713, [[0.0, 0.6114444182364118], [0.0, 0.6133358229139787], [0.0, 0.6097706745408055], [0.0, 0.6112367198386075], [0.0, 0.6120114663726571], [0.0, 0.6097180501536512], [0.0, 0.6099610681695559], [0.0, 0.6102217104553238], [0.0, 0.6115782345351756], [0.0, 0.6097149505031786]]
0.0714, [[0.0, 0.6139708842571958], [0.0, 0.08487103541426444], [0.0, 0.0], [0.0, 0.0], [0.0, 0.08329832438368219], [0.0, 0.05198503222972601], [0.0, 0.047144044912974165], [0.0, 0.04824404524240925], [0.0, 0.6081140646039082], [0.0, 0.04669585449953321]]
0.1028, [[0.0, 0.9284844706137971], [0.0, 0.6145046276009289], [0.0, 0.6147744076802176], [0.0, 0.6149677654882826], [0.0, 0.6146604521569823], [0.0, 0.06236204326579933], [0.0, 0.6148614825588214], [0.0, 0.651445609994569], [0.0, 0.05260347433152132], [0.0, 0.6101390526402214]]
0.0975, [[0.0, 0.8754035993481811], [0.0, 0.0], [0.0, 0.0], [0.0, 0.7410390057577404], [0.0, 0.0], [0.0, 0.7383203237371005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.7365392912547536], [0.0, 0.0]]
0.1688, [[0.0, 0.0], [0.0, 0.9452303771863121], [0.0, 0.6065941675854465], [0.0, 0.0], [0.5640979382268928, 0.0], [0.4697864701407158, 0.0], [0.0, 0.0], [0.6427, 0.0], [0.1266917735088343, 0.0], [0.6427, 0.0]]
0.0713, [[0.0, 0.6125105787140209], [0.0, 0.6068229210162096], [0.0, 0.6098549558985666], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.6124057050364775], [0.0, 0.6097543997044266], [0.0, 0.6084093058715897], [0.0, 0.6094299117971334]]
0.1082, [[0.0, 0.614262639165826], [0.36736863378060963, 0.0], [0.0, 0.0], [0.0, 0.07326459737550098], [0.0, 0.6141338229843534], [0.0, 0.1371161849228574], [0.0, 0.6136923098125688], [0.0, 0.15289524284851488], [0.0, 0.6136559627249055], [0.0, 0.36598813988849466]]
0.1634, [[0.0, 1.0], [0.5341732066719027, 0.0], [0.0, 0.9655578917979366], [0.0, 0.0], [0.0, 0.9398916690928842], [0.0, 0.0], [0.0, 0.9284844706137971], [0.0, 0.0], [0.0, 0.6067887551901288], [0.0, 0.6067461021839592]]
0.0714, [[0.0, 0.6140082454432428], [0.0, 0.6139274887987051], [0.0, 0.6098399214149991], [0.0, 0.6120488469117267], [0.0, 0.6069473053555091], [0.0, 0.6065164704778436], [0.0, 0.61157940345774], [0.0, 0.6069357037462759], [0.0, 0.0], [0.0, 0.0]]
0.0714, [[0.0, 0.08156913852742544], [0.0, 0.61357523211898], [0.0, 0.15939236073134558], [0.0, 0.1540129382309339], [0.0, 0.12180705704716412], [0.0, 0.18041130302531158], [0.0, 0.10570771866249375], [0.0, 0.10927883314116289], [0.0, 0.1071331815736013], [0.0, 0.11471551177730184]]
0.0713, [[0.0, 0.6131085716296417], [0.0, 0.6108268449881535], [0.0, 0.6098352626146519], [0.0, 0.6100381266274132], [0.0, 0.6081469731872668], [0.0, 0.6099183602711769], [0.0, 0.6080489490722278], [0.0, 0.6080489490722278], [0.0, 0.4601143526174788], [0.0, 0.6000434769757677]]
0.1005, [[0.0, 0.9054451715372079], [0.0, 0.6812872575774048], [0.0, 0.7442438609451396], [0.0, 0.0], [0.0, 0.6731908858229233], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.10810021621918402], [0.0, 0.0]]
0.1356, [[0.6427, 0.0], [0.0, 0.613353059771517], [0.0, 0.6065151703065987], [0.6337944765903829, 0.0], [0.0, 0.612479316896948], [0.6139424119327137, 0.0], [0.0, 0.6115404482863778], [0.0, 0.0], [0.0, 0.611494760374393], [0.0, 0.6114004780783034]]
0.0714, [[0.0, 0.6136147330455792], [0.0, 0.6081156789978652], [0.0, 0.08059237160270133], [0.0, 0.24830047932807178], [0.0, 0.14572166836874767], [0.0, 0.12207994004282642], [0.0, 0.2478232810078922], [0.0, 0.13501527656069828], [0.0, 0.23818253565998126], [0.0, 0.6060146589176382]]
0.1254, [[0.0, 0.6140986866921578], [0.5403092993842759, 0.0], [0.0, 0.6136923098125688], [0.5399483527541284, 0.0], [0.0, 0.6134395730605925], [0.5341732066719027, 0.0], [0.0, 0.6131395378732787], [0.25382941341292936, 0.0], [0.0, 0.0], [0.0, 0.6126403766215487]]
0.0713, [[0.0, 0.6129292419479697], [0.0, 0.12200941261736134], [0.0, 0.0], [0.0, 0.612875181214666], [0.0, 0.4469519910216494], [0.0, 0.6060364743484482], [0.0, 0.6119608325318445], [0.0, 0.6046161134438996], [0.0, 0.6119181826925332], [0.0, 0.6115039650238101]]
0.1357, [[0.6427, 0.0], [0.0, 0.614262639165826], [0.5640979382268928, 0.0], [0.0, 0.6141433615613784], [0.5218480032167655, 0.0], [0.0, 0.6138727415609092], [0.3499788333324831, 0.0], [0.0, 0.6137709344577634], [0.30321846875543024, 0.0], [0.0, 0.6137327847240142]]
0.1095, [[0.0, 0.9951151719717548], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.9824116510592071], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1074, [[0.0, 0.9740177438348735], [0.0, 0.9167305131993481], [0.0, 0.6067363827441413], [0.0, 0.0], [0.0, 0.6142094018156654], [0.0, 0.0], [0.0, 0.03919428957338163], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
