HV,front
mean:0.401585,
0.4141098350391532,"[[1.0, 0.0], [0.21362776814508083, 0.7993964347826111], [0.2135297911407693, 0.8121839130434777], [0.21469690863907212, 0.6073640896358501], [0.2141500138075566, 0.6591617582205009], [0.21368257467735913, 0.7950984347826067], [0.21401120731374632, 0.7210081450676974], [0.21259236534055737, 0.9678852173913088], [0.2127127193838016, 0.8580886956521778], [0.21413335152010518, 0.7157546866537702]]"
0.4189428029497127,"[[1.0, 0.0], [0.21368257467735913, 0.7950984347826067], [0.21469690863907212, 0.6073640896358501], [0.2141500138075566, 0.6591617582205009], [0.21401120731374632, 0.7210081450676974], [0.17594543540621374, 1.0], [0.2127127193838016, 0.8580886956521778], [0.21413335152010518, 0.7157546866537702], [0.21362776814508083, 0.7993964347826111], [0.2131881453955874, 0.8103213043478311]]"
0.42296683900958637,"[[1.0, 0.0], [0.21469690863907212, 0.6073640896358501], [0.21362776814508083, 0.7993964347826111], [0.2135297911407693, 0.8121839130434777], [0.17594543540621374, 1.0], [0.21259236534055737, 0.9678852173913088], [0.2127127193838016, 0.8580886956521778], [0.21413335152010518, 0.7157546866537702], [0.21401120731374632, 0.7210081450676974], [0.29154172590683275, 0.0]]"
0.41863235738018806,"[[1.0, 0.0], [0.17594543540621374, 1.0], [0.2127127193838016, 0.8580886956521778], [0.2131881453955874, 0.8103213043478311], [0.21362776814508083, 0.7993964347826111], [0.21368257467735913, 0.7950984347826067], [0.21413335152010518, 0.7157546866537702], [0.2141500138075566, 0.6591617582205009], [0.17611449298641368, 0.9967702608695711], [0.991757853809673, 0.0]]"
0.11000000000000001,"[[1.0, 0.0], [0.9982648768863344, 0.0], [0.9964606228804878, 0.0], [0.9946009396007298, 0.0], [0.991757853809673, 0.0], [0.21964416211117127, 0.0], [0.2194537851491745, 0.0], [0.219329850779701, 0.0], [0.1766964521515055, 0.0], [0.1766615847377505, 0.0]]"
0.1094753525804193,"[[0.9947535258041929, 0.0], [0.9938990430647991, 0.0], [0.2186426347009705, 0.0], [0.11748577425650453, 0.0], [0.11704408911975712, 0.0], [0.114613172788778, 0.0], [0.11300135165542367, 0.0], [0.11151808067380929, 0.0], [0.11058032379765531, 0.0], [0.11021774644659403, 0.0]]"
0.42206172636490547,"[[0.17611449298641368, 0.9967702608695711], [0.21259236534055737, 0.9678852173913088], [1.0, 0.0], [0.2135297911407693, 0.8121839130434777], [0.21362776814508083, 0.7993964347826111], [0.21401120731374632, 0.7210081450676974], [0.21469690863907212, 0.6073640896358501], [0.21347526001820097, 0.7537424622823969], [0.21328130272997495, 0.7347402707930365]]"
0.4151132565156123,"[[1.0, 0.0], [0.21368257467735913, 0.7950984347826067], [0.2131881453955874, 0.8103213043478311], [0.17602001293007863, 0.9715489565217406], [0.2127127193838016, 0.8580886956521778], [0.21362776814508083, 0.7993964347826111], [0.21259236534055737, 0.9678852173913088], [0.21413335152010518, 0.7157546866537702], [0.21469690863907212, 0.6073640896358501], [0.2135525812942669, 0.7314652398452607]]"
0.4150172670364128,"[[0.9990022730696009, 0.0], [0.17602001293007863, 0.9715489565217406], [0.21259236534055737, 0.9678852173913088], [0.2141500138075566, 0.6591617582205009], [0.21469690863907212, 0.6073640896358501], [0.21362776814508083, 0.7993964347826111], [0.21401120731374632, 0.7210081450676974], [0.2127127193838016, 0.8580886956521778], [0.2135297911407693, 0.8121839130434777], [0.21413335152010518, 0.7157546866537702]]"
0.4220825714401953,"[[0.17594543540621374, 1.0], [0.9990022730696009, 0.0], [0.21259236534055737, 0.9678852173913088], [0.2127127193838016, 0.8580886956521778], [0.2135297911407693, 0.8121839130434777], [0.9964606228804878, 0.0], [0.17606477463717043, 0.8578841739130447], [0.9938990430647991, 0.0], [0.9926876954495516, 0.0], [0.991757853809673, 0.0]]"
0.41760023354557574,"[[0.17611449298641368, 0.9967702608695711], [0.2127127193838016, 0.8580886956521778], [0.9990022730696009, 0.0], [0.2131881453955874, 0.8103213043478311], [0.21413335152010518, 0.7157546866537702], [0.2141500138075566, 0.6591617582205009], [0.9907177764228022, 0.0], [0.17614955030982968, 0.7470297098646014], [0.9893376497824989, 0.0]]"
0.37978113678381187,"[[0.21401120731374632, 0.7210081450676974], [1.0, 0.0], [0.21368257467735913, 0.7950984347826067], [0.21469690863907212, 0.6073640896358501], [0.2131881453955874, 0.8103213043478311], [0.2127127193838016, 0.8580886956521778], [0.21413335152010518, 0.7157546866537702], [0.2141500138075566, 0.6591617582205009], [0.2131628765547003, 0.7540303230174097]]"
0.42223647162218486,"[[0.17594543540621374, 1.0], [0.21413335152010518, 0.7157546866537702], [0.2141500138075566, 0.6591617582205009], [0.9926876954495516, 0.0], [0.2135297911407693, 0.8121839130434777], [0.21362776814508083, 0.7993964347826111], [0.21401120731374632, 0.7210081450676974], [0.2127127193838016, 0.8580886956521778], [0.21259236534055737, 0.9678852173913088], [0.21469690863907212, 0.6073640896358501]]"
0.42189401140598415,"[[0.17611449298641368, 0.9967702608695711], [0.9982648768863344, 0.0], [0.21469690863907212, 0.6073640896358501], [0.2135297911407693, 0.8121839130434777], [0.2135525812942669, 0.7314652398452607], [0.21259236534055737, 0.9678852173913088], [0.21401120731374632, 0.7210081450676974], [0.21413335152010518, 0.7157546866537702], [0.9946009396007298, 0.0], [0.21350989278922605, 0.758080671179882]]"
0.41806982238178536,"[[1.0, 0.0], [0.21469690863907212, 0.6073640896358501], [0.2141500138075566, 0.6591617582205009], [0.2127127193838016, 0.8580886956521778], [0.17611449298641368, 0.9967702608695711], [0.21401120731374632, 0.7210081450676974], [0.21362776814508083, 0.7993964347826111], [0.21368257467735913, 0.7950984347826067], [0.21413335152010518, 0.7157546866537702], [0.17616622437806329, 0.7572410773694371]]"
0.37944913554303056,"[[0.2131881453955874, 0.8103213043478311], [1.0, 0.0], [0.2141500138075566, 0.6591617582205009], [0.21362776814508083, 0.7993964347826111], [0.21368257467735913, 0.7950984347826067], [0.2127127193838016, 0.8580886956521778], [0.21413335152010518, 0.7157546866537702], [0.991757853809673, 0.0], [0.21989712592975214, 0.0], [0.21835724138904405, 0.0]]"
0.4111055832748191,"[[1.0, 0.0], [0.2127127193838016, 0.8580886956521778], [0.2135297911407693, 0.8121839130434777], [0.21362776814508083, 0.7993964347826111], [0.21368257467735913, 0.7950984347826067], [0.21401120731374632, 0.7210081450676974], [0.17602001293007863, 0.9715489565217406], [0.21413335152010518, 0.7157546866537702], [0.2141500138075566, 0.6591617582205009], [0.21469690863907212, 0.6073640896358501]]"
0.41400964124094886,"[[0.9990022730696009, 0.0], [0.21259236534055737, 0.9678852173913088], [0.21368257467735913, 0.7950984347826067], [0.2141500138075566, 0.6591617582205009], [0.21413335152010518, 0.7157546866537702], [0.21469690863907212, 0.6073640896358501], [0.2127127193838016, 0.8580886956521778], [0.21401120731374632, 0.7210081450676974], [0.2135297911407693, 0.8121839130434777], [0.8446591484637989, 0.0]]"
0.4226268888270333,"[[1.0, 0.0], [0.21259236534055737, 0.9678852173913088], [0.21362776814508083, 0.7993964347826111], [0.21413335152010518, 0.7157546866537702], [0.21368257467735913, 0.7950984347826067], [0.2127127193838016, 0.8580886956521778], [0.17594543540621374, 1.0], [0.2135297911407693, 0.8121839130434777], [0.21989712592975214, 0.0], [0.21964416211117127, 0.0]]"
0.41859979622190713,"[[1.0, 0.0], [0.21362776814508083, 0.7993964347826111], [0.21413335152010518, 0.7157546866537702], [0.2127127193838016, 0.8580886956521778], [0.17594543540621374, 1.0], [0.1760947043997401, 0.8975589565217394], [0.17602001293007863, 0.9715489565217406], [0.17606477463717043, 0.8578841739130447], [0.1761958312942093, 0.6821860038684711], [0.1762017754665978, 0.6377610348162451]]"
0.41862026154789017,"[[0.17594543540621374, 1.0], [1.0, 0.0], [0.17603968757095562, 0.9785033043478292], [0.21413335152010518, 0.7157546866537702], [0.2127127193838016, 0.8580886956521778], [0.21362776814508083, 0.7993964347826111], [0.2141500138075566, 0.6591617582205009], [0.21368257467735913, 0.7950984347826067], [0.2131881453955874, 0.8103213043478311], [0.2770728702377956, 0.0]]"
0.4222388057961509,"[[0.9926876954495516, 0.0], [0.17594543540621374, 1.0], [0.21259236534055737, 0.9678852173913088], [0.2127127193838016, 0.8580886956521778], [0.2135297911407693, 0.8121839130434777], [0.21368257467735913, 0.7950984347826067], [0.21469690863907212, 0.6073640896358501], [0.21362776814508083, 0.7993964347826111], [0.2141500138075566, 0.6591617582205009], [0.21413335152010518, 0.7157546866537702]]"
0.42263959842761445,"[[0.21259236534055737, 0.9678852173913088], [0.17594543540621374, 1.0], [0.2127127193838016, 0.8580886956521778], [0.2135297911407693, 0.8121839130434777], [0.21362776814508083, 0.7993964347826111], [0.21368257467735913, 0.7950984347826067], [1.0, 0.0], [0.21401120731374632, 0.7210081450676974], [0.21413335152010518, 0.7157546866537702], [0.2141500138075566, 0.6591617582205009]]"
