HV,front
mean:0.004325,
0.0025714573425504824,"[[0.0, 0.0029705590736384844, 0.04790762141670415], [0.0, 0.10141441650081419, 0.00650174862083842], [0.0, 0.0, 0.0042774661979200134], [0.0, 0.0, 0.0018820851270848077], [0.0, 0.0, 0.001710986479168007], [0.0, 0.0, 0.0008554932395840035], [0.0, 0.0, 0.0006843945916672028], [0.0, 0.0, 0.0006843945916672028], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0]]"
0.0029331962912489294,"[[0.0, 0.05822766057535729, 0.08537822531048347], [0.0, 0.0, 0.024638205300019284], [0.0, 0.0, 0.005988452677088021], [0.0, 0.0, 0.0022242824229184053], [0.0, 0.0, 0.0020531837750016046], [0.0, 0.0, 0.0018820851270848077], [0.0, 0.0, 0.001710986479168007], [0.0, 0.0, 0.0010265918875008043], [0.0, 0.0, 0.0010265918875008043], [0.0, 0.0, 0.0006843945916672028]]"
0.0029817497430303197,"[[0.0, 0.050703289307038185, 0.09513084824174112], [0.0, 0.0, 0.0992372157917443], [0.0, 0.0, 0.05304058085420818], [0.0, 0.0, 0.02446710665210248], [0.0, 0.0, 0.02241392287710087], [0.0, 0.0, 0.021387330989600065], [0.0, 0.0, 0.020189640454182464], [0.0, 0.0, 0.019334147214598463], [0.0, 0.0, 0.01882085127084806], [0.0, 0.0, 0.018136456679180856]]"
0.0027693276579111733,"[[0.0, 0.06065740546408537, 0.07237472806880664], [0.0, 0.0, 0.010608116170841632], [0.0, 0.0, 0.008041636452089626], [0.0, 0.0, 0.002395381070835206], [0.0, 0.0, 0.0011976905354176047], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
0.002369512693532065,"[[0.0, 0.0, 0.03353533499169291], [0.0, 0.09694682106024968, 0.00667284726875522], [0.0, 0.0, 0.0313110525687745], [0.0, 0.0, 0.015398878312512047], [0.0, 0.0, 0.006159551325004822], [0.0, 0.0, 0.005988452677088021], [0.0, 0.0, 0.0008554932395840035], [0.0, 0.0, 0.0006843945916672028], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
0.001189919499187649,"[[0.0, 0.0, 0.018991949918764864], [0.0, 0.0, 0.016596568847929653], [0.0, 0.0, 0.00650174862083842], [0.0, 0.0, 0.0020531837750016046], [0.0, 0.0, 0.0003421972958336014], [0.0, 0.0, 0.0001710986479168007], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
0.006114893515313684,"[[0.0, 0.06198984620951691, 0.12079564542926119], [0.0, 0.2886641093179427, 0.011976905354176037], [0.0, 0.0, 0.02275612017293447], [0.0, 0.0, 0.005304058085420818], [0.0, 0.0, 0.0042774661979200134], [0.0, 0.0, 0.0027375783666688074], [0.0, 0.0, 0.002395381070835206], [0.0, 0.0, 0.0011976905354176047], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
0.006519951105648845,"[[0.0, 0.0, 0.17486281817097019], [0.0, 0.2594807554062498, 0.045341141697952156], [0.0, 0.0, 0.009752622931257632], [0.0, 0.0, 0.005132959437504018], [0.0, 0.0, 0.0037641702541696114], [0.0, 0.0, 0.003079775662502409], [0.0, 0.0, 0.0020531837750016046], [0.0, 0.0, 0.0006843945916672028], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
0.0013353533499169293,"[[0.0, 0.0, 0.03353533499169291], [0.0, 0.0, 0.0313110525687745], [0.0, 0.0, 0.017794259383347253], [0.0, 0.0, 0.017794259383347253], [0.0, 0.0, 0.017280963439596855], [0.0, 0.0, 0.015056681016678446], [0.0, 0.0, 0.014885582368761648], [0.0, 0.0, 0.014372286425011246], [0.0, 0.0, 0.004961860789587217], [0.0, 0.0, 0.004961860789587217]]"
