mean:0.164369,,,,,,,,,,,,,,,,,,,,
0.0969, [[0.0, 0.8690092886513577], [0.0, 0.7696165327695559], [0.0, 0.7156154756871035], [0.0, 0.7012463424947145], [0.0, 0.6940233192389006], [0.0, 0.6867183509513743], [0.0, 0.6562333615221987], [0.0, 0.6013], [0.0, 0.5799293086419752], [0.0, 0.5632534131054131]]
0.1028, [[0.0, 0.9275013546770317], [0.0, 0.8852029330026082], [0.0, 0.8671998283639338], [0.0, 0.7699727061310784], [0.0, 0.7639015856236786], [0.0, 0.7436963847780123], [0.0, 0.7364359830866802], [0.0, 0.711783467230444], [0.0, 0.6794266807610992], [0.0, 0.6771232346723044]]
0.1002, [[0.0, 0.9018026972331611], [0.0, 0.8262976955602536], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5853252003798669], [0.0, 0.5475604453941121], [0.0, 0.5309447765115543], [0.0, 0.5286521592276037], [0.0, 0.5286479145299144], [0.0, 0.5209949648622981]]
0.1028, [[0.0, 0.927715879455838], [0.0, 0.8663552518795069], [0.0, 0.644390866807611], [0.0, 0.6128750951374208], [0.0, 0.6013], [0.0, 0.5918393697372585], [0.0, 0.5798184659702438], [0.0, 0.5724707340930674], [0.0, 0.5555453624564735], [0.0, 0.543486336498892]]
0.0978, [[0.0, 0.878111783000051], [0.0, 0.8447615644820294], [0.0, 0.5798366460905349], [0.0, 0.5644674767331435], [0.0, 0.5471728964862298], [0.0, 0.5435238980690091], [0.0, 0.5423421902500791], [0.0, 0.5126896932573599], [0.0, 0.5062641820196265], [0.0, 0.5042941617600507]]
0.0701, [[0.0, 0.6013], [0.0, 0.5314189012345678], [0.0, 0.526861297245964], [0.0, 0.5251393114909781], [0.0, 0.5235099081987971], [0.0, 0.517264596391263], [0.0, 0.5149155967078188], [0.0, 0.5100937002215891], [0.0, 0.5015210927508706], [0.0, 0.501280826843938]]
0.089, [[0.0, 0.789674016913319], [0.0, 0.7198291754756867], [0.0, 0.6639394291754754], [0.0, 0.6062673784355179], [0.0, 0.6052836786469346], [0.0, 0.5547094773662551], [0.0, 0.5399599537828427], [0.0, 0.5300151877176321], [0.0, 0.5283266790123456], [0.0, 0.5283195511237734]]
0.4011, [[0.2752, 0.9690830769191427], [0.2752, 0.9464358305119419], [0.0, 0.9190332480949215], [0.0, 0.905544497366133], [0.0, 0.8965340157009154], [0.0, 0.8953196246611772], [0.0, 0.8755003719122385], [0.0, 0.8745743656727867], [0.0, 0.858940367155935], [0.0, 0.8568158442694215]]
0.1003, [[0.0, 0.9027165772004295], [0.0, 0.8978826041528154], [0.0, 0.8941056745767912], [0.0, 0.8757841266813277], [0.0, 0.8578861898941338], [0.0, 0.7425886892177589], [0.0, 0.7342464693446088], [0.0, 0.7330269978858347], [0.0, 0.7299917970401687], [0.0, 0.6783876321353064]]
0.089, [[0.0, 0.7896657505285407], [0.0, 0.6877728541226216], [0.0, 0.5846351566951566], [0.0, 0.5820792079772079], [0.0, 0.5794158603988604], [0.0, 0.5683677932890154], [0.0, 0.5524751646090534], [0.0, 0.5380122782526116], [0.0, 0.5369113798670465], [0.0, 0.5356710471668249]]
0.0995, [[0.0, 0.8948169355597605], [0.0, 0.5999879879708768], [0.0, 0.5932842488129153], [0.0, 0.5905813374485596], [0.0, 0.5696906973725863], [0.0, 0.5620450357708134], [0.0, 0.561737014878126], [0.0, 0.5597486543209876], [0.0, 0.5407992025957582], [0.0, 0.5403382124089902]]
0.3947, [[0.2752, 0.952009065207385], [0.0, 0.9367512750984504], [0.0, 0.9118512612898275], [0.0, 0.6180681818181816], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013]]
0.1002, [[0.0, 0.9019183010279752], [0.0, 0.871996981639646], [0.0, 0.7200016913319239], [0.0, 0.6886986892177588], [0.0, 0.6322173572938685], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5803537784108895]]
0.0983, [[0.0, 0.8829955105098962], [0.0, 0.8673807670434204], [0.0, 0.7879607188160676], [0.0, 0.7770864693446089], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6009823684710351], [0.0, 0.5708265944919277], [0.0, 0.5500649772079771], [0.0, 0.537750388414055]]
0.1007, [[0.0, 0.9073452120390731], [0.0, 0.8588183695085153], [0.0, 0.8518954545454547], [0.0, 0.7930032135306553], [0.0, 0.7763575898520082], [0.0, 0.7605921564482025], [0.0, 0.7552571035940799], [0.0, 0.7352765327695556], [0.0, 0.7209724524312897], [0.0, 0.7141282452431285]]
0.1039, [[0.0, 0.9388052451286247], [0.0, 0.9163177715440086], [0.0, 0.8803394894389607], [0.0, 0.8803372846622002], [0.0, 0.8675225341891268], [0.0, 0.8642010379992839], [0.0, 0.8605467675037077], [0.0, 0.8476846300211411], [0.0, 0.7824775898520081], [0.0, 0.7060164059196612]]
0.5487, [[0.41249388503551565, 0.9706226725310694], [0.0, 0.9174975475886052], [0.0, 0.9158851208510203], [0.0, 0.8721864454559402], [0.0, 0.8643097334935814], [0.0, 0.8593982257965529], [0.0, 0.7166088794926], [0.0, 0.7002123255813953], [0.0, 0.6759199365750526], [0.0, 0.6199054756871035]]
0.1056, [[0.0, 0.9558150243440904], [0.0, 0.8800981398762338], [0.0, 0.7074357082452428], [0.0, 0.6183801479915433], [0.0, 0.6013], [0.0, 0.5718263409306742], [0.0, 0.5108914631212409], [0.0, 0.5020520804051916], [0.0, 0.5009157027540361], [0.0, 0.4977213675213676]]
0.1032, [[0.0, 0.9317651724543548], [0.0, 0.9101705599652227], [0.0, 0.6455927272727274], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5995858629313072], [0.0, 0.5957457730294395], [0.0, 0.594078007280785]]
0.1041, [[0.0, 0.9408997830511941], [0.0, 0.9005689041579297], [0.0, 0.8984828913721679], [0.0, 0.8613443087505752], [0.0, 0.8582521828363933], [0.0, 0.8570380122743313], [0.0, 0.8499532135306553], [0.0, 0.8421813742071877], [0.0, 0.7941313953488368], [0.0, 0.7550428964059193]]
0.4027, [[0.2752, 0.9732468713240935], [0.0, 0.8907360407610085], [0.0, 0.7338115856236784], [0.0, 0.6149003594080339], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5850284719848052], [0.0, 0.5827257635327635], [0.0, 0.5582976885090218], [0.0, 0.5544680101297879]]
0.101, [[0.0, 0.90972416616376], [0.0, 0.861452269319286], [0.0, 0.6958868498942914], [0.0, 0.6838430866807609], [0.0, 0.6508878858350952], [0.0, 0.6362233192389003], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013]]
0.1035, [[0.0, 0.9347501462179716], [0.0, 0.930798818800184], [0.0, 0.9284620494041834], [0.0, 0.9131200368229939], [0.0, 0.9109420113537564], [0.0, 0.9051186814811025], [0.0, 0.9048216245588911], [0.0, 0.886600834961387], [0.0, 0.7300015010570824], [0.0, 0.7147891966173358]]
0.1015, [[0.0, 0.914840571114407], [0.0, 0.912898824221347], [0.0, 0.8992511090881193], [0.0, 0.8753261945481512], [0.0, 0.8712193568761826], [0.0, 0.8591150589679333], [0.0, 0.7723372515856233], [0.0, 0.7358372093023257], [0.0, 0.7324814164904863], [0.0, 0.7132958562367865]]
0.1016, [[0.0, 0.9156167260266966], [0.0, 0.8899519486523807], [0.0, 0.8680560901651919], [0.0, 0.8619182121413592], [0.0, 0.8563742274842734], [0.0, 0.841105306553911], [0.0, 0.7785826849894286], [0.0, 0.7688696828752644], [0.0, 0.7334108456659616], [0.0, 0.7334108456659616]]
0.3906, [[0.2752, 0.9410952732573007], [0.0, 0.9134438450365672], [0.0, 0.9005689041579297], [0.0, 0.8992392767861708], [0.0, 0.8821399836342249], [0.0, 0.8714235926967728], [0.0, 0.8703850693499717], [0.0, 0.8663916306960567], [0.0, 0.8630741765969415], [0.0, 0.8622735486626092]]
0.1049, [[0.0, 0.948588133585639], [0.0, 0.9088527648954124], [0.0, 0.9069634916892548], [0.0, 0.8808019046182171], [0.0, 0.8032078858350948], [0.0, 0.7940620295983085], [0.0, 0.7940300422832975], [0.0, 0.7758030232558137], [0.0, 0.7753214164904858], [0.0, 0.7629628118393231]]
0.1014, [[0.0, 0.9138234341021837], [0.0, 0.8775073801974121], [0.0, 0.8466495348837206], [0.0, 0.7866708033826638], [0.0, 0.7521899154334037], [0.0, 0.7495051374207189], [0.0, 0.7014080761099362], [0.0, 0.6974840591966175], [0.0, 0.6340187103594079], [0.0, 0.6022279915433404]]
0.0971, [[0.0, 0.8708711491331252], [0.0, 0.8059454968287523], [0.0, 0.773171437632135], [0.0, 0.76163911205074], [0.0, 0.6920954545454545], [0.0, 0.6516929598308664], [0.0, 0.6298621564482031], [0.0, 0.6270203171247355], [0.0, 0.6225906131078226], [0.0, 0.6013]]
0.0701, [[0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5823078610319721], [0.0, 0.5813974935106045], [0.0, 0.5786884153213041], [0.0, 0.5721209870212092], [0.0, 0.5460783251028806], [0.0, 0.5276797230136119], [0.0, 0.5198163805001582], [0.0, 0.5195375118708452]]
0.1019, [[0.0, 0.9193336856748324], [0.0, 0.8990922916687976], [0.0, 0.8710654634582928], [0.0, 0.6892309725158561], [0.0, 0.6532103805496826], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6008621554289331], [0.0, 0.5963270563469452], [0.0, 0.5918392896486229]]
0.1024, [[0.0, 0.923568767861709], [0.0, 0.9117086122334168], [0.0, 0.9072193927786016], [0.0, 0.8805371844218278], [0.0, 0.8696666795888098], [0.0, 0.8670985556180637], [0.0, 0.8220124735729387], [0.0, 0.8112467653276956], [0.0, 0.6834085623678647], [0.0, 0.6702556659619446]]
0.0972, [[0.0, 0.8718875512197616], [0.0, 0.7396052431289641], [0.0, 0.6132427695560254], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5950563700538145], [0.0, 0.5810825849952517], [0.0, 0.5810771389680278], [0.0, 0.5722406394428616], [0.0, 0.5501794238683126]]
0.1009, [[0.0, 0.909300114100138], [0.0, 0.7748437632135308], [0.0, 0.7727387103594079], [0.0, 0.6595251797040169], [0.0, 0.6520724947145874], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.6013]]
0.3983, [[0.2752, 0.9616293881245844], [0.0, 0.8827881880018411], [0.0, 0.8811994993607117], [0.0, 0.8805012465606301], [0.0, 0.8800286894082749], [0.0, 0.8777722473789188], [0.0, 0.8661050832097374], [0.0, 0.8592467576330998], [0.0, 0.8507360042283294], [0.0, 0.8185628752642705]]
0.0999, [[0.0, 0.8985796075793996], [0.0, 0.7866812262156446], [0.0, 0.7710962156448204], [0.0, 0.6812787103594079], [0.0, 0.6013], [0.0, 0.6013], [0.0, 0.5880834529914529], [0.0, 0.5767053406141184], [0.0, 0.5754405007913896], [0.0, 0.5667582519784741]]
0.1017, [[0.0, 0.9165141436608192], [0.0, 0.9022769447143661], [0.0, 0.8775377326241497], [0.0, 0.8073795348837205], [0.0, 0.7293056871035939], [0.0, 0.7228190909090906], [0.0, 0.7107947357293868], [0.0, 0.6742213742071879], [0.0, 0.6727420507399575], [0.0, 0.6013]]
0.3781, [[0.25687466648085866, 0.9594552577609574], [0.0, 0.9048417615199713], [0.0, 0.8941600590702193], [0.0, 0.8910021573160127], [0.0, 0.8853846066076817], [0.0, 0.8793115490206105], [0.0, 0.8494471670190276], [0.0, 0.8292081818181818], [0.0, 0.8084635095137419], [0.0, 0.7921532135306549]]
0.39, [[0.2752, 0.9394797598322508], [0.0, 0.9264559965222727], [0.0, 0.9206991039226717], [0.0, 0.8862178652380708], [0.0, 0.8744655966859305], [0.0, 0.8667606368332225], [0.0, 0.8612323060911368], [0.0, 0.8461442071881606], [0.0, 0.8434906976744183], [0.0, 0.8112611416490482]]
