0.5940, [[0.44144839085646936, 0.9962739272745871], [0.4399244694974799, 0.9761074956784125], [0.2752, 0.9973238419679844], [0.2752, 0.9973238419679844], [0.2752, 0.9951715388942873], [0.2752, 0.9731491262210403], [0.2752, 0.9864574527182529], [0.2752, 0.9587554616171432], [0.2752, 0.9570502137779369], [0.2752, 0.9838326659847594]]
0.9070, [[0.2752, 0.9960639590344194], [0.31953468213664066, 0.990604490819823], [0.33782173844462604, 0.9825727830511942], [0.7451897395646407, 0.9498025981179359], [0.2752, 0.9946465815475886], [0.3134389967006548, 0.9835786757019382], [0.2752, 0.9914751571625838], [0.2752, 0.9910769744796195], [0.2752, 0.9838326659847594], [0.2752, 0.9825203093642919]]
0.5522, [[0.4109699636765122, 0.931470099831228], [0.33782173844462604, 0.9851636897151332], [0.28905625495668347, 0.9667770274126732], [0.2752, 0.98498760154452], [0.2752, 0.9896071233058866], [0.2752, 0.9830452667109906], [0.2752, 0.9826452467140592], [0.0, 0.8860605176699227], [0.0, 0.881714241241753], [0.2752, 0.9182186565744387]]
0.9339, [[0.3835393792145618, 0.9930717830000512], [0.2752, 0.997113800235258], [0.2752, 0.9752150755382806], [0.2752, 0.9835126058916791], [0.2752, 0.986719894645323], [0.4063981995995297, 0.9722144478596634], [0.2752, 0.9821680595305069], [0.7616291112056195, 0.9677100889377589], [0.41249388503551565, 0.9706226725310694], [0.2752, 0.976850872909528]]
0.4456, [[0.2752, 0.9904994699534598], [0.2752, 0.9835126058916791], [0.2752, 0.9834262521352222], [0.2752, 0.9846200652585281], [0.30886723262365845, 0.9832366413338106], [0.23130684922757713, 0.9820297465350586], [0.2752, 0.9805831190098706], [0.2752, 0.9774266136142791], [0.0, 0.9275856506418452], [0.2752, 0.9201892125505037]]
0.4797, [[0.2752, 0.9900795334731244], [0.2752, 0.9851975697846878], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9933866986140234], [0.2752, 0.986719894645323], [0.2752, 0.9699757910295096], [0.2752, 0.9597596639390376], [0.2752, 0.9977962521352223], [0.2752, 0.9935441931672889], [0.2752, 0.9674035514754769]]
0.4264, [[0.28905625495668347, 0.9667770274126732], [0.2752, 0.9971138737278167], [0.2752, 0.9829403193371862], [0.2752, 0.9729205643635247], [0.2752, 0.9950665180279241], [0.2752, 0.9821562272285583], [0.2752, 0.9867249656318724], [0.2752, 0.9779397386590293], [0.2752, 0.9846200652585281], [0.2752, 0.9843626943180075]]
0.5891, [[0.2752, 0.9958539907942515], [0.4399244694974799, 0.9761074956784125], [0.31953468213664066, 0.990604490819823], [0.2752, 0.9934917194803866], [0.2752, 0.9889771450928246], [0.2752, 0.9847776333043523], [0.29362801903367985, 0.9659591287270495], [0.2752, 0.9825203093642919], [0.2752, 0.9856699799519255], [0.2752, 0.9652122973456758]]
0.9102, [[0.4597354471644548, 0.9804205534700557], [0.2752, 0.9946465815475886], [0.31953468213664066, 0.990604490819823], [0.7451897395646407, 0.9498025981179359], [0.2752, 0.9910769744796195], [0.29362801903367985, 0.9659591287270495], [0.2752, 0.9780260924154861], [0.2752, 0.9907619853730885], [0.2752, 0.9645180131437631], [0.2752, 0.9896071233058866]]
0.4797, [[0.2752, 0.9958539907942515], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9950665180279241], [0.2752, 0.9977962521352223], [0.2752, 0.9731491262210403], [0.31953468213664066, 0.9667414570142688], [0.2752, 0.9904469962665575], [0.2752, 0.9681384770623433], [0.2752, 0.9347890972740754], [0.2752, 0.974464936991766]]
0.4127, [[0.2752, 0.9347890972740754], [0.2752, 0.986719894645323], [0.2752, 1.0], [0.2752, 0.9912072767861709], [0.2752, 0.9831502140847952], [0.2752, 0.9934917194803866], [0.2752, 0.9778483139160231], [0.2752, 0.9776992710070066], [0.2752, 0.971887626451184], [0.2752, 0.9512639976474198]]
0.9316, [[0.7616291112056195, 0.9677100889377589], [0.2752, 0.9977962521352223], [0.2752, 0.9933866986140234], [0.38963506465054776, 0.9708495440597351], [0.2752, 0.986719894645323], [0.2752, 0.9821680595305069], [0.2752, 0.9818378574643277], [0.2752, 0.9813536149951414], [0.2752, 0.9685415102541809], [0.2752, 0.9674035514754769]]
0.5381, [[0.2752, 0.9946465815475886], [0.39573075008653363, 0.9373613368281082], [0.31953468213664066, 0.990604490819823], [0.2752, 0.9906588018206925], [0.2752, 0.9851975697846878], [0.27838880544370126, 0.9694237149286554], [0.2752, 0.9862075780187184], [0.2752, 0.9268708620160588], [0.2752, 0.98498760154452], [0.2752, 0.9271079490103821]]
0.5517, [[0.2752, 0.9925992993402547], [0.2752, 0.9780260924154861], [0.4109699636765122, 0.931470099831228], [0.2752, 0.9922843102337238], [0.33172605300862634, 0.958879076100854], [0.29362801903367985, 0.9659591287270495], [0.2752, 0.9841476550912903], [0.2752, 0.9838326659847594], [0.2752, 0.9799734982355649], [0.2752, 0.9843626943180075]]
0.5535, [[0.2752, 0.9812984220835677], [0.2752, 0.9752150755382806], [0.4063981995995297, 0.9722144478596634], [0.2752, 0.9940166768270853], [0.3484891879576083, 0.9714591648340408], [0.2752, 0.9878222830256227], [0.2752, 0.954471212908505], [0.2752, 0.9941741713803508], [0.2752, 0.9831502140847952], [0.3835393792145618, 0.9930717830000512]]
1.1834, [[0.2752, 0.9977962521352223], [1.0, 0.9624516228711707], [0.33782173844462604, 0.9851636897151332], [0.2752, 0.9904994699534598], [0.7451897395646407, 0.9498025981179359], [0.30886723262365845, 0.9832366413338106], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9838326659847594], [0.2752, 0.9862999581649875], [0.4109699636765122, 0.931470099831228]]
0.6275, [[0.36830016562458323, 0.9996335661023883], [0.2752, 0.9935441931672889], [0.2752, 0.9900795334731244], [0.2752, 0.9851975697846878], [0.2752, 0.9841476550912903], [0.2752, 0.9829403193371862], [0.2752, 0.9828877721577252], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9135533489490103], [0.4780225034724263, 0.9254958162430318]]
0.4092, [[0.2752, 0.9906588018206925], [0.2752, 0.9903945225796553], [0.2752, 0.9900795334731244], [0.2752, 0.9900270597862221], [0.2752, 0.9867249656318724], [0.2752, 0.986719894645323], [0.2752, 0.9856699799519255], [0.2752, 0.9850400752314223], [0.2752, 0.9849723150923133], [0.2752, 0.9826452467140592]]
0.5498, [[0.2752, 0.9904994699534598], [0.2752, 0.9875072939190918], [0.2752, 0.9893210902674782], [0.31953468213664066, 0.9667414570142688], [0.3484891879576083, 0.9714591648340408], [0.2752, 0.954471212908505], [0.2752, 0.9805593809134149], [0.2752, 0.9805831190098706], [0.4063981995995297, 0.9722144478596634], [0.2752, 0.938263898941339]]
0.6209, [[0.2752, 1.0], [0.2752, 0.9958539907942515], [0.2752, 0.9851975697846878], [0.2752, 0.9834262521352222], [0.2752, 0.9824086006750883], [0.2752, 0.9818378574643277], [0.2752, 0.9770626049711041], [0.2752, 0.9750860226052268], [0.27838880544370126, 0.9694237149286554], [0.4780225034724263, 0.9254958162430318]]
1.1793, [[0.2752, 0.9907619853730885], [0.2752, 0.9903945225796553], [0.2752, 0.9846200652585281], [0.2752, 0.9805593809134149], [0.2752, 0.9834449192451286], [0.2752, 0.9830452667109906], [0.2752, 0.9838326659847594], [0.2752, 0.9763428923438859], [0.2752, 0.971887626451184], [1.0, 0.9624516228711707]]
