HV,front
mean:0.168009,
0.6132683183209439,"[[0.9759078360145342, 0.0], [0.805421145960324, 0.5584998063891579], [0.8224443089881512, 0.0], [0.14807772352781803, 0.5560561452081315], [0.6664475416152668, 0.5536913901258471], [0.8040025490413469, 0.0], [0.07554985894276992, 0.3949466310160476], [0.15714370660095592, 0.03864960641711455], [0.22362758247058798, 0.0]]"
0.5176085025459578,"[[0.6664475416152668, 0.5536913901258471], [0.14807772352781803, 0.5560561452081315], [0.0, 0.5600763833494674], [0.8224443089881512, 0.0], [0.5027620784773706, 0.549986445304937], [0.0, 0.5575539264278798], [0.0, 0.5529818973862536], [0.0936818250890182, 0.050814901604286714], [0.15714370660095592, 0.03864960641711455], [0.0, 0.5512938586640852]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.045800341634746486,"[[0.0, 0.273387574331557], [0.0846158420159078, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.6322617674669402,"[[0.6274748122967269, 0.7594753599999232], [0.6976257250700704, 0.0], [0.549529353659647, 0.0], [0.5027620784773706, 0.549986445304937], [0.14807772352781803, 0.5560561452081315], [0.47548116795439976, 0.028778874866308788], [0.15714370660095592, 0.03864960641711455], [0.43650843863585986, 0.0], [0.3507684341350791, 0.0], [0.16923168403178812, 0.0]]"
0.07232238026295787,"[[0.07252786458504813, 0.0], [0.0, 0.5506959380445304], [0.0, 0.2230832278074878], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.2805820146630523,"[[0.0, 1.0], [0.8040025490413469, 0.0], [0.1903856445357857, 0.18536083636363979], [0.14807772352781803, 0.5560561452081315], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.16362326310318875,"[[0.0, 0.5575539264278798], [0.4871729867499689, 0.05609063743315577], [0.7054202709338067, 0.0], [0.6820366333426686, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.24590001634045916,"[[0.0, 1.0], [0.1903856445357857, 0.18536083636363979], [0.9774621691748857, 0.0], [0.2572338837705974, 0.04283967914438916], [0.0, 0.57010198630137], [0.7404957273204784, 0.0], [0.0, 0.5566867318489835], [0.21153960503975575, 0.0], [0.0, 0.428478949732621], [0.19642963325120177, 0.0]]"
0.16380299310512175,"[[0.9370495070057117, 0.0], [0.0, 0.5533760968054211], [0.0936818250890182, 0.050814901604286714], [0.0, 0.5512938586640852], [0.7716739107753176, 0.0], [0.7404957273204784, 0.0], [0.0, 0.5506959380445304], [0.5027620784773706, 0.0], [0.307898431884671, 0.0], [0.19642963325120177, 0.0]]"
0.1628416738241059,"[[0.0, 0.5525089022265246], [0.9759078360145342, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.08716739107753176,"[[0.7716739107753176, 0.0], [0.6274748122967269, 0.0], [0.307898431884671, 0.0], [0.24164479204316017, 0.0], [0.11483578559301576, 0.0], [0.07554985894276992, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.2762254187365978,"[[0.14807772352781803, 0.5560561452081315], [0.549529353659647, 0.18265548128342823], [0.0, 0.5544007725072604], [0.07554985894276992, 0.3949466310160476], [0.0, 0.5542948286544046], [0.051373904081078045, 0.3362621390374396], [0.0, 0.5496711519845112], [0.0, 0.08894808449197986], [0.0, 0.07637199786096256], [0.0, 0.0]]"
0.061419351871658104,"[[0.0, 0.514193518716581], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.12025112510459005,"[[0.549529353659647, 0.0], [0.0, 0.5529818973862536], [0.0, 0.10152417112299716], [0.0, 0.07637199786096256], [0.0, 0.030263592513371858], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.14261169063881368,"[[0.0, 0.5206957604278128], [0.805421145960324, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.11113857044460254,"[[0.4871729867499689, 0.05609063743315577], [0.6820366333426686, 0.0], [0.3507684341350791, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.5028786022820756,"[[0.0, 0.5566867318489835], [0.6664475416152668, 0.5536913901258471], [0.6820366333426686, 0.0], [0.0, 0.16859467700534786], [0.549529353659647, 0.0], [0.0, 0.045410059893046674], [0.3117957048165392, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.06485646850912906,"[[0.24164479204316017, 0.0], [0.0, 0.3069198930481304], [0.19642963325120177, 0.0], [0.11181379123529399, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.15949187267540177,"[[0.0, 0.5578692197483058], [0.9370495070057117, 0.0], [0.0, 0.5551102652468537], [0.14505572917012374, 0.0], [0.0, 0.5506959380445304], [0.11181379123529399, 0.0], [0.0, 0.549828743465634], [0.0, 0.48716344171122905], [0.0, 0.30732481604278206]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.6403696686766069,"[[0.0, 1.0], [0.805421145960324, 0.5584998063891579], [0.549529353659647, 0.0], [0.030219943577107965, 0.17278474973262248], [0.24164479204316017, 0.0], [0.03324193793480227, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.5326046876993106,"[[0.6664475416152668, 0.5536913901258471], [0.9759078360145342, 0.0], [0.0, 0.5600763833494674], [0.7404957273204784, 0.0], [0.0, 0.5578692197483058], [0.30400115895283825, 0.0], [0.0, 0.5575539264278798], [0.0, 0.5523431442400774], [0.0, 0.2230832278074878], [0.0, 0.11869525347594075]]"
0.0713815983959637,"[[0.06043988715421593, 0.0], [0.0, 0.5533760968054211], [0.0, 0.08894808449197986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.06544007725072604,"[[0.0, 0.5544007725072604], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.16934876938133556,"[[0.9759078360145342, 0.0], [0.0, 0.5568444336882865], [0.15714370660095592, 0.03864960641711455], [0.7404957273204784, 0.0], [0.0, 0.5525089022265246], [0.7249066355930767, 0.0], [0.0, 0.3069198930481304], [0.0, 0.07637199786096256], [0.01813196614624829, 0.0], [0.0, 0.0]]"
0.17812610656521397,"[[0.1903856445357857, 0.18536083636363979], [0.7716739107753176, 0.0], [0.0, 0.5566867318489835], [0.7249066355930767, 0.0], [0.6820366333426686, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.08819941125994593,"[[0.051373904081078045, 0.3362621390374396], [0.0, 0.5578692197483058], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.12824212845942298,"[[0.0, 0.57010198630137], [0.47548116795439976, 0.028778874866308788], [0.0, 0.5575539264278798], [0.3351793424076773, 0.0], [0.01813196614624829, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.03416447920431602,"[[0.24164479204316017, 0.0], [0.19642963325120177, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.10759078360145342,"[[0.9759078360145342, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
