0.3508, [[0.2698879771793162, 0.7042071677600752], [0.5491485304277033, 0.07828338392261536], [0.058830438917953545, 0.7267935270228054], [0.0, 0.7217362574195563], [0.0, 0.6970798550452986], [0.0, 0.15378823248832588], [0.0, 0.7171909228366136], [0.0, 0.6936996238675416], [0.0, 0.6713576782255547], [0.0, 0.6970615182755389]]
0.2869, [[0.0, 0.7341269703217744], [0.0, 0.7083132820993442], [0.0, 0.7050345067166512], [0.9660920398672985, 0.10540010323549034], [0.0554707260447142, 0.19716267128085405], [0.0, 0.725064007497657], [0.24986300787236995, 0.09771055186791223], [0.1689543608748441, 0.07815665893929326], [0.0, 0.7160946254295532], [0.0, 0.7160142080599812]]
0.4575, [[0.0, 0.7206904867228991], [0.0, 0.7154692783505157], [0.4134283033878807, 0.7054774632927211], [0.0, 0.7256822842861607], [0.0, 0.6926887447672604], [0.0, 0.6926887447672604], [0.4671119788972368, 0.6807194901593252], [0.0, 0.7237585904404875], [0.0, 0.702621525773196], [0.0, 0.723689726960325]]
0.5026, [[0.0, 0.745421960637301], [0.0, 0.7227775445173383], [0.04613819028565569, 0.691235311465167], [0.0, 0.7165797738206809], [0.09298751979611317, 0.4462192700964632], [0.0, 0.7165751752577321], [0.7687374997466986, 0.426730958913898], [0.0, 0.4436358485173276], [0.0, 0.7160142080599812], [0.0, 0.16599538609072706]]
0.4151, [[0.4134283033878807, 0.7054774632927211], [0.18351311665898082, 0.6729737282099346], [0.009554650110135414, 0.7155924623555139], [0.0, 0.7065193252108716], [0.0, 0.7183497606997815], [0.0, 0.6948482874101843], [0.0, 0.7200175445173383], [0.0, 0.7118824567322714], [0.0, 0.7136041012183693], [0.0, 0.6764772008747265]]
0.4187, [[0.0, 0.6865582280537333], [0.0015286693573396527, 0.6785130996563573], [0.4375480143178081, 0.6752550752889723], [0.0, 0.6910511390190567], [0.0, 0.6912686510465479], [0.0, 0.6952637675726334], [0.03559242487790326, 0.4081643997856378], [0.0, 0.6764772008747265], [0.0, 0.4347836613076099], [0.0, 0.6592177594501718]]
0.4206, [[0.0, 0.7136041012183693], [0.4375480143178081, 0.6752550752889723], [0.0, 0.6592177594501718], [0.0, 0.43791708967488385], [0.2558648894293584, 0.4100948810289391], [0.0, 0.6546134482974073], [0.0, 0.03682004319546368], [0.0, 0.4158727667023939], [0.0, 0.410455270811004], [0.0, 0.06553586557705136]]
0.7646, [[0.0, 0.7256822842861607], [0.0, 0.7237585904404875], [0.0, 0.7200175445173383], [0.0, 0.7154692783505157], [0.8076176231402414, 0.7113106254295534], [0.0, 0.7106214732895971], [0.0, 0.7065193252108716], [0.7129760027352986, 0.7061655232739769], [0.0, 0.702621525773196], [0.8572932161336269, 0.440528899964273]]
0.6545, [[0.4134283033878807, 0.7054774632927211], [0.8572932161336269, 0.440528899964273], [0.0, 0.7154692783505157], [0.0, 0.7146945929397064], [0.0, 0.46366437727759924], [0.0, 0.40556874169346213], [0.0, 0.7009702967822558], [0.0, 0.6725830802874104], [0.0, 0.6981685648234929], [0.0, 0.6844873801936897]]
0.7409, [[0.058830438917953545, 0.7267935270228054], [0.2757776740342984, 0.7209783567635113], [0.8076176231402414, 0.7113106254295534], [0.0, 0.725064007497657], [0.0, 0.7171909228366136], [0.0, 0.7170316401124651], [0.7129760027352986, 0.7061655232739769], [0.0, 0.7197677850671664], [0.03083283164077798, 0.4216383669167562], [0.0, 0.7146426866604186]]
0.5363, [[0.0, 0.7119303967510153], [0.15607546152735421, 0.7099519225242112], [0.0, 0.7094978144329898], [0.0, 0.6855591327710092], [0.0, 0.6940546329272103], [0.8113060844523812, 0.03998272515010038], [0.7687374997466986, 0.426730958913898], [0.0, 0.6691051871290222], [0.0, 0.6905739806310527], [0.0, 0.6636885398313029]]
0.4279, [[0.0, 0.7200175445173383], [0.0, 0.6970798550452986], [0.6444268636308852, 0.43669192104322974], [0.0, 0.7165797738206809], [0.0, 0.7118824567322714], [0.48406734132212587, 0.10688800016677823], [0.0, 0.6949357175882539], [0.0, 0.6886206835363949], [0.2558648894293584, 0.4100948810289391], [0.0, 0.44153087459807083]]
