mean:0.064703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0619, [[0.0,0.0, 0.0], [0.37806596316573193,0.9772193874572352, 0.0], [0.0,0.0, 0.9665315671351242], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.3857432179600796,0.7458374919447508, 0.0], [0.0,0.0, 0.0], [0.3832082753393043,0.8826798454047622, 0.0], [0.0,0.0, 0.0], [0.37717873324846035,0.93507525425312, 0.0]]
0.062, [[0.48097064190153815,0.790323950601288, 0.0], [0.4899002958181814,0.7307365839604213, 0.0], [0.37806596316573193,0.9772193874572352, 0.0], [0.44890686246191036,0.87015050850624, 0.0], [0.4743721808215412,0.7707335834864826, 0.0], [0.48796422041147575,0.6984941047506367, 0.0], [0.4235008117167712,0.7666522570042313, 0.0], [0.42383666153221955,0.7662441243560066, 0.0], [0.4836574404251303,0.3395838114450845, 0.0], [0.2515521428957918,0.7588977366879538, 0.0]]
0.06, [[0.0,0.0, 0.9510723620263986], [0.03443173563056427,0.0, 0.0], [0.4743721808215412,0.7707335834864826, 0.0], [0.33819493708753773,0.0, 0.0], [0.3864131670812846,0.3738962158681659, 0.0], [0.0,0.0, 0.0], [0.3404944921792411,0.3698594624066302, 0.0], [0.4768811765016594,0.5943090320863268, 0.0], [0.4836574404251303,0.3395838114450845, 0.0], [0.38284614067919354,0.0, 0.0]]
0.0673, [[0.0,0.0, 0.0], [0.43181803361700705,0.7760393079134089, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.9442316406798976], [0.0,0.0, 0.0], [0.4279853945465891,0.9783584180843724, 0.0], [0.0,0.0, 0.999999255293894], [0.0,0.0, 0.0], [0.0,0.0, 0.9789355409742657], [0.0,0.0, 0.0]]
0.0653, [[0.4235008117167712,0.7666522570042313, 0.0], [0.0,0.0, 0.9872597168834873], [0.0,0.0, 0.9872597168834873], [0.37806596316573193,0.9772193874572352, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.9864238587503567], [0.3740281617054972,0.7890995526566128, 0.0], [0.0,0.0, 0.9799187019751209], [0.36015840422325485,0.761346532577305, 0.0], [0.35693540574826926,0.5093120011466696, 0.0]]
0.0621, [[0.2676873460112016,0.8542040797263062, 0.0], [0.0,0.0, 0.9785259526160863], [0.43181803361700705,0.7760393079134089, 0.0], [0.47354243421866715,0.5943090320863268, 0.0], [0.0,0.0, 0.9442316406798976], [0.272305549023034,0.7307365839604213, 0.0], [0.2562273607596213,0.761346532577305, 0.0], [0.38344366286837683,0.4801701619673574, 0.0], [0.3721269547399157,0.2467384818296748, 0.0], [0.3721269547399157,0.2467384818296748, 0.0]]
0.0631, [[0.0,0.0, 0.0], [0.0,0.0, 0.9085210466717318], [0.3240750346371412,0.0, 0.0], [0.0,0.0, 0.0], [0.3832082753393043,0.8826798454047622, 0.0], [0.2515521428957918,0.7588977366879538, 0.0], [0.3559395354329647,0.7372667063320228, 0.0], [0.35074290306037526,0.3294919277912359, 0.0], [0.3375875545606477,0.7127787474385158, 0.0], [0.4768811765016594,0.5943090320863268, 0.0]]
0.067, [[0.0,0.0, 0.9537862200170923], [0.0,0.0, 0.9609625059348585], [0.0,0.0, 0.8735836065425894], [0.0,0.0, 0.9688157297027824], [0.0,0.0, 0.9799187019751209], [0.0,0.0, 0.9021159783971126], [0.0,0.0, 0.9627226932864877], [0.421841318511023,0.995443877491446, 0.0], [0.0,0.0, 0.949066570601082], [0.4185815997140183,0.7180844718654421, 0.0]]
0.1165, [[1.0,0.7870588894154872, 0.0], [0.37806596316573193,0.9772193874572352, 0.0], [0.0,0.0, 0.9807569431677904], [0.8533349457517847,0.7429805634071748, 0.0], [0.3899258732843592,0.7580814713915043, 0.0], [0.3766717447243054,0.7768555732098593, 0.0], [0.0,0.0, 0.9797950807615619], [0.4236391028172496,0.700942900639988, 0.0], [0.5970014275161124,0.6854338600074328, 0.0], [0.0,0.0, 0.9688157297027824]]
0.1011, [[0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [1.0,0.7870588894154872, 0.0], [0.4950170665359042,0.8462308653363381, 0.0], [0.027401007479928807,0.0, 0.0]]
0.0714, [[0.0,0.0, 0.9593199821479442], [0.0,0.0, 0.9581190690817597], [0.0,0.0, 0.999999255293894], [0.49179685948189295,0.4947410815570162, 0.0], [0.421841318511023,0.995443877491446, 0.0], [0.0,0.0, 0.947667416769537], [0.0,0.0, 0.0], [0.4240934878616811,0.7580814713915043, 0.0], [0.0,0.0, 0.9894850476687869], [0.0,0.0, 0.0]]
0.0706, [[0.0,0.0, 0.9688157297027824], [0.4899002958181814,0.7307365839604213, 0.0], [0.48097064190153815,0.790323950601288, 0.0], [0.5970014275161124,0.6854338600074328, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.9654307425695562], [0.0,0.0, 0.6819023282571912], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0597, [[0.4743721808215412,0.7707335834864826, 0.0], [0.0,0.0, 0.0], [0.5970014275161124,0.6854338600074328, 0.0], [0.0,0.0, 0.0], [0.48796422041147575,0.6984941047506367, 0.0], [0.48796422041147575,0.6984941047506367, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
