HV,front
mean:0.020157,
0.006863611431895931,"[[0.0, 0.9827205695847694, 0.0, 0.0], [0.41521314256121766, 0.0, 0.589959326287792, 0.039884194185819156], [0.0, 0.9827205695847694, 0.0, 0.0], [0.5329879231742278, 0.0, 0.0, 0.15383419145227142], [0.541802757064577, 0.0, 0.0, 0.15302666368471166], [0.0, 0.1135830095845104, 0.0, 0.0], [0.35524155839990645, 0.0, 0.5309752600732742, 0.0], [0.0, 0.1135830095845104, 0.0, 0.0], [0.27730491342545893, 0.0, 0.5224349927175457, 0.0], [0.2772780915319809, 0.0, 0.0, 0.0]]"
0.0047552197280733045,"[[0.3251666965691394, 0.0, 0.5779307154212382, 0.0], [0.0, 0.03703441694051342, 0.0, 0.0], [0.583413687220136, 0.0, 0.0, 0.1668294797702212], [0.43253567327256626, 0.0, 0.09102078527792358, 0.07009003205257457], [0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0], [0.5412191966328117, 0.0, 0.0, 0.15379873901369562], [0.44883850891367244, 0.0, 0.0, 0.07243156987170289], [0.0, 0.0, 0.0, 0.0]]"
0.1232109086430379,"[[0.0, 0.9827205695847694, 0.0, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [1.0, 0.0, 1.0, 0.9101503146566372], [0.0, 0.3479675096901713, 0.0, 0.0], [0.48318257600840675, 0.0, 0.0, 0.10733609362884253], [0.3958696499335449, 0.0, 0.5974371176267523, 0.015860016161562587], [0.0, 0.03516627163493981, 0.0, 0.0], [0.3558804035041548, 0.0, 0.5305908974682395, 0.0], [0.0, 0.03102770549392499, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0]]"
0.019640880361772053,"[[0.0, 0.03620981600207159, 0.0, 0.0], [0.743867805241835, 0.0, 0.0, 0.25359519520851415], [0.5531238294408238, 0.0, 0.9751739437728195, 0.16096013160600622], [0.0, 0.03449173698648308, 0.0, 0.0], [0.3306275936621851, 0.0, 0.5370062127904316, 0.0], [0.43253567327256626, 0.0, 0.09102078527792358, 0.07009003205257457], [0.43255410149672724, 0.0, 0.09361004227818083, 0.06425179775688132], [0.3674533282772686, 0.0, 0.1539572976145608, 0.0019825020201954297], [0.5826028453570518, 0.0, 0.0, 0.16427690419276395], [0.5368394220238786, 0.0, 0.0, 0.14773542613486995]]"
0.12224531239199185,"[[0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0], [1.0, 0.0, 1.0, 0.9101503146566372], [0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0], [0.7437180884299354, 0.0, 0.0, 0.2522100588053005], [0.3958696499335449, 0.0, 0.5974371176267523, 0.015860016161562587], [0.5826028453570518, 0.0, 0.0, 0.16427690419276395], [0.5462869582770894, 0.0, 0.0, 0.15746609682636953]]"
0.0005093328945795442,"[[0.0, 0.03620981600207159, 0.0, 0.0], [0.3731230785774725, 0.0, 0.0, 0.0], [0.0, 0.0036875646525182317, 0.0, 0.0], [0.270322120835879, 0.0, 0.0, 0.0], [0.0, 0.0011081590559133979, 0.0, 0.0], [0.10511851582117632, 0.0, 0.0, 0.0], [0.0762152119984524, 0.0, 0.0, 0.0], [0.037730658412799566, 0.0, 0.0, 0.0], [0.012680596584659034, 0.0, 0.0, 0.0], [0.008755555049803892, 0.0, 0.0, 0.0]]"
0.006237648900992397,"[[0.0, 0.6383466118057839, 0.0, 0.0], [0.6286, 0.0, 0.0, 0.17668525769429222], [0.40700644006818143, 0.0, 0.5970696130307104, 0.018373266754093714], [0.0, 0.6383450314851874, 0.0, 0.0], [0.4994792689081259, 0.0, 0.0, 0.11634320910642279], [0.27904833650153216, 0.0, 0.5870854572047526, 0.0], [0.36669162834528024, 0.0, 0.5310249911998028, 0.0], [0.0, 0.03703442473292644, 0.0, 0.0], [0.35212104577530884, 0.0, 0.5306747660629785, 0.0], [0.3387851542241252, 0.0, 0.0, 0.0]]"
0.002310311812506911,"[[0.0, 0.9827205695847694, 0.0, 0.0], [0.5120166040789992, 0.0, 0.0, 0.11692078843514109], [0.491831555881307, 0.0, 0.0, 0.10474479177567379], [0.0, 0.017124318538711863, 0.0, 0.0], [0.3440740545583348, 0.0, 0.0, 0.0], [0.3361007762380049, 0.0, 0.0, 0.0], [0.33052316705860607, 0.0, 0.0, 0.0], [0.10367454728904466, 0.0, 0.0, 0.0], [0.022796354036277566, 0.0, 0.0, 0.0], [0.022788376309580707, 0.0, 0.0, 0.0]]"
0.0013769643711707647,"[[0.0, 1.0, 0.0, 0.0], [0.27696437117076445, 0.0, 0.0, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [0.276913122195726, 0.0, 0.0, 0.0], [0.2739679824993595, 0.0, 0.0, 0.0], [0.2739090701261845, 0.0, 0.0, 0.0], [0.27370934281224973, 0.0, 0.0, 0.0], [0.021360363230842762, 0.0, 0.0, 0.0], [0.020674278734912795, 0.0, 0.0, 0.0]]"
0.0033789990214074072,"[[0.3676253250361047, 0.0, 0.15457596964117085, 0.0], [0.5826028453570518, 0.0, 0.0, 0.16427690419276395], [0.0, 0.06520053797746696, 0.0, 0.0], [0.23740517990850954, 0.0, 0.3867918415551008, 0.0], [0.2711967061482168, 0.0, 0.16491008386343675, 0.0], [0.44883850891367244, 0.0, 0.0, 0.07243156987170289], [0.0, 0.03516627163493981, 0.0, 0.0], [0.0, 0.03516627163493981, 0.0, 0.0], [0.1321151429633507, 0.0, 0.21020298655230313, 0.0], [0.12689770970360426, 0.0, 0.04699577834729518, 0.0]]"
0.0014379900974529009,"[[0.0, 0.3479675096901713, 0.0, 0.0], [0.0, 0.3479675096901713, 0.0, 0.0], [0.2753694264335876, 0.0, 0.0, 0.0], [0.26974066050226553, 0.0, 0.19328497989870466, 0.0], [0.27512563458036743, 0.0, 0.0, 0.0], [0.0, 0.07122625753408073, 0.0, 0.0], [0.2750231366302906, 0.0, 0.0, 0.0], [0.27406425393845035, 0.0, 0.0, 0.0], [0.271723564770107, 0.0, 0.0, 0.0], [0.10367454728904466, 0.0, 0.0, 0.0]]"
