0.5685, [[0.0, 0.9902659598601595], [0.3773186805078619, 0.9091635669213187], [0.37365133833064124, 0.9357403409728537], [0.4014312483624683, 0.276895178638894], [0.9978645673515812, 0.0], [0.37696739934972784, 0.841978128188527], [0.3987316540419453, 0.27684046145873387], [0.9967629655161001, 0.0], [5.1822939118284324e-05, 0.7715728158314978], [0.9966803494124286, 0.0]]
0.5704, [[0.37934496294633674, 0.8414723527989979], [0.4014312483624683, 0.276895178638894], [0.996167064596453, 0.0], [0.3773186805078619, 0.9091635669213187], [0.37365133833064124, 0.9357403409728537], [0.4016837403182363, 0.2766934620772664], [0.0, 0.9985375235875551], [0.37941174223955626, 0.7907525903578048], [0.37753833471200543, 0.9072173652725619], [0.0011710659692768025, 0.6242019949069878]]
0.5718, [[0.37934496294633674, 0.8414723527989979], [0.37365133833064124, 0.9357403409728537], [0.9981054772007643, 0.0], [0.38160359317361675, 0.7506243433898729], [0.4014312483624683, 0.276895178638894], [0.0, 0.9985375235875551], [0.37941174223955626, 0.7907525903578048], [0.3773186805078619, 0.9091635669213187], [0.40244507945043734, 0.2766940381985657], [0.37885543209438877, 0.8461806117657212]]
0.5884, [[0.0, 0.9871169223531451], [0.37934496294633674, 0.8414723527989979], [0.37753833471200543, 0.9072173652725619], [0.3731689821135019, 0.985457923950108], [0.37941174223955626, 0.7907525903578048], [0.3773186805078619, 0.9091635669213187], [0.40244507945043734, 0.2766940381985657], [0.3974173161344885, 0.27687754478510174], [1.0, 0.0], [0.3769260072258314, 0.9149539371574087]]
0.5709, [[1.0, 0.0], [0.38160359317361675, 0.7506243433898729], [0.0, 0.9871169223531451], [0.37934496294633674, 0.8414723527989979], [0.4014312483624683, 0.276895178638894], [0.37555675576733866, 0.9141105187966707], [0.40244507945043734, 0.2766940381985657], [0.37941174223955626, 0.7907525903578048], [0.37753833471200543, 0.9072173652725619], [0.37365133833064124, 0.9357403409728537]]
0.5907, [[0.9997415019568712, 0.0], [0.38160359317361675, 0.7506243433898729], [0.37934496294633674, 0.8414723527989979], [0.0, 1.0], [0.37365133833064124, 0.9357403409728537], [0.40017154805855465, 0.27681040513883554], [0.3731689821135019, 0.985457923950108], [0.40244507945043734, 0.2766940381985657], [0.3769260072258314, 0.9149539371574087], [0.3773186805078619, 0.9091635669213187]]
0.5657, [[0.9990829935211605, 0.0], [0.37885543209438877, 0.8461806117657212], [0.37941174223955626, 0.7907525903578048], [0.38160359317361675, 0.7506243433898729], [0.37365133833064124, 0.9357403409728537], [0.37555675576733866, 0.9141105187966707], [0.37753833471200543, 0.9072173652725619], [0.37934496294633674, 0.8414723527989979], [0.40244507945043734, 0.2766940381985657], [0.4006682535453114, 0.27682932510573566]]
0.5882, [[0.37885543209438877, 0.8461806117657212], [0.4671759450878656, 0.0], [0.9979420199487734, 0.0], [0.9583232415296297, 0.0], [0.3731689821135019, 0.985457923950108], [0.38160359317361675, 0.7506243433898729], [0.9623494857070023, 0.0], [0.9614697532905613, 0.0], [0.3974173161344885, 0.27687754478510174], [0.4006682535453114, 0.27682932510573566]]
0.5620, [[0.37885543209438877, 0.8461806117657212], [0.0, 1.0], [0.37934496294633674, 0.8414723527989979], [0.3773186805078619, 0.9091635669213187], [0.4014312483624683, 0.276895178638894], [0.38160359317361675, 0.7506243433898729], [0.37753833471200543, 0.9072173652725619], [1.0, 0.0], [0.37941174223955626, 0.7907525903578048], [0.9997415019568712, 0.0]]
0.5826, [[0.9585038028968339, 0.0], [0.9642231931207428, 0.0], [0.9569492647273562, 0.0], [0.9951656670585891, 0.0], [0.9942033185384767, 0.0], [0.9587895707085574, 0.0], [0.9584900873327478, 0.0], [0.9583232415296297, 0.0], [0.39782516652861427, 0.27676852996539564], [0.3731689821135019, 0.985457923950108]]
0.5583, [[0.37753833471200543, 0.9072173652725619], [0.9941424859777652, 0.0], [0.9978645673515812, 0.0], [0.37934496294633674, 0.8414723527989979], [0.9936877746884163, 0.0], [0.37365133833064124, 0.9357403409728537], [0.9971294131165654, 0.0], [0.3773186805078619, 0.9091635669213187], [1.0, 0.0], [0.37934496294633674, 0.8414723527989979]]
0.5458, [[0.996769258539622, 0.0], [0.9986011738227942, 0.0], [0.9965436778502997, 0.0], [0.995132588345205, 0.0], [0.9971294131165654, 0.0], [0.37555675576733866, 0.9141105187966707], [0.9971084363714926, 0.0], [0.9979420199487734, 0.0], [0.37696739934972784, 0.841978128188527], [0.5331199378241082, 0.0]]
0.5880, [[0.3773186805078619, 0.9091635669213187], [0.9963290696122464, 0.0], [0.0, 1.0], [0.4014312483624683, 0.276895178638894], [0.3769260072258314, 0.9149539371574087], [0.37753833471200543, 0.9072173652725619], [0.3731689821135019, 0.985457923950108], [0.0, 0.9902659598601595], [0.996167064596453, 0.0], [0.37555675576733866, 0.9141105187966707]]
0.5883, [[0.47241041851604887, 0.0], [0.3731689821135019, 0.985457923950108], [0.9995504522171306, 0.0], [0.46770831756970893, 0.0], [0.3992780300773777, 0.27678761607516006], [0.4661570319191723, 0.0], [0.38160359317361675, 0.7506243433898729], [0.3769260072258314, 0.9149539371574087], [0.40017154805855465, 0.27681040513883554], [0.3770173458458961, 0.8555524781388927]]
0.5578, [[0.0, 0.8113873993698475], [0.9974337372796998, 0.0], [0.9670515037948766, 0.0], [0.37365133833064124, 0.9357403409728537], [0.37941174223955626, 0.7907525903578048], [0.5237483006278709, 0.0], [0.5220918430688233, 0.0], [0.0, 0.8786533211618961], [0.5078388784858248, 0.0], [0.37934496294633674, 0.8414723527989979]]
0.5576, [[0.0, 0.9871169223531451], [0.9958020692321848, 0.0], [0.9971294131165654, 0.0], [0.4006682535453114, 0.27682932510573566], [0.37753833471200543, 0.9072173652725619], [0.9979304020591945, 0.0], [0.3974173161344885, 0.27687754478510174], [1.0, 0.0], [0.9601499933063224, 0.0], [0.9986011738227942, 0.0]]
0.5256, [[0.46770831756970893, 0.0], [0.0, 0.2139144136112631], [0.9995504522171306, 0.0], [0.3759301127248841, 0.8584876291596534], [0.4014312483624683, 0.276895178638894], [0.39771230400412344, 0.2765846600160484], [0.39533832772491884, 0.2768074324963641], [0.007743307401546518, 0.2769074050803257], [0.006555077498227341, 0.2769893410036945], [0.3987316540419453, 0.27684046145873387]]
