mean:0.014583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean:0.012197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0099, [[0.0,0.0, 0.8862668265460026], [0.0,0.0, 0.7918112911010472], [0.0,0.0, 0.7906977750019022], [0.0,0.0, 0.790572760100946], [0.0,0.0, 0.7876702545844217], [0.0,0.0, 0.7876527337230831], [0.0,0.0, 0.7876138770385775], [0.0,0.0, 0.7870091396758566], [0.0,0.0, 0.787008906650265], [0.0,0.0, 0.5037091180922318]]
0.0154, [[0.4392203594110633,0.0, 0.0], [0.0,0.0, 0.999996055806937], [0.0,0.0, 0.7906545494204479], [0.0,0.0, 0.7880288463489487], [0.0,0.0, 0.7877605366880563], [0.0,0.0, 0.7875196548050828], [0.0,0.0, 0.7842621794075126], [0.0,0.0, 0.7838687776143252], [0.0,0.0, 0.7832907170213306], [0.0,0.0, 0.7809105270499911]]
0.0204, [[0.0,0.0, 0.999996055806937], [0.0,0.939683565219652, 0.0], [0.0,0.0, 0.8929885203619922], [0.0,0.6561963217520131, 0.0], [0.0,0.0, 0.8632122292609276], [0.0,0.3045960322797277, 0.0], [0.0,0.0, 0.8348384932126658], [0.0,0.0, 0.7932453996983324], [0.0,0.0, 0.7918112911010472], [0.0,0.0, 0.7907894432749131]]
0.0198, [[0.0,0.0, 0.0], [0.0,0.0, 0.8936432564102526], [0.0,0.0, 0.0], [0.0,0.5939, 0.0], [0.0,0.9879367130439276, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0183, [[0.0,0.9426993869586666, 0.0], [0.0,0.6561963217520131, 0.0], [0.0,0.0, 0.7902780240063915], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.47958325279033165], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.4794569771873472]]
0.012, [[0.0,0.0, 0.7907875258071879], [0.0,0.0, 0.45200540879041123], [0.0,0.3045960322797277, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.4289801128950232], [0.0,0.0, 0.7843931824003855], [0.0,0.0, 0.0]]
0.0179, [[0.0,0.0, 0.8615596123680188], [0.0,0.0, 0.0], [0.0,0.0, 0.4804441929547558], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.8280981608760065, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0774, [[0.0,0.0, 0.48017735569227354], [0.0,0.0, 0.9280965716440431], [0.0,0.0, 0.0], [0.0,0.0, 0.790572760100946], [0.0,0.0, 0.0], [1.0,0.4707568849697761, 0.0], [0.0,0.0, 0.7904770238668932], [0.0,0.0, 0.0], [0.0,0.0, 0.7903352870494837], [0.0,1.0, 0.0]]
0.0089, [[0.0,0.0, 0.4877936300974581], [0.0,0.0, 0.4433061924446067], [0.0,0.0, 0.0], [0.0,0.0, 0.7907097645014837], [0.0,0.0, 0.462530955953613], [0.0,0.0, 0.4624046803506285], [0.0,0.0, 0.43843102281147817], [0.0,0.0, 0.787845773454739], [0.0,0.0, 0.39060388986560163], [0.0,0.0, 0.7876475951758947]]
0.0089, [[0.0,0.0, 0.7906298127552185], [0.0,0.0, 0.48088377655578035], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.1549259498728662], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0144, [[0.0,0.5247507420984769, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.4144639750817296], [0.0,0.0, 0.7904001587110355], [0.0,0.0, 0.439332485797312], [0.0,0.0, 0.4217063335270622], [0.0,0.0, 0.0], [0.0,0.0, 0.4043142507083186], [0.0,0.0, 0.8169105580693746], [0.0,0.0, 0.4162105185615693]]
