mean:0.194948,,,,,,,,,,,,,,,,,,,,
mean:0.187617,,,,,,,,,,,,,,,,,,,,
0.1873, [[0.998925946096512, 0.0], [0.0, 0.7744226234831946], [0.9975056424760766, 0.0], [0.0, 0.5657588663540436], [0.005422361597120213, 0.0], [0.005770575444614401, 0.0], [0.0, 0.0], [0.0, 0.5343005284242299], [0.0, 0.0], [0.0, 0.0]]
0.1158, [[0.05953051718730885, 0.0], [0.0, 0.7697512995198623], [0.0, 0.5247893382377207], [0.0, 0.8293869730248804], [0.0, 0.7697512995198623], [0.0, 0.8881722042776106], [0.0, 0.7577870156263644], [0.0, 0.9278944146660857], [0.0, 0.7933719528590131], [0.0, 0.9986770898297711]]
0.2021, [[0.9964058226816822, 0.0], [0.0, 0.9223070763858603], [0.9986016247973575, 0.0], [0.9981229274369421, 0.0], [0.9967151230146486, 0.0], [0.9969683962401548, 0.0], [0.9965821271607358, 0.0], [0.9970755165610723, 0.0], [0.9987126922334777, 0.0], [0.9962057258693235, 0.0]]
0.2088, [[0.0, 0.9883463731121788], [1.0, 0.0], [0.9978047460947695, 0.0], [0.9956977540711549, 0.0], [0.9741057182073627, 0.0], [0.9740812680215238, 0.0], [0.9963749036125945, 0.0], [0.9954990826059527, 0.0], [0.0, 0.9481232719336553], [0.0, 0.9223070763858603]]
0.2086, [[0.0, 0.7744226234831946], [0.9987126922334777, 0.0], [0.0, 0.8570583842863375], [0.998548996594655, 0.0], [0.0, 0.9223070763858603], [0.9985197221569015, 0.0], [0.0, 0.9418727333042359], [0.998256252217122, 0.0], [0.0, 0.9868456953295524], [0.9981229274369421, 0.0]]
0.2086, [[0.9955382248317128, 0.0], [0.9974680352395622, 0.0], [0.9986016247973575, 0.0], [0.9987126922334777, 0.0], [0.0, 0.8693373143605417], [0.9970755165610723, 0.0], [0.0, 0.9868456953295524], [0.0100310024137799, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2091, [[0.9998243533734803, 0.0], [0.99601988252853, 0.0], [0.0, 0.0], [0.0, 0.8570583842863375], [0.9983972519435292, 0.0], [0.0, 0.0], [0.0, 0.9160717464862503], [0.9971475514135213, 0.0], [0.03832979198829458, 0.0], [0.0, 0.9911948934089931]]
0.1123, [[0.0, 0.9178322192928868], [0.0, 1.0], [0.0, 0.9380147024007011], [0.0, 0.9986770898297711], [0.0, 0.8876306737669161], [0.0, 0.9580398624181585], [0.0, 0.9911948934089931], [0.0, 0.8997176247926691], [0.023345600319281297, 0.0], [0.0, 0.9417889606285474]]
0.2085, [[0.0, 0.6276128276670562], [0.0, 0.0], [0.0, 0.9868456953295524], [0.99601988252853, 0.0], [0.9983658943060857, 0.0], [0.0, 0.0], [0.0, 0.8570583842863375], [0.0, 0.9223070763858603], [0.0, 0.8873973070274985], [0.0, 0.9418727333042359]]
0.0784, [[0.0, 0.683949447083945], [0.0, 0.0], [0.0, 0.6819132109969307], [0.0, 0.0], [0.0, 0.6816097134659016], [0.0, 0.0], [0.0, 0.6811478910983584], [0.0, 0.0], [0.0, 0.6803820471106365], [0.0, 0.0]]
0.2055, [[0.0, 0.5426197819460663], [0.0, 0.5633849712778445], [0.0, 0.7744226234831946], [0.0, 0.5330101309801697], [0.9744056989627672, 0.0], [0.9967151230146486, 0.0], [0.0, 0.8909142634657347], [0.0, 0.9417889606285474], [0.0, 0.9580398624181585], [0.0, 0.5710788792497095]]
0.2095, [[0.0, 0.5710788792497095], [0.9965821271607358, 0.0], [0.9958748260448312, 0.0], [0.05918780145319629, 0.0], [0.0, 0.9380147024007011], [0.0, 0.8856480537756451], [0.0, 0.683949447083945], [0.0, 0.9986770898297711], [0.0, 0.5022771455518609], [0.0, 0.5366157374030315]]
0.2099, [[0.9990763750425702, 0.0], [0.0, 0.9868456953295524], [0.0, 1.0], [0.9987126922334777, 0.0], [0.0, 0.923070006110869], [0.0, 0.9911948934089931], [0.9975056424760766, 0.0], [0.0, 0.8909142634657347], [0.0, 0.9380147024007011], [0.9974367872442076, 0.0]]
0.2097, [[0.0, 0.9986770898297711], [0.9985197221569015, 0.0], [0.0, 0.9868456953295524], [0.9975056424760766, 0.0], [0.0, 0.9380147024007011], [0.9974680352395622, 0.0], [0.0, 0.9278944146660857], [0.9970755165610723, 0.0], [0.0, 0.923070006110869], [0.9970702537408019, 0.0]]
0.21, [[1.0, 0.0], [0.0, 0.0], [0.0, 1.0], [0.0, 0.0], [0.9971475514135213, 0.0], [0.0, 0.7577870156263644], [0.0, 0.0], [0.0, 0.8566008757747706], [0.998548996594655, 0.0], [0.0, 0.0]]
0.2073, [[0.0, 0.9223070763858603], [0.0, 0.5426197819460663], [0.0, 0.8856480537756451], [0.0, 0.9580398624181585], [0.0, 0.8927772082060245], [0.0, 0.9883463731121788], [0.0, 0.9986770898297711], [0.0, 0.0], [0.0, 0.6665708006139063], [0.9746196106783354, 0.0]]
0.2086, [[0.9990763750425702, 0.0], [0.0, 0.9868456953295524], [0.9987126922334777, 0.0], [0.0, 0.923070006110869], [0.9978520018351129, 0.0], [0.0, 0.8873973070274985], [0.9974367872442076, 0.0], [0.0, 0.8856480537756451], [0.9966926463864111, 0.0], [0.009244161298740478, 0.0]]
0.1783, [[0.0, 0.6832610684638998], [0.0, 0.6614846152408915], [0.0, 0.6490539032825315], [0.0, 0.6637032093954357], [0.0, 0.6811478910983584], [0.0, 0.5633849712778445], [0.0, 0.6800733586013614], [0.0, 0.5366157374030315], [0.0, 0.5299314045884316], [0.9996945371401472, 0.0]]
0.2087, [[0.0, 0.9868456953295524], [0.9996945371401472, 0.0], [0.0, 0.923070006110869], [0.9993769040084196, 0.0], [0.0, 0.8909142634657347], [0.9987126922334777, 0.0], [0.0, 0.8873973070274985], [0.9985937305669521, 0.0], [0.0, 0.4666616206880293], [0.0, 0.4467499146212068]]
0.151, [[0.0, 0.411535713965716], [0.9983658943060857, 0.0], [0.0, 0.3949952490627432], [0.0, 0.3908229583834378], [0.0, 0.35614354811251814], [0.0, 0.22095981535450762], [0.9980401476597746, 0.0], [0.9976926918798488, 0.0], [0.9972146523719672, 0.0], [0.9957989537192683, 0.0]]
0.2099, [[0.0, 1.0], [0.0, 0.9868456953295524], [0.0, 0.923070006110869], [0.0, 0.9883463731121788], [0.0, 0.8909142634657347], [0.0, 0.9580398624181585], [0.9987126922334777, 0.0], [0.9975056424760766, 0.0], [0.9974680352395622, 0.0], [0.9970755165610723, 0.0]]
0.109, [[0.0, 0.5267424381646271], [0.0, 0.754262828808382], [0.0, 0.6603003484585616], [0.0002816255854297222, 0.0], [0.0002742947675876682, 0.0], [0.0, 0.9883463731121788], [0.0012590679643607722, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1782, [[0.03825648380987475, 0.0], [0.0, 0.6824149639663689], [0.9996945371401472, 0.0], [0.0, 0.6819132109969307], [0.0, 0.0], [0.0, 0.6816869791805686], [0.0, 0.0], [0.0, 0.6803820471106365], [0.0, 0.0], [0.0, 0.0]]
0.1098, [[0.0, 0.8873973070274985], [0.0, 0.0], [0.0, 0.9868456953295524], [0.0, 0.0], [0.010933303909830697, 0.0], [0.0, 0.0], [0.0, 0.8927772082060245], [0.0, 0.9481232719336553], [0.0076063344125442784, 0.0], [0.009244161298740478, 0.0]]
0.0777, [[0.0, 0.6765466379287334], [0.0, 0.0], [0.0, 0.6649457498999067], [0.0, 0.0], [0.0, 0.6525459824150079], [0.0, 0.0], [0.0, 0.47175664568154435], [0.0, 0.0], [0.0, 0.31636869208460094], [0.0, 0.0]]
0.2088, [[1.0, 0.0], [0.0, 0.923070006110869], [0.0, 0.9580398624181585], [0.0, 0.8693373143605417], [0.0, 0.9883463731121788], [0.0, 0.9223070763858603], [0.0, 0.8876306737669161], [0.0, 0.9160717464862503], [0.0, 0.3286060930183201], [0.0, 0.8570583842863375]]
0.2087, [[0.0, 0.8719923596682678], [0.9723056143907574, 0.0], [0.9996945371401472, 0.0], [0.0, 0.9868456953295524], [0.9967151230146486, 0.0], [0.9993769040084196, 0.0], [0.9716810930520201, 0.0], [0.9970755165610723, 0.0], [0.9987126922334777, 0.0], [0.9964766514711527, 0.0]]
0.2088, [[0.0, 0.5391470505057653], [1.0, 0.0], [0.0, 0.9883463731121788], [0.0, 0.9868456953295524], [0.0, 0.9580398624181585], [0.0, 0.923070006110869], [0.0, 0.8997176247926691], [0.0, 0.7119290943547312], [0.9998243533734803, 0.0], [0.9993769040084196, 0.0]]
0.2088, [[0.0, 0.9883463731121788], [0.9998243533734803, 0.0], [0.0, 0.9418727333042359], [0.0, 0.9223070763858603], [0.0, 0.9178322192928868], [0.0, 0.8107213737232647], [0.0, 0.5860230152403235], [0.0, 0.8107213737232647], [0.9983972519435292, 0.0], [0.0, 0.8570583842863375]]
0.1969, [[0.0, 0.8693373143605417], [0.0, 0.0], [0.9958888602322185, 0.0], [0.0, 0.0], [0.997921185993249, 0.0], [0.9955939230129063, 0.0], [0.0, 0.0], [0.9958746067606532, 0.0], [0.9971769354933637, 0.0], [0.9993769040084196, 0.0]]
0.2088, [[0.0, 0.9883463731121788], [0.9998243533734803, 0.0], [0.0, 0.9868456953295524], [0.998925946096512, 0.0], [0.0, 0.9418727333042359], [0.9987126922334777, 0.0], [0.0, 0.9223070763858603], [0.9985197221569015, 0.0], [0.0, 0.9178322192928868], [0.9983722535472455, 0.0]]
0.2099, [[0.0, 1.0], [0.9990495127307741, 0.0], [0.0, 0.8693373143605417], [0.0, 0.9911948934089931], [0.009085326912164182, 0.0], [0.0, 0.9380147024007011], [0.005092474794230984, 0.0], [0.0, 0.6640932565060724], [0.0, 0.0], [0.0, 0.0]]
0.0765, [[0.0, 0.6647170224209261], [0.0, 0.0], [0.0, 0.2599349683101079], [0.0, 0.21304769470184573], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2086, [[0.9990763750425702, 0.0], [0.9974680352395622, 0.0], [0.0, 0.9868456953295524], [0.9749953541172138, 0.0], [0.9739323740647111, 0.0], [0.9732309936216106, 0.0], [0.973027717188672, 0.0], [0.9736765790711588, 0.0], [0.0, 0.8909142634657347], [0.0, 0.8873973070274985]]
0.1638, [[0.0, 0.5391470505057653], [0.0, 0.5299314045884316], [0.0, 0.2581116318407962], [0.9972146523719672, 0.0], [0.9980401476597746, 0.0], [0.0, 0.0], [0.9969683962401548, 0.0], [0.008255111791559834, 0.0], [0.9983972519435292, 0.0], [0.0, 0.21133796437245078]]
0.2087, [[1.0, 0.0], [0.0, 0.9868456953295524], [0.9987126922334777, 0.0], [0.0, 0.9418727333042359], [0.998548996594655, 0.0], [0.0, 0.9223070763858603], [0.998256252217122, 0.0], [0.0, 0.9160717464862503], [0.9974367872442076, 0.0], [0.0, 0.8873973070274985]]
0.2042, [[0.04614505470933509, 0.0], [0.9990495127307741, 0.0], [0.9996945371401472, 0.0], [0.9960697696790085, 0.0], [0.0, 0.7744226234831946], [0.03755150349407059, 0.0], [0.998548996594655, 0.0], [0.0, 0.8566008757747706], [0.0, 0.923070006110869], [0.0, 0.9418727333042359]]
0.1942, [[0.0, 0.8693373143605417], [0.0, 0.3119447848435548], [0.0, 0.0], [0.0, 0.5089864717172427], [0.0, 0.0], [0.9721750306628014, 0.0], [0.0, 0.0], [0.0, 0.2863345947985187], [0.0, 0.0], [0.0, 0.0]]
0.2098, [[0.0, 0.9986770898297711], [0.9996945371401472, 0.0], [0.9990495127307741, 0.0], [0.9985937305669521, 0.0], [0.9980352137657711, 0.0], [0.9975860101272871, 0.0], [0.9958888602322185, 0.0], [0.9958746067606532, 0.0], [0.9993769040084196, 0.0], [0.9955939230129063, 0.0]]
0.0783, [[0.0, 0.6832610684638998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.679872507673829], [0.0, 0.018855540834845762]]
0.1806, [[0.9958888602322185, 0.0], [0.0, 0.6647170224209261], [0.0, 0.6803820471106365], [0.0, 0.7103863505938875], [0.0, 0.6649602496997198], [0.0, 0.6816869791805686], [0.0, 0.679872507673829], [0.0, 0.6816097134659016], [0.0, 0.6656660230882157], [0.0, 0.6832610684638998]]
0.21, [[1.0, 0.0], [0.0, 0.8107213737232647], [0.0, 0.9223070763858603], [0.0, 0.9223070763858603], [0.0, 0.8876306737669161], [0.0, 0.9178322192928868], [0.0, 0.9418727333042359], [0.0, 0.8570583842863375], [0.0, 1.0], [0.0, 0.9160717464862503]]
0.2087, [[0.0, 0.9883463731121788], [0.0, 0.8927772082060245], [0.0, 0.6085159302461917], [0.0, 0.6085159302461917], [0.0, 0.9580398624181585], [0.0, 0.5860230152403235], [0.0, 0.6402017280187631], [0.0, 0.0], [0.0, 0.5267424381646271], [0.9983722535472455, 0.0]]
0.2099, [[1.0, 0.0], [0.0, 0.8876306737669161], [0.0, 0.9986770898297711], [0.0, 0.9223070763858603], [0.0, 0.9417889606285474], [0.0, 0.8107213737232647], [0.0, 0.5343005284242299], [0.0, 0.9883463731121788], [0.0, 0.5657588663540436], [0.0, 0.5633849712778445]]
