mean:0.518941,,,,,,,,,,,,,,,,,,,,
mean:0.526496,,,,,,,,,,,,,,,,,,,,
0.8699, [[0.9878871211298041, 0.6996651455204554], [0.9712521008147353, 0.6541117679958567], [0.9768240250950255, 0.6462284412221645], [0.9519118708853229, 0.5078851141463435], [0.9555457345463816, 0.4630764682926851], [0.9749667170015953, 0.0], [0.9501756915805948, 0.0], [0.9200549994567078, 0.0], [0.8049422739269472, 0.0], [0.6619099517765202, 0.0]]
0.1052, [[0.9524771385659319, 0.0], [0.8637704889731981, 0.0], [0.657982764130355, 0.0], [0.6123577308955473, 0.0], [0.47476373581242337, 0.0], [0.4267214909145554, 0.0], [0.6235388064263728, 0.0], [0.6125859161104622, 0.0], [0.6221336658924238, 0.0], [0.6137748811776499, 0.0]]
0.8911, [[0.9825170781640177, 0.7231922837907816], [0.8502040646385786, 0.4514873775609774], [0.8195584810969834, 0.0], [0.8073244734380856, 0.0], [0.8008642713739811, 0.0], [0.7989262107547497, 0.0], [0.7858846778378392, 0.0], [0.7765981373706891, 0.0], [0.7749023343288614, 0.0], [0.773206531287034, 0.0]]
0.0904, [[0.8036502335141263, 0.0], [0.732628387071878, 0.0], [0.6218094026922817, 0.0], [0.6212689640253782, 0.0], [0.6070013832191262, 0.0], [0.596997263007335, 0.0], [0.5969852532591816, 0.0], [0.5969372142665679, 0.0], [0.5962046196292099, 0.0], [0.5938987479837551, 0.0]]
0.8793, [[0.9758953710483105, 0.7172843231486274], [0.9600274997283538, 0.6923581046090107], [0.9513466032047135, 0.5938511465561886], [0.8944160725147933, 0.6784254251683064], [0.9016434235740103, 0.588896242361471], [0.8975250447581438, 0.21722930693069004], [0.8927606457358668, 0.42410083707317153], [0.8996649866918781, 0.0], [0.888198128028093, 0.0], [0.8879962467135896, 0.0]]
0.6868, [[0.9702830705051199, 0.5416915492682935], [0.9561110022269906, 0.0], [0.8988978376967659, 0.43080701463414683], [0.9439173708309936, 0.0], [0.8915089815859463, 0.2273559867986926], [0.8934874184680786, 0.0], [0.9438769945680928, 0.0], [0.8536360469851341, 0.0], [0.9151290953828282, 0.0], [0.806920710809079, 0.0]]
0.7427, [[0.9635402346007109, 0.4545846009756106], [0.9592199744703408, 0.5481794360975596], [0.8880366229764904, 0.6025424277576387], [0.8855736709395505, 0.0], [0.8253322866917767, 0.0], [0.8542416909286439, 0.0], [0.8362338776749529, 0.0], [0.8461664383485132, 0.0], [0.7989262107547497, 0.0], [0.8303389432914575, 0.0]]
0.7867, [[0.984657020097752, 0.6253321015018125], [0.9039044942964467, 0.6008366545831173], [0.8988170851709646, 0.49497375414634104], [0.8278356149916172, 0.579253658536584], [0.870876711243713, 0.0], [0.8568257717542859, 0.0], [0.8042962537205366, 0.0], [0.7466793265613053, 0.0], [0.7490211498095432, 0.0], [0.6963659192286559, 0.0]]
1.0573, [[0.97956961097227, 0.865610918016692], [0.9901078155893401, 0.8518853804614622], [0.9967295227050473, 0.6224638632832725], [0.9671740982617697, 0.8316533333333334], [0.9885331413362148, 0.6110754158467115], [0.9669318406843657, 0.743784403935784], [0.9814672953286006, 0.5683033365853659], [0.9786005806626541, 0.6319742288969448], [0.8944160725147933, 0.5883277887105129], [0.9706868331341263, 0.66867885655101]]
0.7172, [[0.9815076715915014, 0.5631913970731699], [0.8805670143398696, 0.0], [0.7940003066808702, 0.0], [0.8353859761540391, 0.0], [0.8304600720801596, 0.0], [0.8453589130905003, 0.0], [0.6958254805617524, 0.0], [0.6965100362064968, 0.0], [0.6676746308901574, 0.0], [0.6938318623682862, 0.0]]
0.7596, [[0.966285820477955, 0.5059276546341481], [0.9635402346007109, 0.4545846009756106], [0.8366376403039595, 0.627086104609011], [0.9581701916349241, 0.0558169768976865], [0.8408367716456272, 0.0], [0.8546454535576504, 0.0], [0.8646183904941118, 0.0], [0.8279971200432196, 0.0], [0.8634878551328935, 0.0], [0.8594906051057287, 0.0]]
