HV,front
mean:1.192742,
1.2045353928528642,"[[0.9549853974848772, 0.9973838080680479], [0.9984897698290384, 0.8998526185784067], [0.9880643099391719, 0.9812552919824826], [0.9771516790264151, 0.9946608746841838], [0.9833387510171299, 0.9893195500252652], [0.9925462833497689, 0.9609376137780025], [0.9878694415300158, 0.967238291898265], [0.9777850013561734, 0.9852350766380327], [0.9919129610200107, 0.9523327572006064], [0.9855797377224285, 0.9651267758969176]]"
1.1817573959990786,"[[0.9797824025500259, 0.9765423929594071], [0.9652647060678763, 0.9815695048004043], [0.9927898688612145, 0.9731910339397002], [0.9704774360128092, 0.9786839666498233], [0.9867489481773665, 0.9389981399696817], [0.9849951324949594, 0.9669072174498905], [0.9599545419183648, 0.9809410791645612], [0.9856771719270065, 0.9528023902644435], [0.9826079944827935, 0.9364339991578239], [0.9741799357867802, 0.925147703469766]]"
1.204572695732313,"[[1.0, 0.9250883212059964], [0.9919616781222995, 0.9925662203132897], [0.9985872040336164, 0.9355793344281623], [0.9500649701536785, 0.9956033665150751], [0.9700876991944964, 0.9942419731345798], [0.9984897698290384, 0.8998526185784067], [0.9901104282353143, 0.9861777150917973], [0.9845566785743572, 0.9561604939363315], [0.9782721723790643, 0.9846066510021896], [0.9834849023239973, 0.9668025287182078]]"
1.203090901942246,"[[0.9500649701536785, 0.9956033665150751], [0.9919616781222995, 0.9925662203132897], [0.9985872040336164, 0.9355793344281623], [0.9793926657317136, 0.9913095156644769], [0.9877232902231484, 0.9665559090449721], [0.9777850013561734, 0.9852350766380327], [0.9843618101652011, 0.9197176719723767], [0.9780285868676188, 0.9683734461849419], [0.964631383738118, 0.982457892790972], [0.8318285628980474, 0.8897618858009094]]"
1.1913834903711606,"[[0.993130888577238, 0.8513588626410646], [0.9919129610200107, 0.9523327572006064], [0.9901104282353143, 0.9861777150917973], [0.9774439816401498, 0.9868059941047668], [0.9734004621501549, 0.9901573531244737], [0.9908411847696507, 0.9445658503452922], [0.9845566785743572, 0.9561604939363315], [0.9791003631179789, 0.9644004061815733], [0.9685287519212455, 0.9880628453764526], [0.988989934882665, 0.94305900707428]]"
1.1906080738902844,"[[0.9734004621501549, 0.9901573531244737], [0.9764209224920787, 0.9883770581943743], [0.9824618431759262, 0.9671064779349842], [0.9925462833497689, 0.9609376137780025], [0.9908411847696507, 0.9445658503452922], [0.9534751673139151, 0.983873536634664], [0.9581032920313791, 0.9735052467576217], [0.9650698376587197, 0.963570227471787], [0.9758363172646096, 0.9295826055246759], [0.9529879962910243, 0.9362139182246927]]"
1.1984720341935051,"[[0.9985872040336164, 0.9355793344281623], [0.9927898688612145, 0.9731910339397002], [0.9901104282353143, 0.9861777150917973], [0.9793926657317136, 0.9913095156644769], [0.9910360531788068, 0.9413901455280445], [0.9886489151666414, 0.9652314646286004], [0.9840207904491776, 0.9704681005558363], [0.9734004621501549, 0.9901573531244737], [0.9845566785743572, 0.923369607882769], [0.9803670077774954, 0.9700491990062321]]"
1.1953140012431598,"[[0.9758850343668984, 0.9942418265117062], [0.9901104282353143, 0.9861777150917973], [0.9925462833497689, 0.9609376137780025], [0.9603442787366776, 0.9917284172140812], [0.9742773699913587, 0.978846424793667], [0.9809028959026752, 0.9735052467576217], [0.9824618431759262, 0.9671064779349842], [0.9910360531788068, 0.9413901455280445], [0.9798311196523153, 0.9650355764695975]]"
1.2021579615791045,"[[0.9985872040336164, 0.9355793344281623], [0.9919616781222995, 0.9925662203132897], [0.9771516790264151, 0.9946608746841838], [0.9886489151666414, 0.9704005074111505], [0.981779803743879, 0.9742383611251475], [0.9809028959026752, 0.9735052467576217], [0.9841182246537556, 0.9586334353208692], [0.955764871121503, 0.9724579195721746], [0.9748132581165385, 0.9677450205490988], [0.9821208234599026, 0.9464306000505307]]"
