mean:0.065763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean:0.066627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0614, [[0.40348811389031153,0.5797381124966735, 0.0], [0.39666157796241935,0.7303284513121956, 0.0], [0.37717873324846035,0.93507525425312, 0.0], [0.3899258732843592,0.7580814713915043, 0.0], [0.0,0.0, 0.9894850476687869], [0.3766717447243054,0.7768555732098593, 0.0], [0.38558025736303014,0.2527936120219831, 0.0], [0.3802206643933906,0.7519594816681275, 0.0], [0.3806190125195125,0.3395838114450845, 0.0], [0.0,0.0, 0.0]]
0.0708, [[0.4644152215870539,0.8029760626962672, 0.0], [0.44890686246191036,0.87015050850624, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.421841318511023,0.995443877491446, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.9627226932864877], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0078, [[0.0,0.0, 0.6819612791878172], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.004622722481033507], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0949, [[0.0,0.0, 0.9738609646282401], [0.42284886795736965,0.8291454059292646, 0.0], [0.0,0.0, 0.9894850476687869], [0.4743721808215412,0.7707335834864826, 0.0], [0.0,0.0, 0.9609625059348585], [0.3802206643933906,0.7519594816681275, 0.0], [0.0,0.0, 0.9606917307947958], [0.8533349457517847,0.7429805634071748, 0.0], [0.0,0.0, 0.9392982606115277], [0.0,0.0, 0.9392982606115277]]
0.049, [[0.0,0.0, 0.9409643171113865], [0.24744707355194143,0.5408823269242555, 0.0], [0.36015840422325485,0.761346532577305, 0.0], [0.0,0.0, 0.9357842903807816], [0.0,0.0, 0.0], [0.0,0.0, 0.6850702876480541], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.6839177191201354], [0.0,0.0, 0.0]]
0.0102, [[0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.9182853352483147], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.04926568195128508], [0.0,0.0, 0.0]]
0.0573, [[0.421841318511023,0.995443877491446, 0.0], [0.0,0.0, 0.0], [0.4235798352027587,0.7303284513121956, 0.0], [0.4235008117167712,0.7666522570042313, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0633, [[0.44890686246191036,0.87015050850624, 0.0], [0.0,0.0, 0.999999255293894], [0.0,0.0, 0.999999255293894], [0.3857794314260908,0.7486944204823258, 0.0], [0.0,0.0, 0.9799187019751209], [0.27926136096678017,0.7564489407986035, 0.0], [0.0,0.0, 0.9797950807615619], [0.272305549023034,0.7307365839604213, 0.0], [0.27686673718286725,0.7176763392172174, 0.0], [0.0,0.0, 0.9738609646282401]]
0.068, [[0.4950170665359042,0.8462308653363381, 0.0], [0.0,0.0, 0.9785259526160863], [0.3832082753393043,0.8826798454047622, 0.0], [0.44890686246191036,0.87015050850624, 0.0], [0.48796422041147575,0.6984941047506367, 0.0], [0.4743721808215412,0.7707335834864826, 0.0], [0.4644152215870539,0.8029760626962672, 0.0], [0.0,0.0, 0.9632643925078339], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0657, [[0.43181803361700705,0.7760393079134089, 0.0], [0.42429104657665107,0.9544387749144704, 0.0], [0.0,0.0, 0.9723478707625102], [0.42284886795736965,0.8291454059292646, 0.0], [0.0,0.0, 0.9504076373563766], [0.0,0.0, 0.9357842903807816], [0.0,0.0, 0.9267253874275955], [0.0,0.0, 0.6840724737732656], [0.0,0.0, 0.6839177191201354], [0.0,0.0, 0.6827631675126904]]
0.0872, [[0.8533349457517847,0.7429805634071748, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.6837780033840948], [0.0,0.0, 0.0], [0.0,0.0, 0.6832001353637902], [0.0,0.0, 0.0], [0.0,0.0, 0.6828522233502538], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.4899002958181814,0.7307365839604213, 0.0]]
0.0701, [[0.44890686246191036,0.87015050850624, 0.0], [0.0,0.0, 0.999999255293894], [0.42371812630323785,1.0, 0.0], [0.24744707355194143,0.5408823269242555, 0.0], [0.43651993103329245,0.7752230426169585, 0.0], [0.0,0.0, 0.9738609646282401], [0.2676873460112016,0.8542040797263062, 0.0], [0.2515521428957918,0.7588977366879538, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.071, [[0.42371812630323785,1.0, 0.0], [0.0,0.0, 0.9741729964865627], [0.42429104657665107,0.9544387749144704, 0.0], [0.0,0.0, 0.9660561467571926], [0.42284886795736965,0.8291454059292646, 0.0], [0.0,0.0, 0.9426833966859746], [0.4644152215870539,0.8029760626962672, 0.0], [0.0,0.0, 0.9357842903807816], [0.43181803361700705,0.7760393079134089, 0.0], [0.0,0.0, 0.9038296960877419]]
0.0497, [[0.3565008441561361,0.7017591659364375, 0.0], [0.0,0.0, 0.999999255293894], [0.38558025736303014,0.2527936120219831, 0.0], [0.2562273607596213,0.761346532577305, 0.0], [0.0,0.0, 0.9864238587503567], [0.0,0.0, 0.0], [0.0,0.0, 0.9442316406798976], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0591, [[0.0,0.0, 0.935083224052796], [0.42284886795736965,0.8291454059292646, 0.0], [0.43651993103329245,0.7752230426169585, 0.0], [0.0,0.0, 0.6860570219966159], [0.38708311620248964,0.7319609819050965, 0.0], [0.0,0.0, 0.683744358714044], [0.3345657674047586,0.1438012685604211, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0]]
0.0734, [[0.4885568965563857,0.7184926045136678, 0.0], [0.42371812630323785,1.0, 0.0], [0.0,0.0, 0.999999255293894], [0.42429104657665107,0.9544387749144704, 0.0], [0.4644152215870539,0.8029760626962672, 0.0], [0.48097064190153815,0.790323950601288, 0.0], [0.0,0.0, 0.9789355409742657], [0.37717873324846035,0.93507525425312, 0.0], [0.43181803361700705,0.7760393079134089, 0.0], [0.0,0.0, 0.682540730964467]]
0.053, [[0.36760027148853125,0.7156356759760918, 0.0], [0.0,0.0, 0.9789355409742657], [0.0,0.0, 0.0], [0.2676873460112016,0.8542040797263062, 0.0], [0.35693540574826926,0.5093120011466696, 0.0], [0.0,0.0, 0.9688157297027824], [0.0,0.0, 0.0], [0.0,0.0, 0.9583898442218224], [0.0,0.0, 0.9581190690817597], [0.0,0.0, 0.9522710409742672]]
0.0646, [[0.37717873324846035,0.93507525425312, 0.0], [0.0,0.0, 0.9797950807615619], [0.42284886795736965,0.8291454059292646, 0.0], [0.43181803361700705,0.7760393079134089, 0.0], [0.43651993103329245,0.7752230426169585, 0.0], [0.0,0.0, 0.9654307425695562], [0.42383666153221955,0.7662441243560066, 0.0], [0.4240934878616811,0.7580814713915043, 0.0], [0.0,0.0, 0.9409643171113865], [0.3802206643933906,0.7519594816681275, 0.0]]
0.0683, [[0.0,0.0, 0.999999255293894], [0.42371812630323785,1.0, 0.0], [0.0,0.0, 0.9894850476687869], [0.421841318511023,0.995443877491446, 0.0], [0.0,0.0, 0.9799187019751209], [0.4203793840202449,0.9305191317445686, 0.0], [0.0,0.0, 0.9688157297027824], [0.43181803361700705,0.7760393079134089, 0.0], [0.0,0.0, 0.9593199821479442], [0.272305549023034,0.7307365839604213, 0.0]]
0.1076, [[0.0,0.0, 0.9789355409742657], [1.0,0.7870588894154872, 0.0], [0.48097064190153815,0.790323950601288, 0.0], [0.0,0.0, 0.9627226932864877], [0.4899002958181814,0.7307365839604213, 0.0], [0.4743721808215412,0.7707335834864826, 0.0], [0.0,0.0, 0.9537862200170923], [0.4836574404251303,0.3395838114450845, 0.0], [0.44756346320011464,0.6647351434363307, 0.0], [0.35316920528311757,0.6477357372483982, 0.0]]
0.0683, [[0.4279853945465891,0.9783584180843724, 0.0], [0.43181803361700705,0.7760393079134089, 0.0], [0.42371812630323785,1.0, 0.0], [0.0,0.0, 0.9864238587503567], [0.37806596316573193,0.9772193874572352, 0.0], [0.42284886795736965,0.8291454059292646, 0.0], [0.4203793840202449,0.9305191317445686, 0.0], [0.0,0.0, 0.9807569431677904], [0.0,0.0, 0.9680681937137968], [0.0,0.0, 0.9666815509448291]]
0.0622, [[0.4644152215870539,0.8029760626962672, 0.0], [0.0,0.0, 0.9894850476687869], [0.43181803361700705,0.7760393079134089, 0.0], [0.0,0.0, 0.9864238587503567], [0.42284886795736965,0.8291454059292646, 0.0], [0.0,0.0, 0.9789355409742657], [0.3802206643933906,0.7519594816681275, 0.0], [0.0,0.0, 0.9665315671351242], [0.27926136096678017,0.7564489407986035, 0.0], [0.0,0.0, 0.9583898442218224]]
0.0613, [[0.4644152215870539,0.8029760626962672, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.42371812630323785,1.0, 0.0], [0.0,0.0, 0.0], [0.43181803361700705,0.7760393079134089, 0.0], [0.4203793840202449,0.9305191317445686, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.2616437716994233,0.7372667063320228, 0.0]]
