0.4794, [[0.2752, 0.997113800235258], [0.2752, 0.9834652766838848], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9758535053955915], [0.2752, 0.9751219604664245], [0.2752, 0.9729205643635247], [0.2752, 0.9699757910295096], [0.16898529467269838, 0.9625706073236844], [0.2752, 0.9569587890349307], [0.2752, 0.9553111593617348]]
1.1846, [[0.2752, 0.9960639590344194], [0.3835393792145618, 0.9930717830000512], [1.0, 0.9624516228711707], [0.2752, 0.9956440225540837], [0.5298358296783481, 0.9584709719224671], [0.36830016562458323, 0.933177037999284], [0.3484891879576083, 0.9714591648340408], [0.2752, 0.974549600419373], [0.2752, 0.9772319318263182], [0.2752, 0.9776992710070066]]
0.9317, [[0.7616291112056195, 0.9677100889377589], [0.2752, 0.9825203093642919], [0.2752, 0.9847776333043523], [0.41249388503551565, 0.9706226725310694], [0.2752, 0.9792656179102951], [0.2752, 0.9856699799519255], [0.2752, 0.9597596639390376], [0.2752, 0.9910769744796195], [0.2752, 0.9928618147598834], [0.2752, 0.9977962521352223]]
0.5889, [[0.2752, 0.9971138737278167], [0.4399244694974799, 0.9761074956784125], [0.2752, 0.9833602558175216], [0.2752, 0.9904994699534598], [0.2752, 0.9893970815731602], [0.2752, 0.9774266136142791], [0.2752, 0.9850400752314223], [0.2752, 0.9910769744796195], [0.4063981995995297, 0.9722144478596634], [0.2752, 0.9889771450928246]]
0.5895, [[0.2752, 0.9971138737278167], [0.33782173844462604, 0.9851636897151332], [0.4399244694974799, 0.9761074956784125], [0.2752, 0.981050458190559], [0.2752, 0.9383824424385004], [0.2752, 0.9703009221091393], [0.2752, 0.9363334699023167], [0.2752, 0.9663791386999437], [0.2752, 0.9515399622052881], [0.2752, 0.9573794604408531]]
0.4776, [[0.2752, 0.9922843102337238], [0.2752, 0.9907619853730885], [0.33782173844462604, 0.9825727830511942], [0.2752, 0.9846200652585281], [0.2752, 0.9839901605380248], [0.2752, 0.9821680595305069], [0.2752, 0.9787441147138546], [0.2752, 0.9796330807037283], [0.2752, 0.9792961173221502], [0.2752, 0.9870873574387563]]
0.3946, [[0.2752, 0.9490698038152713], [0.0, 0.9590081290339078], [0.2752, 0.9477871381885133], [0.22731187778175166, 0.9438585199713598], [0.0, 0.9474520856134608], [0.2752, 0.9328843171380351], [0.05073413987626304, 0.9304410570244974], [0.0, 0.9456578382856851], [0.0, 0.9169061529688539], [0.0, 0.9134968331713803]]
0.4789, [[0.33782173844462604, 0.9851636897151332], [0.2752, 0.9951715388942873], [0.2752, 0.9833602558175216], [0.2752, 0.9950665180279241], [0.2752, 0.9729205643635247], [0.2752, 0.9928618147598834], [0.2752, 0.9666753872040097], [0.2752, 0.9893970815731602], [0.2752, 0.9875072939190918], [0.2752, 0.9770626049711041]]
0.4116, [[0.2752, 0.997113800235258], [0.2752, 0.9509032961693858], [0.2752, 0.9423517020406076], [0.2752, 0.9935441931672889], [0.2752, 0.9548826977445916], [0.2752, 0.9934917194803866], [0.2752, 0.9881408732675293], [0.0, 0.949327395233468], [0.0, 0.9372644736357592], [0.0, 0.6435257716701904]]
0.4242, [[0.2752, 0.9912072767861709], [0.28905625495668347, 0.9667770274126732], [0.2752, 0.9849723150923133], [0.2752, 0.9846200652585281], [0.2752, 0.9824153619904874], [0.2752, 0.9758535053955915], [0.2752, 0.9741600898583337], [0.2752, 0.9732468713240935], [0.2281108720709124, 0.973124800184115], [0.2752, 0.9729917051603334]]
0.6110, [[0.2752, 0.9934736403109496], [0.3835393792145618, 0.9930717830000512], [0.4597354471644548, 0.9804205534700557], [0.2752, 0.9919168474402905], [0.2752, 0.9900795334731244], [0.2752, 0.9830452667109906], [0.2752, 0.9647567904669361], [0.2752, 0.9636281652431852], [0.2752, 0.9608078148110264], [0.2752, 0.9569587890349307]]
0.6750, [[0.2752, 0.9805593809134149], [0.33172605300862634, 0.958879076100854], [0.5298358296783481, 0.9584709719224671], [0.2752, 0.9760924297038818], [0.2752, 0.9703043027668389], [0.2752, 0.9633189820487904], [0.2752, 0.9578363636782079], [0.2752, 0.9521428216641947], [0.23130684922757713, 0.9502189334628957], [0.2752, 0.9500227083312023]]
0.5537, [[0.4109699636765122, 0.931470099831228], [0.31953468213664066, 0.990604490819823], [0.2752, 0.9956440225540837], [0.2752, 0.9752150755382806], [0.2752, 0.9792656179102951], [0.2752, 0.9826452467140592], [0.2752, 0.974549600419373], [0.2752, 0.9793876155577149], [0.2752, 0.9512639976474198], [0.0, 0.896911693960006]]
0.4069, [[0.2752, 0.9846200652585281], [0.2752, 0.9587554616171432], [0.2752, 0.9722059227228559], [0.2752, 0.9578363636782079], [0.2752, 0.9335112086636322], [0.15700038033522196, 0.9507194177875518], [0.2752, 0.9497720987060809], [0.17857322614267804, 0.9375439658364444], [0.2752, 0.9344064215209942], [0.0, 0.9359007457167697]]
0.6306, [[0.2752, 0.9950665180279241], [0.2752, 0.9900795334731244], [0.2752, 0.9878222830256227], [0.4673550539594441, 0.9865624000920574], [0.2752, 0.9893156518181354], [0.2752, 0.9882422195059581], [0.2752, 0.9834127295044239], [0.4780225034724263, 0.9254958162430318], [0.2752, 0.9649227366644504], [0.2752, 0.9506780414770112]]
0.4076, [[0.2752, 0.9864574527182529], [0.2752, 0.981997042346443], [0.2752, 0.9742931113895567], [0.2752, 0.9690252382754565], [0.2752, 0.9665619146933975], [0.0, 0.9566259412366389], [0.0, 0.9497345440085919], [0.0, 0.945576702500895], [0.0, 0.9431945881961847], [0.0, 0.7883823044397461]]
0.4116, [[0.2752, 0.997113800235258], [0.2752, 0.9628839061013655], [0.2281108720709124, 0.973124800184115], [0.2752, 0.9692210959443563], [0.2752, 0.9490698038152713], [0.2752, 0.9497720987060809], [0.2752, 0.9495378044289879], [0.2504827121675365, 0.9690273695596584], [0.0, 0.6571980126849895], [0.19774908908263739, 0.9556846485449804]]
0.4111, [[0.2752, 0.9956440225540837], [0.2752, 0.9347890972740754], [0.2752, 0.9490964816140746], [0.2752, 0.9896071233058866], [0.2752, 0.9900270597862221], [0.2752, 0.9368279278371605], [0.2752, 0.9459222645118396], [0.2752, 0.9537295260062395], [0.2752, 0.954279838285685], [0.2752, 0.9582713661330743]]
