HV,front
mean:0.342207,
0.398167392023659,"[[0.9413607249221454, 0.11167884955752508], [0.671802061097087, 0.2981576519174065], [0.8470292788402691, 0.2184795693215352], [0.0, 0.4491], [0.0, 0.3700018761061988], [0.7843555225523257, 0.04066923598820215], [0.662796662012558, 0.2564756961651922], [0.5515898022895863, 0.2587734513274376], [0.0, 0.35425908849557647], [0.5754078204290425, 0.051283657817113124]]"
0.3590354501644029,"[[0.8703952348789444, 0.0575277817109153], [0.0833915441427264, 0.30615195575221704], [0.0, 0.4382500619469039], [0.8066586137429821, 0.10036376696165387], [0.671802061097087, 0.2981576519174065], [0.0, 0.4115336902654901], [0.662796662012558, 0.2564756961651922], [0.0, 0.3708423746312684], [0.0, 0.3671639056047246], [0.0, 0.30680698525074085]]"
0.36660745147112683,"[[0.9744201121471603, 0.0], [0.0, 0.4299392831858439], [0.8066586137429821, 0.10036376696165387], [0.762809894836068, 0.1260085398230106], [0.671802061097087, 0.2981576519174065], [0.9652053689206395, 0.0], [0.0, 0.4288985958702067], [0.535037822663816, 0.1003887905604735], [0.5745661943463762, 0.0], [0.5571725886379397, 0.0]]"
0.3811111207616469,"[[0.8470292788402691, 0.2184795693215352], [1.0, 0.11672478466076924], [0.662796662012558, 0.2564756961651922], [0.09698191441044333, 0.3399765014749301], [0.0, 0.34915280235988466], [0.9413607249221454, 0.11167884955752508], [0.46467788215291617, 0.24842545722714213], [0.0, 0.3211852507374629], [0.768729331617487, 0.0]]"
0.3525536776535832,"[[1.0, 0.11672478466076924], [0.0, 0.4491], [0.7377294375726124, 0.12129232743362976], [0.6475351757135425, 0.21508666371681576], [0.6620391985381593, 0.2124636017699151], [0.46467788215291617, 0.24842545722714213], [0.9357959773892474, 0.006210268436582064], [0.0, 0.3530476519174047], [0.458, 0.24218280530973743], [0.458, 0.2397658200589994]]"
0.4019915324741377,"[[0.9652053689206395, 0.0], [0.43101090973605993, 0.2826400766961662], [0.16638373292044303, 0.6144574520547945], [0.9413607249221454, 0.11167884955752508], [0.0, 0.44314879941003044], [0.014849875649668965, 0.3107386342182916], [0.6948906699648995, 0.0], [0.684987536392192, 0.013673188790564242], [0.0, 0.28980565781711287], [0.0, 0.2882468348082612]]"
0.3183278281758736,"[[0.9652053689206395, 0.0], [0.8703952348789444, 0.0575277817109153], [0.15689750701928887, 0.35425467256637366], [0.762809894836068, 0.1260085398230106], [0.1985779192689209, 0.2980030943952806], [0.458, 0.24585980235988378], [0.0, 0.33953785250737734], [0.6347985676625256, 0.022709651917404164], [0.5292025484906644, 0.0], [0.0, 0.0]]"
0.36805607368044096,"[[0.662796662012558, 0.2564756961651922], [0.0, 0.3739585486725692], [0.9922213206529377, 0.006010079646019757], [0.458, 0.2572514277286166], [0.8470292788402691, 0.2184795693215352], [0.9413607249221454, 0.11167884955752508], [0.458, 0.2385161120943995], [0.4493216251661183, 0.24818699705015163], [0.6347705134597705, 0.18856164896755329], [0.7377294375726124, 0.12129232743362976]]"
0.3558058402707458,"[[0.0, 0.4491], [0.9744201121471603, 0.0], [0.7411801045115449, 0.20747360176991575], [0.43726837447981814, 0.2525940943952807], [0.4277982357639598, 0.2987273067846631], [0.12725919500687372, 0.3637783598820082], [0.458, 0.2160979115044252], [0.0, 0.4491], [0.7843555225523257, 0.04066923598820215], [0.0, 0.42396158702065195]]"
0.26339349051037597,"[[0.9922213206529377, 0.006010079646019757], [0.0, 0.37804769911504604], [0.762809894836068, 0.1260085398230106], [0.9413607249221454, 0.11167884955752508], [0.0, 0.37793141297935356], [0.9744201121471603, 0.0], [0.0, 0.35020968141593056], [0.0, 0.30480068141593064], [0.0, 0.27076564306784684], [0.0, 0.18311239233038432]]"
0.35202528600006133,"[[0.8470292788402691, 0.2184795693215352], [0.45614760347501065, 0.255096454277286], [0.0, 0.4491], [0.17287172161967862, 0.3167089705014753], [0.0, 0.4491], [0.8096043050323141, 0.047859840707968504], [0.44636077599468155, 0.10279252802360296], [0.0833915441427264, 0.30615195575221704], [0.0, 0.40303891445428164], [0.5558820953111852, 0.029981215339234965]]"
0.4188810827272365,"[[1.0, 0.11672478466076924], [0.0, 0.4491], [0.3367917391344476, 0.38803800294985313], [0.44028645656049686, 0.25665674926254045], [0.0, 0.4491], [0.0, 0.4491], [0.8470292788402691, 0.2184795693215352], [0.0, 0.4491], [0.8703952348789444, 0.0575277817109153], [0.5320360229689738, 0.04656155752212674]]"
0.40670196912487844,"[[0.0, 0.4491], [1.0, 0.11672478466076924], [0.6788717201914849, 0.22747776106194692], [0.3367917391344476, 0.38803800294985313], [0.7377294375726124, 0.12129232743362976], [0.4233302533158252, 0.29144838348082924], [0.0, 0.41546533923304085], [0.8703952348789444, 0.0575277817109153], [0.676907925998597, 0.2124768495575237], [0.0, 0.3826167138643092]]"
0.2212206772151966,"[[0.4535454138681552, 0.20072311799410492], [0.3034424941917884, 0.2993219852507392], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.0, 0.4491], [0.4501152548409365, 0.0], [0.43407477814413187, 0.137598882005903], [0.4340328073440214, 0.0], [0.41604841926715075, 0.0]]"
0.31288061279935453,"[[0.9413607249221454, 0.11167884955752508], [0.1596008356439702, 0.2951813156342204], [0.4347272333094871, 0.21860174336283322], [0.0, 0.4491], [0.0, 0.4491], [0.7407312372674566, 0.0], [0.359598002440851, 0.1985210412979352], [0.0, 0.44875702949852814], [0.0, 0.39772802359882464], [0.0, 0.18299316224189172]]"
0.4003577478917781,"[[0.8470292788402691, 0.2184795693215352], [0.09688361155136366, 0.2845418702064898], [0.31553374585854427, 0.2834658554572298], [0.0, 0.9998661347517686], [0.7367755946789235, 0.07383580825959124], [0.0, 0.5904681908713754], [0.4548159844533206, 0.03279710619468966], [0.0, 0.4491], [0.0, 0.3719890442477897], [0.0, 0.3574282536873167]]"
0.30298403962530973,"[[0.7367755946789235, 0.07383580825959124], [0.5632884048386488, 0.14965142477876517], [0.4465820765770828, 0.26741248082596347], [0.0, 0.43779669321533987], [0.44705901748743027, 0.24859031858407118], [0.9744201121471603, 0.0], [0.458, 0.2211938938053139], [0.9357959773892474, 0.006210268436582064], [0.47996742265468695, 0.05740707964601997], [0.0, 0.34146614159292327]]"
0.31696886136061075,"[[0.0, 0.4491], [0.8066586137429821, 0.10036376696165387], [0.5543952225651406, 0.2682323716814164], [0.09698191441044333, 0.3399765014749301], [0.15625853843527363, 0.2751536047197671], [0.0, 0.4491], [0.0, 0.3783523982300897], [0.5754078204290425, 0.051283657817113124], [0.0, 0.3486170029498535], [0.0, 0.3453506873156349]]"
0.3412910666668415,"[[0.0, 0.4491], [0.9413607249221454, 0.11167884955752508], [0.458, 0.2525572949852552], [0.2715677921353173, 0.3357504572271388], [0.0, 0.40791262831858854], [0.7648297974344662, 0.0], [0.535037822663816, 0.1003887905604735], [0.458, 0.1506258731563439], [0.02251749865785713, 0.2313343392330388], [0.5198324447703128, 0.0]]"
0.2108451377094107,"[[0.0, 0.4491], [0.43601688153106666, 0.16018194395280633], [0.15507890412632105, 0.1728203333333337], [0.0, 0.4491], [0.6168438778989783, 0.12414501769911518], [0.43302169261408485, 0.12603503539823294], [0.0, 0.3991308171091478], [0.0, 0.35841742182891195], [0.0, 0.3537424247787646], [0.0, 0.24499133628318912]]"
0.27175318015863686,"[[0.0, 0.4491], [0.0, 0.4491], [0.7843555225523257, 0.04066923598820215], [0.458, 0.21680887610619906], [0.4549342657990867, 0.27360066961652085], [0.7407312372674566, 0.0], [0.458, 0.030952719764013554], [0.0, 0.38958210619469363], [0.458, 0.0], [0.0, 0.37245271681416214]]"
0.3016468880103105,"[[0.762809894836068, 0.1260085398230106], [0.0, 0.4491], [0.4233302533158252, 0.29144838348082924], [0.44028645656049686, 0.25665674926254045], [0.458, 0.24367833333333608], [0.0, 0.4491], [0.70187616645103, 0.09766269026548896], [0.15603735700234478, 0.28968789970501774], [0.16223043712434312, 0.2649793038348116], [0.6881857155063243, 0.0]]"
0.3613657557177402,"[[1.0, 0.11672478466076924], [0.0, 0.4491], [0.12725919500687372, 0.3637783598820082], [0.7377294375726124, 0.12129232743362976], [0.458, 0.19042075516224585], [0.4277982357639598, 0.2987273067846631], [0.24333029586478358, 0.299492734513279], [0.0, 0.4448312684365829], [0.0, 0.4353473244837792], [0.0, 0.4244046519174076]]"
0.25952096525621177,"[[0.0, 0.4491], [0.768729331617487, 0.0], [0.458, 0.2538246666666666], [0.4352843002927729, 0.2802127876106198], [0.6243624042374646, 0.0], [0.08739738565020946, 0.22033867551622777], [0.0, 0.41374312684366277], [0.5579019979095834, 0.0], [0.0, 0.25418530088496033], [0.458, 0.0]]"
0.3188057344206005,"[[0.9413607249221454, 0.11167884955752508], [0.458, 0.2572514277286166], [0.0, 0.42867338348083], [0.6243624042374646, 0.0], [0.458, 0.13770928023598994], [0.44925294567502844, 0.14514864896755517], [0.0, 0.29033556932153853], [0.44979093502190026, 0.11344522123894211], [0.0, 0.2354190737463128], [0.0, 0.16299194690265548]]"
0.32796268882068763,"[[0.0, 0.4491], [0.762809894836068, 0.1260085398230106], [0.0, 0.4491], [0.662796662012558, 0.2564756961651922], [0.43101090973605993, 0.2826400766961662], [0.06695039096170947, 0.29644279941003143], [0.04062980044322144, 0.34509456342183303], [0.47396382326500036, 0.06712212389380587], [0.4400346317598332, 0.22597340117994258], [0.458, 0.09014825073746482]]"
0.3533628150372999,"[[0.662796662012558, 0.2564756961651922], [0.8470292788402691, 0.2184795693215352], [0.0, 0.40879434218289173], [0.44484982719070093, 0.2734210884955754], [0.458, 0.24218280530973743], [0.8092115461937361, 0.0], [0.0, 0.3742411681415934], [0.762809894836068, 0.1260085398230106], [0.458, 0.20967126253687737], [0.0, 0.3714974041297975]]"
0.35098439750086247,"[[0.0, 0.4491], [0.8066586137429821, 0.10036376696165387], [0.671802061097087, 0.2981576519174065], [0.05100075207608917, 0.323195970501476], [0.0, 0.4491], [0.3034424941917884, 0.2993219852507392], [0.0, 0.4491], [0.49946509356978913, 0.0], [0.44925294567502844, 0.14514864896755517], [0.0, 0.2208759469026564]]"
0.3964288376120984,"[[0.0, 0.4491], [0.671802061097087, 0.2981576519174065], [0.15689750701928887, 0.35425467256637366], [0.9357959773892474, 0.006210268436582064], [0.8470292788402691, 0.2184795693215352], [0.0, 0.4418873156342194], [0.7992803584182735, 0.05998156637168402], [0.7159874304370668, 0.09399894100295116], [0.6455994357234096, 0.15445889970501883], [0.0, 0.39089216519174125]]"
