HV,front
mean:0.018915,
0.004855382726415811,"[[0.2968987855735575, 0.0, 0.5665532451520293, 0.0], [0.0, 1.0, 0.0, 0.0], [0.5329879231742278, 0.0, 0.0, 0.15383419145227142], [0.3976141884874537, 0.0, 0.0, 0.01848253851898634], [0.29460407679403366, 0.0, 0.5229386257362042, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [0.38804379740650297, 0.0, 0.0, 0.0], [0.27730491342545893, 0.0, 0.5224349927175457, 0.0], [0.3361007762380049, 0.0, 0.0, 0.0], [0.2767430905495705, 0.0, 0.0, 0.0]]"
0.005129439974597479,"[[0.3251666965691394, 0.0, 0.5779307154212382, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [0.27889411061403335, 0.0, 0.5863525552637926, 0.0], [0.5437991480153532, 0.0, 0.0, 0.1574779143058948], [0.0, 0.3479675096901713, 0.0, 0.0], [0.0, 0.3479675096901713, 0.0, 0.0], [0.26974066050226553, 0.0, 0.19328497989870466, 0.0], [0.5389279540954597, 0.0, 0.0, 0.1551144184008418], [0.3300440332304198, 0.0, 0.0, 0.0], [0.0, 0.01077132784223469, 0.0, 0.0]]"
0.006813939597605267,"[[0.0, 0.9827205695847694, 0.0, 0.0], [0.407940136759006, 0.0, 0.590283000060453, 0.025553982732753916], [0.6286, 0.0, 0.0, 0.18366095300953572], [0.0, 0.9827205695847694, 0.0, 0.0], [0.36632306386206004, 0.0, 0.5311602767219697, 0.0], [0.5389279540954597, 0.0, 0.0, 0.1551144184008418], [0.0, 0.3479675096901713, 0.0, 0.0], [0.4889997521018987, 0.0, 0.0, 0.11603100406387235], [0.4790546537963407, 0.0, 0.0, 0.09049263158324616], [0.4335922247911308, 0.0, 0.0, 0.050483555380406796]]"
0.0007556361447437652,"[[0.0, 0.1135830095845104, 0.0, 0.0], [0.0, 0.0, 0.16233610271568832, 0.0], [0.21545845376544756, 0.0, 0.07623376004931558, 0.0], [0.0006023183656129323, 0.0010788362057101623, 0.0, 0.0], [0.0, 0.03102770549392499, 0.0, 0.0], [0.13161254618144855, 0.0, 0.0, 0.0], [0.0, 0.0, 0.01248762752970699, 0.0], [0.061248996715142966, 0.0, 0.0, 0.0], [0.019461664276990066, 0.0, 0.0, 0.0], [0.0024850618660719, 0.0, 0.0, 0.0]]"
0.004833581137652175,"[[0.3558804035041548, 0.0, 0.5305908974682395, 0.0], [0.0, 0.3479675096901713, 0.0, 0.0], [0.6286, 0.0, 0.0, 0.18366095300953572], [0.22116252835370245, 0.0, 0.07360631341778609, 0.0], [0.5826028453570518, 0.0, 0.0, 0.16427690419276395], [0.0, 0.017124318538711863, 0.0, 0.0], [0.5285282929272636, 0.0, 0.0, 0.14579975487105712], [0.5176986398619771, 0.0, 0.0, 0.1423342788987472], [0.12777525964025885, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
0.001010769797184792,"[[0.0, 0.6383450314851874, 0.0, 0.0], [0.2724247656996046, 0.0, 0.0, 0.0], [0.2720334534322552, 0.0, 0.0, 0.0], [0.0, 0.34787540444601434, 0.0, 0.0], [0.27059273458257715, 0.0, 0.0, 0.0], [0.0, 0.3137472507822475, 0.0, 0.0], [0.2699873261297869, 0.0, 0.0, 0.0], [0.26977227201957893, 0.0, 0.0, 0.0], [0.03932620375217157, 0.0, 0.0, 0.0], [0.023490416258904388, 0.0, 0.0, 0.0]]"
0.002946328479469408,"[[0.27972079968801755, 0.0, 0.5842819703092578, 0.0], [0.0, 0.3479675096901713, 0.0, 0.0], [0.27383530991911986, 0.0, 0.0, 0.0], [0.27109708197244115, 0.0, 0.19385782436778812, 0.0], [0.0, 0.3137472507822475, 0.0, 0.0], [0.27362312958321316, 0.0, 0.0, 0.0], [0.0, 0.11092821581837858, 0.0, 0.0], [0.27359439184020096, 0.0, 0.0, 0.0], [0.27234334209440336, 0.0, 0.0, 0.0], [0.2721148770374564, 0.0, 0.0, 0.0]]"
0.0047454540426729985,"[[0.0, 0.10134595146588007, 0.0, 0.0], [0.3958696499335449, 0.0, 0.5974371176267523, 0.015860016161562587], [0.491831555881307, 0.0, 0.0, 0.10474479177567379], [0.0, 0.07122625753408073, 0.0, 0.0], [0.2790459416896145, 0.0, 0.5861456232034066, 0.0], [0.3558804035041548, 0.0, 0.5305908974682395, 0.0], [0.44406559885597113, 0.0, 0.0, 0.05516663101866345], [0.41220319928158605, 0.0, 0.0, 0.0254759314721163], [0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.00188107291877774, 0.0, 0.0]]"
0.12322818807345312,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.9101503146566372], [0.0, 0.9827205695847694, 0.0, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [0.0, 0.9827205695847694, 0.0, 0.0], [0.5531238294408238, 0.0, 0.9751739437728195, 0.16096013160600622], [0.0, 0.003899985831508452, 0.0, 0.0], [0.5412191966328117, 0.0, 0.0, 0.15379873901369562], [0.40178510988922883, 0.0, 0.5973233260660513, 0.011848181364789417], [0.37080726507457223, 0.0, 0.6437578689361392, 0.005026501185062254]]"
0.019307907906967042,"[[0.5531238294408238, 0.0, 0.9751739437728195, 0.16096013160600622], [0.0, 0.9827205695847694, 0.0, 0.0], [0.4403738112823823, 0.0, 0.0, 0.07024613457384977], [0.3676253250361047, 0.0, 0.15457596964117085, 0.0], [0.27016118947501067, 0.0, 0.1642837739105721, 0.0], [0.0, 0.10134595146588007, 0.0, 0.0], [0.23990220836462672, 0.0, 0.05483229068435708, 0.0], [0.0, 0.05850906044412342, 0.0, 0.0], [0.0, 0.05850893576551506, 0.0, 0.0], [0.0, 0.0010788362057101623, 0.0, 0.0]]"
0.0012259656235870517,"[[0.0, 0.05850893576551506, 0.0, 0.0], [0.47961364326255784, 0.0, 0.0, 0.10141980807251169], [0.27406425393845035, 0.0, 0.0, 0.0], [0.0, 0.04322570727436307, 0.0, 0.0], [0.27390188569043145, 0.0, 0.0, 0.0], [0.0, 0.018788435094120357, 0.0, 0.0], [0.2726091662172662, 0.0, 0.0, 0.0], [0.2723749536117168, 0.0, 0.0, 0.0], [0.10367454728904466, 0.0, 0.0, 0.0], [0.10265339827184658, 0.0, 0.0, 0.0]]"
0.01792305175037648,"[[0.5417106159437721, 0.0, 0.9735928599714556, 0.1585454266230104], [0.0, 0.11092821581837858, 0.0, 0.0], [0.36459695353231214, 0.0, 0.0, 0.0], [0.3448357544903232, 0.0, 0.11550797684967821, 0.0], [0.29460407679403366, 0.0, 0.5229386257362042, 0.0], [0.0, 0.003935059482522207, 0.0, 0.0], [0.31923280838929435, 0.0, 0.0, 0.0], [0.0, 0.003899985831508452, 0.0, 0.0], [0.31485303378036117, 0.0, 0.0, 0.0], [0.2772680333219266, 0.0, 0.0, 0.0]]"
0.0029597153934682076,"[[0.0, 0.017124318538711863, 0.0, 0.0], [0.0, 0.017124318538711863, 0.0, 0.0], [0.3341350989941638, 0.0, 0.5326096440451217, 0.0], [0.27972079968801755, 0.0, 0.5842819703092578, 0.0], [0.2979280757357776, 0.0, 0.0, 0.0], [0.2738410574677223, 0.0, 0.0, 0.0], [0.27190988113730274, 0.0, 0.0, 0.0], [0.27145678272247714, 0.0, 0.0, 0.0], [0.05344678000561385, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]"
0.006374592129345614,"[[0.5412191966328117, 0.0, 0.0, 0.15379873901369562], [0.0, 0.9827205695847694, 0.0, 0.0], [0.407940136759006, 0.0, 0.590283000060453, 0.025553982732753916], [0.5285282929272636, 0.0, 0.0, 0.14579975487105712], [0.0, 0.6383450314851874, 0.0, 0.0], [0.4032532250807226, 0.0, 0.0, 0.02856676139336558], [0.0, 0.04322570727436307, 0.0, 0.0], [0.4012506913885595, 0.0, 0.0, 0.01660930826368368], [0.3973070514181035, 0.0, 0.0, 0.013377986073286618], [0.3296570405230386, 0.0, 0.0, 0.0]]"
0.004623940642886185,"[[0.360413746647763, 0.0, 0.6435087918532713, 0.0], [0.541802757064577, 0.0, 0.0, 0.15302666368471166], [0.0, 0.037205600669789174, 0.0, 0.0], [0.34892067751268024, 0.0, 0.12231336914238987, 0.0], [0.49519163541999767, 0.0, 0.0, 0.1244449299606069], [0.0, 0.0036875646525182317, 0.0, 0.0], [0.40451248706505816, 0.0, 0.0, 0.026912074667848312], [0.0, 0.00297162891367357, 0.0, 0.0], [0.0, 0.0026475424560725696, 0.0, 0.0], [0.27696437117076445, 0.0, 0.0, 0.0]]"
0.005228273699599733,"[[0.40700644006818143, 0.0, 0.5970696130307104, 0.018373266754093714], [0.4994792689081259, 0.0, 0.0, 0.11634320910642279], [0.0, 0.3479675096901713, 0.0, 0.0], [0.48051048350506037, 0.0, 0.0, 0.08936869343006446], [0.0, 0.03516627163493981, 0.0, 0.0], [0.27904833650153216, 0.0, 0.5870854572047526, 0.0], [0.44667626394544735, 0.0, 0.0, 0.06290931607391437], [0.0, 0.03081479339291436, 0.0, 0.0], [0.38543927505841363, 0.0, 0.0, 0.0009834458840339254], [0.3457018810258906, 0.0, 0.0, 0.0]]"
0.018963532368867463,"[[0.5531238294408238, 0.0, 0.9751739437728195, 0.16096013160600622], [0.0, 0.6383450314851874, 0.0, 0.0], [0.5402117870453433, 0.0, 0.0, 0.15444870038758518], [0.3251666965691394, 0.0, 0.5779307154212382, 0.0], [0.2790459416896145, 0.0, 0.5861456232034066, 0.0], [0.0, 0.3137472507822475, 0.0, 0.0], [0.0, 0.3137472507822475, 0.0, 0.0], [0.34106411127870334, 0.0, 0.0, 0.0], [0.0, 0.10866989736762458, 0.0, 0.0], [0.27677997065310284, 0.0, 0.0, 0.0]]"
0.0033048252920006046,"[[0.43253567327256626, 0.0, 0.09102078527792358, 0.07009003205257457], [0.0, 0.1135830095845104, 0.0, 0.0], [0.3674533282772686, 0.0, 0.1539572976145608, 0.0019825020201954297], [0.6286, 0.0, 0.0, 0.18366095300953572], [0.0, 0.09031478826802196, 0.0, 0.0], [0.49822000692379015, 0.0, 0.0, 0.11990234659149789], [0.34355192154043956, 0.0, 0.10942818755113909, 0.0], [0.0, 0.06246738807193046, 0.0, 0.0], [0.4787168030200555, 0.0, 0.0, 0.10806977547883603], [0.37507032759715253, 0.0, 0.0, 0.0014673636999871695]]"
0.12234177108303765,"[[1.0, 0.0, 1.0, 0.9101503146566372], [0.0, 0.1135830095845104, 0.0, 0.0], [0.5826028453570518, 0.0, 0.0, 0.16427690419276395], [0.39497280969104237, 0.0, 0.5973148970615549, 0.010224715143527024], [0.0, 0.03102770549392499, 0.0, 0.0], [0.541802757064577, 0.0, 0.0, 0.15302666368471166], [0.5329879231742278, 0.0, 0.0, 0.15383419145227142], [0.48051048350506037, 0.0, 0.0, 0.08936869343006446], [0.4790853675032757, 0.0, 0.0, 0.10675851430012423], [0.4312886967710047, 0.0, 0.0, 0.05351194429314604]]"
0.12268567808349368,"[[0.0, 0.4574900100405426, 0.0, 0.0], [1.0, 0.0, 1.0, 0.9101503146566372], [0.0, 0.11092821581837858, 0.0, 0.0], [0.5329879231742278, 0.0, 0.0, 0.15383419145227142], [0.37080726507457223, 0.0, 0.6437578689361392, 0.005026501185062254], [0.0, 0.03620981600207159, 0.0, 0.0], [0.0, 0.03620981600207159, 0.0, 0.0], [0.4925502566235865, 0.0, 0.0, 0.13015828223927992], [0.48992116330994906, 0.0, 0.0, 0.13340521468180455], [0.0, 0.03401495819570844, 0.0, 0.0]]"
0.002654038684824866,"[[0.0, 0.02295926182504785, 0.0, 0.0], [0.6286, 0.0, 0.0, 0.18366095300953572], [0.3450998923699643, 0.0, 0.11702028624805866, 0.0], [0.34462075854177815, 0.0, 0.12679683185374988, 0.0], [0.491831555881307, 0.0, 0.0, 0.10474479177567379], [0.4889997521018987, 0.0, 0.0, 0.11603100406387235], [0.4790853675032757, 0.0, 0.0, 0.10675851430012423], [0.4016438268373278, 0.0, 0.0, 0.025023234160418073], [0.3581409323345719, 0.0, 0.0, 0.0], [0.3440740545583348, 0.0, 0.0, 0.0]]"
0.004749021811069307,"[[0.39497280969104237, 0.0, 0.5973148970615549, 0.010224715143527024], [0.0, 0.3137472507822475, 0.0, 0.0], [0.4795767868142358, 0.0, 0.0, 0.1029808332852639], [0.4312886967710047, 0.0, 0.0, 0.05351194429314604], [0.4335922247911308, 0.0, 0.0, 0.050483555380406796], [0.0, 0.10866989736762458, 0.0, 0.0], [0.41712353513257544, 0.0, 0.0, 0.04679953587831151], [0.0, 0.1086558105419701, 0.0, 0.0], [0.4134440330417607, 0.0, 0.0, 0.02625644407849241], [0.27500397813494915, 0.0, 0.0, 0.0]]"
0.005387281388152717,"[[0.0, 0.998058479389968, 0.0, 0.0], [0.43253567327256626, 0.0, 0.09102078527792358, 0.07009003205257457], [0.5392535193889708, 0.0, 0.0, 0.16195279988612848], [0.28020359377062243, 0.0, 0.5844147271300757, 0.0], [0.3526001796034951, 0.0, 0.11080301427693941, 0.0], [0.5258562004239171, 0.0, 0.0, 0.13801023905942358], [0.48992116330994906, 0.0, 0.0, 0.13340521468180455], [0.4926669687099394, 0.0, 0.0, 0.12545959634889584], [0.010925496711349826, 0.0, 0.0, 0.0], [0.010398966749357062, 0.0, 0.0, 0.0]]"
