HV,front
mean:0.335213,
0.3357320411970614,"[[0.22893688743890844, 0.09110458021167797], [0.9976727806673393, 0.0], [0.22511607477703263, 0.09133104471399692], [0.22414928303818976, 0.09140241586395528], [0.1116950095947454, 0.998159245277538], [0.11178117494105408, 0.9918659295679522], [0.11232710240693998, 0.9842428813955684], [0.11602659281910589, 0.8811401718605885], [0.11660732162051464, 0.87973267134858]]"
0.33545517170093414,"[[0.044571711883524365, 0.9983692434328544], [0.11178117494105408, 0.9918659295679522], [0.112810180435444, 0.9735131932923242], [0.11247552566651402, 0.9882554545546978], [0.11243628790011717, 0.9885018072668911], [0.1121215477764439, 0.989127998808945], [1.0, 0.0], [0.11279825136576052, 0.9799333661696672], [0.11678872234958552, 0.8757669195093432], [0.22601822905482583, 0.09116342490189083]]"
0.3358210209874659,"[[0.11678872234958552, 0.8757669195093432], [0.2250747068019608, 0.09135643298846474], [0.04437813561638812, 1.0], [1.0, 0.0], [0.1167436186356997, 0.8816548923765187], [0.11279825136576052, 0.9799333661696672], [0.22893688743890844, 0.09110458021167797], [0.2285924621107438, 0.09110492032346296], [0.11247552566651402, 0.9882554545546978], [0.11236614299863133, 0.9892347597917106]]"
0.3360476970359193,"[[0.11178117494105408, 0.9918659295679522], [0.1121215477764439, 0.989127998808945], [0.11243628790011717, 0.9885018072668911], [0.11271080438386602, 0.9805293436558141], [0.11320172010691412, 0.9684337080897358], [0.04437813561638812, 1.0], [0.999569938243059, 0.0], [0.11692472360271232, 0.8757837361085894], [0.22893688743890844, 0.09110458021167797], [0.2285924621107438, 0.09110492032346296]]"
0.3362842708017449,"[[0.04437813561638812, 1.0], [0.22601822905482583, 0.09116342490189083], [0.11692472360271232, 0.8757837361085894], [0.11602659281910589, 0.8811401718605885], [0.1116950095947454, 0.998159245277538], [1.0, 0.0], [0.11243628790011717, 0.9885018072668911], [0.11320172010691412, 0.9684337080897358], [0.22511607477703263, 0.09133104471399692], [0.999569938243059, 0.0]]"
0.33583044109167837,"[[0.044571711883524365, 0.9983692434328544], [0.2285924621107438, 0.09110492032346296], [1.0, 0.0], [0.1167436186356997, 0.8816548923765187], [0.11692472360271232, 0.8757837361085894], [0.22601287337948167, 0.0912256463313117], [0.11279825136576052, 0.9799333661696672], [0.22492936485382908, 0.09130162326079201], [0.11178117494105408, 0.9918659295679522], [0.1121215477764439, 0.989127998808945]]"
0.3337629039957105,"[[0.04478687878091416, 0.9927406020640122], [0.99773855166013, 0.0], [0.11232710240693998, 0.9842428813955684], [0.11271080438386602, 0.9805293436558141], [0.2280134951381989, 0.09116122785111191], [0.22601822905482583, 0.09116342490189083], [0.11602659281910589, 0.8811401718605885], [0.22533695021536232, 0.09124174337019861], [0.11635898007892247, 0.8785152123637366], [0.04526744283192289, 0.9748809201048712]]"
0.3357100393508613,"[[0.2250747068019608, 0.09135643298846474], [0.1116950095947454, 0.998159245277538], [0.2280134951381989, 0.09116122785111191], [0.9976727806673393, 0.0], [0.2285924621107438, 0.09110492032346296], [0.22414928303818976, 0.09140241586395528], [0.11236614299863133, 0.9892347597917106], [0.11243628790011717, 0.9885018072668911], [0.11660732162051464, 0.87973267134858], [0.1121215477764439, 0.989127998808945]]"
0.33425470004406926,"[[0.9959989760140759, 0.0], [0.11178117494105408, 0.9918659295679522], [0.11243628790011717, 0.9885018072668911], [0.11247552566651402, 0.9882554545546978], [0.112810180435444, 0.9735131932923242], [0.11565521426127434, 0.8790936405772263], [0.11692472360271232, 0.8757837361085894], [0.22631131377107094, 0.09115610595790224], [0.9942497360588769, 0.0], [0.04502807273943152, 0.9761251740030359]]"
0.3355066239447168,"[[0.227809240761282, 0.09112850576762993], [0.999569938243059, 0.0], [0.1121215477764439, 0.989127998808945], [0.11271080438386602, 0.9805293436558141], [0.04481694792350471, 0.9998148778514525], [0.11279825136576052, 0.9799333661696672], [0.11320172010691412, 0.9684337080897358], [0.11660732162051464, 0.87973267134858], [0.11247552566651402, 0.9882554545546978], [0.9976727806673393, 0.0]]"
0.3345253451404126,"[[0.11178117494105408, 0.9918659295679522], [0.11236614299863133, 0.9892347597917106], [0.11243628790011717, 0.9885018072668911], [0.999569938243059, 0.0], [0.11247552566651402, 0.9882554545546978], [0.11279825136576052, 0.9799333661696672], [0.112810180435444, 0.9735131932923242], [0.11692472360271232, 0.8757837361085894], [0.22533695021536232, 0.09124174337019861], [0.9365645485860222, 0.0]]"
0.33356543095655455,"[[0.9992520898534095, 0.0], [0.11218824212058327, 0.9820871817739465], [0.11271080438386602, 0.9805293436558141], [0.11660732162051464, 0.87973267134858], [0.04485697438872362, 0.9913260539315728], [0.22601822905482583, 0.09116342490189083], [0.9965568214141529, 0.0], [0.11651859300303431, 0.8791804100426313], [0.018511673286464574, 0.9153195260470761], [0.9951893216701715, 0.0]]"
0.33473563371021,"[[0.11178117494105408, 0.9918659295679522], [1.0, 0.0], [0.2280134951381989, 0.09116122785111191], [0.22893688743890844, 0.09110458021167797], [0.1121215477764439, 0.989127998808945], [0.11247552566651402, 0.9882554545546978], [0.1167436186356997, 0.8816548923765187], [0.046476370245092366, 0.8708073136325014], [0.996375615617689, 0.0], [0.9938926935265848, 0.0]]"
0.33592317012702844,"[[0.112810180435444, 0.9735131932923242], [1.0, 0.0], [0.1167436186356997, 0.8816548923765187], [0.11178117494105408, 0.9918659295679522], [0.11247552566651402, 0.9882554545546978], [0.04437813561638812, 1.0], [0.11279825136576052, 0.9799333661696672], [0.2285924621107438, 0.09110492032346296], [0.2261329143785739, 0.09126404031394936], [0.04476558391271888, 0.9941282855047098]]"
0.3360832001764981,"[[0.2285924621107438, 0.09110492032346296], [1.0, 0.0], [0.2280134951381989, 0.09116122785111191], [0.11178117494105408, 0.9918659295679522], [0.22492936485382908, 0.09130162326079201], [0.1116950095947454, 0.998159245277538], [0.11678872234958552, 0.8757669195093432], [0.1167436186356997, 0.8816548923765187], [0.11236614299863133, 0.9892347597917106], [0.11243628790011717, 0.9885018072668911]]"
0.33615785087956745,"[[0.2250747068019608, 0.09135643298846474], [1.0, 0.0], [0.1167436186356997, 0.8816548923765187], [0.11279825136576052, 0.9799333661696672], [0.227809240761282, 0.09112850576762993], [0.11692472360271232, 0.8757837361085894], [0.22414928303818976, 0.09140241586395528], [0.22631131377107094, 0.09115610595790224], [0.1116950095947454, 0.998159245277538], [0.1162613785996941, 0.8800577341186553]]"
0.3346952493874072,"[[0.11178117494105408, 0.9918659295679522], [1.0, 0.0], [0.11243628790011717, 0.9885018072668911], [0.112810180435444, 0.9735131932923242], [0.227809240761282, 0.09112850576762993], [0.11247552566651402, 0.9882554545546978], [0.1167436186356997, 0.8816548923765187], [0.11678872234958552, 0.8757669195093432], [0.11210345699721318, 0.9842755376961795], [0.9959989760140759, 0.0]]"
0.3363472323065028,"[[0.1116950095947454, 0.998159245277538], [1.0, 0.0], [0.04437813561638812, 1.0], [0.11236614299863133, 0.9892347597917106], [0.11678872234958552, 0.8757669195093432], [0.11320172010691412, 0.9684337080897358], [0.11243628790011717, 0.9885018072668911], [0.1167436186356997, 0.8816548923765187], [0.2280134951381989, 0.09116122785111191], [0.999569938243059, 0.0]]"
0.3361334702116969,"[[0.1116950095947454, 0.998159245277538], [1.0, 0.0], [0.11236614299863133, 0.9892347597917106], [0.11271080438386602, 0.9805293436558141], [0.112810180435444, 0.9735131932923242], [0.1167436186356997, 0.8816548923765187], [0.11320172010691412, 0.9684337080897358], [0.22893688743890844, 0.09110458021167797], [0.2280134951381989, 0.09116122785111191]]"
0.32047173842155835,"[[0.9960757535811702, 0.0], [0.11210345699721318, 0.9842755376961795], [0.04462278013225193, 0.9987678526577243], [0.04512759667203862, 0.9656126363431694], [0.04524309175579218, 0.9565800989738042], [0.04524343681152682, 0.9524310043357327], [0.04692094991234519, 0.860627270144452], [0.045252704022685886, 0.9476405064600237], [0.04624321115582461, 0.8756014050968463], [0.04502048151326931, 0.9617394106889965]]"
0.3349462421386428,"[[0.11692472360271232, 0.8757837361085894], [1.0, 0.0], [0.11279825136576052, 0.9799333661696672], [0.11651859300303431, 0.8791804100426313], [0.22893688743890844, 0.09110458021167797], [0.2235426142966236, 0.09127505173028899], [0.11178117494105408, 0.9918659295679522], [0.11320172010691412, 0.9684337080897358], [0.112810180435444, 0.9735131932923242], [0.11236614299863133, 0.9892347597917106]]"
0.3357837023696707,"[[0.99773855166013, 0.0], [0.11243628790011717, 0.9885018072668911], [0.11320172010691412, 0.9684337080897358], [0.1116950095947454, 0.998159245277538], [0.11236614299863133, 0.9892347597917106], [0.11271080438386602, 0.9805293436558141], [0.22601822905482583, 0.09116342490189083], [0.11692472360271232, 0.8757837361085894], [0.1167436186356997, 0.8816548923765187], [0.11218824212058327, 0.9820871817739465]]"
0.3348399416076173,"[[0.11178117494105408, 0.9918659295679522], [0.2285924621107438, 0.09110492032346296], [0.999569938243059, 0.0], [0.2261329143785739, 0.09126404031394936], [0.11243628790011717, 0.9885018072668911], [0.227809240761282, 0.09112850576762993], [0.11602659281910589, 0.8811401718605885], [0.11279825136576052, 0.9799333661696672], [0.11692472360271232, 0.8757837361085894], [0.11606080263051219, 0.8772036571793776]]"
0.33488818990650726,"[[1.0, 0.0], [0.1167436186356997, 0.8816548923765187], [0.22492936485382908, 0.09130162326079201], [0.11178117494105408, 0.9918659295679522], [0.22631131377107094, 0.09115610595790224], [0.2285924621107438, 0.09110492032346296], [0.112810180435444, 0.9735131932923242], [0.11237353705008803, 0.9799973878701169], [0.11692472360271232, 0.8757837361085894], [0.11279825136576052, 0.9799333661696672]]"
0.3360558799917076,"[[0.1116950095947454, 0.998159245277538], [0.11178117494105408, 0.9918659295679522], [0.11236614299863133, 0.9892347597917106], [0.11243628790011717, 0.9885018072668911], [0.11320172010691412, 0.9684337080897358], [0.9992520898534095, 0.0], [0.1167436186356997, 0.8816548923765187], [0.22893688743890844, 0.09110458021167797], [0.2280134951381989, 0.09116122785111191], [0.22601822905482583, 0.09116342490189083]]"
0.33599224812673073,"[[1.0, 0.0], [0.2235426142966236, 0.09127505173028899], [0.1116950095947454, 0.998159245277538], [0.22601287337948167, 0.0912256463313117], [0.112810180435444, 0.9735131932923242], [0.11692472360271232, 0.8757837361085894], [0.22631131377107094, 0.09115610595790224], [0.11279825136576052, 0.9799333661696672], [0.11243628790011717, 0.9885018072668911], [0.11178117494105408, 0.9918659295679522]]"
0.33581131786102353,"[[0.11235189712615809, 0.9847350285925935], [0.22893688743890844, 0.09110458021167797], [0.2280134951381989, 0.09116122785111191], [0.1116950095947454, 0.998159245277538], [0.99773855166013, 0.0], [0.22414928303818976, 0.09140241586395528], [0.11320172010691412, 0.9684337080897358], [0.11660732162051464, 0.87973267134858], [0.22511607477703263, 0.09133104471399692], [0.2261329143785739, 0.09126404031394936]]"
0.3354679501570541,"[[0.04462278013225193, 0.9987678526577243], [0.9960757535811702, 0.0], [0.11178117494105408, 0.9918659295679522], [0.11247552566651402, 0.9882554545546978], [0.112810180435444, 0.9735131932923242], [0.1162613785996941, 0.8800577341186553], [0.11692472360271232, 0.8757837361085894], [0.2285924621107438, 0.09110492032346296], [0.9959989760140759, 0.0], [0.11210345699721318, 0.9842755376961795]]"
0.3361032262277031,"[[0.9973702341005023, 0.0], [0.22893688743890844, 0.09110458021167797], [0.22601822905482583, 0.09116342490189083], [0.1116950095947454, 0.998159245277538], [0.11678872234958552, 0.8757669195093432], [0.11271080438386602, 0.9805293436558141], [0.1167436186356997, 0.8816548923765187], [0.04481694792350471, 0.9998148778514525], [0.11243628790011717, 0.9885018072668911], [0.11236614299863133, 0.9892347597917106]]"
0.33615155921546347,"[[0.112810180435444, 0.9735131932923242], [0.2250747068019608, 0.09135643298846474], [1.0, 0.0], [0.227809240761282, 0.09112850576762993], [0.11236614299863133, 0.9892347597917106], [0.1116950095947454, 0.998159245277538], [0.22631131377107094, 0.09115610595790224], [0.1162613785996941, 0.8800577341186553], [0.11692472360271232, 0.8757837361085894], [0.11271080438386602, 0.9805293436558141]]"
0.3364961389024454,"[[0.1116950095947454, 0.998159245277538], [0.1121215477764439, 0.989127998808945], [0.11320172010691412, 0.9684337080897358], [0.04481694792350471, 0.9998148778514525], [1.0, 0.0], [0.11651859300303431, 0.8791804100426313], [0.11692472360271232, 0.8757837361085894], [0.22893688743890844, 0.09110458021167797], [0.22631131377107094, 0.09115610595790224], [0.22601822905482583, 0.09116342490189083]]"
