mean:0.047629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0045, [[0.0,0.3514740970333448, 0.0], [0.0,0.0825571392426415, 0.0], [0.0,0.0790189761322425, 0.0], [0.0,0.0247671417727924, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.0871, [[0.16160358063846814,0.352812492104218, 0.5899709494725762], [0.2709256898953672,0.3636287289214724, 0.0], [0.0,0.3499647175701575, 0.0], [0.0,0.0, 0.0], [0.0,0.2930778443113773, 0.0], [0.0,0.0070763262207979, 0.0], [0.0,0.0914025470186388, 0.0], [0.0,0.0206392848106604, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.081, [[0.16053650294928415,0.3531013967670937, 0.5865411593455997], [0.0,0.3512765805801544, 0.0], [0.0,0.3498202652387197, 0.0], [0.0,0.0896334654634394, 0.0], [0.0,0.0, 0.0], [0.0,0.015332040145062, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.335, [[0.9602033481313326,0.3621704482421951, 0.581119878177153], [0.19494975842546758,0.3530925527468016, 0.5905241414285402], [0.0,0.3506290017609874, 0.0], [0.0,0.0406888757695876, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.002, [[0.0,0.099658260942903, 0.0], [0.0,0.0636869359871805, 0.0], [0.0,0.0601487728767817, 0.0], [0.0,0.0530724466559838, 0.0], [0.0,0.0412785696213208, 0.0], [0.0,0.0312537741418572, 0.0], [0.0,0.004127856962132, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.1004, [[0.2242943948780271,0.352994285854667, 0.583222007609816], [0.0,0.3518936966627596, 0.5785198759841225], [0.0,0.3497780104751018, 0.0], [0.0,0.1285532596778275, 0.0], [0.0,0.1079139748671671, 0.0], [0.0,0.0707632622079784, 0.0], [0.0,0.045996120435186, 0.0], [0.0,0.0283053048831913, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.02, [[0.0,0.3515104557834347, 0.0], [0.0,0.3506771525381333, 0.2908560751565762], [0.0,0.3505405615580663, 0.3428017954070982], [0.0,0.3502300381789209, 0.0], [0.0,0.3432018217086953, 0.0], [0.0,0.2447229484692587, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.0783, [[0.14410350653585083,0.3532537104499023, 0.6077837304546153], [0.0,0.351511438452356, 0.0], [0.0,0.0, 0.0], [0.0,0.1026067302015687, 0.0], [0.0,0.0937613224255713, 0.0], [0.0,0.0931716285738382, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.0167, [[0.0,0.3506299844299087, 0.2708769519832986], [0.0,0.3512834592626038, 0.0], [0.0,0.3511950190596826, 0.0], [0.0,0.0, 0.0], [0.0,0.3503843171995722, 0.0], [0.0,0.0, 0.0], [0.0,0.0489445896938517, 0.0], [0.0,0.0, 0.0], [0.0,0.0129732647381294, 0.0], [0.0, 0.0, 0.0]]
0.0045, [[0.0,0.351301147303188, 0.0], [0.0,0.1049655056085013, 0.0], [0.0,0.0, 0.0], [0.0,0.1002479547946361, 0.0], [0.0,0.0477652019903854, 0.0], [0.0,0.0572003036181159, 0.0], [0.0,0.0689941806527789, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.0755, [[0.13588700832913422,0.3530522633210264, 0.606345431369109], [0.0,0.350755766051841, 0.33081432150313156], [0.0,0.0601487728767817, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0058969385173316, 0.0], [0.0,0.0029484692586658, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
0.0167, [[0.0,0.3507076152746951, 0.0], [0.0,0.3506299844299087, 0.2708769519832986], [0.0,0.0011793877034663, 0.0], [0.0,0.0389197942143881, 0.0], [0.0,0.0247671417727924, 0.0], [0.0,0.0, 0.0], [0.0,0.0, 0.0], [0.0,0.0359713249557224, 0.0], [0.0,0.0, 0.0], [0.0, 0.0, 0.0]]
